scenario,outer_id,inner_id,replicate_id,seed,fit_valid,invalid_reason,response_exposure_kyr,n_observation_events,effect_identified,n_response_events,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__pre_phase_sin,beta__pre_phase_cos,phase_deg,rate_ratio,full_log_likelihood,reduced_log_likelihood,ks_uniform,adjacent_dependence,residual_status
C_joint,136,35,35,20260925,True,,396.402737882,84,True,83,-1.42477756324,-0.852643276613,0.789534064372,-0.142019865008,-0.232749959593,0.671009816812,340.870119144,4.13902433251,-202.057808895,-211.149825723,,,
C_joint,136,36,36,20260925,True,,396.402737882,78,True,77,-1.3851263123,-1.74982661508,3.3763145415,2.46806229035,-0.154976257943,0.83141818257,349.441247788,5.42749263283,-184.756940434,-196.22967909,,,
C_joint,136,37,37,20260925,True,,396.402737882,69,True,68,-1.63724139456,-0.844222504911,0.775316851097,0.502227450002,-0.122042799383,0.546477691534,347.410928445,3.06448375362,-181.739756397,-186.534572952,,,
C_joint,136,38,38,20260925,True,,396.402737882,94,True,93,-1.13315749442,-1.32588090107,0.957220681886,-0.388259173455,-0.463273583631,0.412846953478,311.705876845,3.45932038707,-214.538223445,-222.261471603,,,
C_joint,136,39,39,20260925,True,,396.402737882,78,True,77,-1.50537706434,-0.684796768973,1.69896402553,1.89425839627,0.0812730049089,0.349873699017,13.0774482423,2.05110458531,-197.98674111,-200.291198235,,,
C_joint,136,40,40,20260925,True,,396.402737882,79,True,78,-1.45765535247,-0.953953179748,0.884424045314,-0.0686471681941,-0.0319293890334,0.588338436547,356.893579891,3.24919872966,-196.056254148,-202.317261062,,,
C_joint,136,41,41,20260925,True,,396.402737882,67,True,66,-1.58339062008,-1.51601407591,2.57291293112,1.97951497221,-0.385582292028,0.563826860222,325.633084054,3.92013102532,-174.125803896,-180.449777265,,,
C_joint,136,42,42,20260925,True,,396.402737882,73,True,72,-1.65529527821,-0.632087193974,2.29709930093,2.02359211041,-0.0888571687698,0.647027212671,352.180403153,3.6921181096,-186.230612032,-192.761212514,,,
C_joint,136,43,43,20260925,True,,396.402737882,76,True,75,-1.42644179813,-1.63143749934,3.46825990462,2.72653611757,-0.0496252474838,0.730207533012,356.112130053,4.32228300488,-183.834683096,-192.332150476,,,
C_joint,136,44,44,20260925,True,,396.402737882,68,True,67,-1.70652992213,-0.854251064509,1.30373842915,1.01782779973,-0.134838377358,0.763443134001,349.983787356,4.71391311835,-176.785145763,-185.18987513,,,
C_joint,136,45,45,20260925,True,,396.402737882,84,True,83,-1.46645263591,-0.666614791572,1.32456114918,0.38835792488,-0.164935053034,0.64989491475,345.75970929,3.82284576912,-203.96840803,-211.630385325,,,
C_joint,136,46,46,20260925,True,,396.402737882,84,True,83,-1.36140502106,-0.914349418668,2.42116258506,1.98346078155,-0.323200032411,0.2159344426,303.74743663,2.17579803362,-205.874639392,-208.621480257,,,
C_joint,136,47,47,20260925,True,,396.402737882,71,True,70,-1.41720359625,-1.7470870364,1.95144515115,1.9848926208,-0.0969642777568,0.344949440542,344.299482327,2.04753598632,-182.728326231,-184.832812403,,,
C_joint,136,48,48,20260925,True,,396.402737882,70,True,69,-1.6089931283,-1.10784445396,0.878098846299,0.219661331337,-0.457011172171,0.623612940567,323.764388315,4.6940176706,-179.678326363,-188.185457052,,,
C_joint,136,49,49,20260925,True,,396.402737882,74,True,73,-1.41785185085,-1.73385278077,3.58430332563,3.29219869394,0.0230868525151,0.528095540824,2.50321651841,2.87830014413,-182.10652751,-186.590535997,,,
C_joint,136,50,50,20260925,True,,396.402737882,71,True,70,-1.43298626682,-1.85005806443,2.50710916573,3.00199435768,-0.242302499307,0.404263163767,329.062866634,2.56673053262,-178.793227122,-182.386653293,,,
