event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response,dataset_id,age_column,pick_column
264.304938871,1,48,58,49,Barker_S3_058,Barker event 49,Barker2011,264.304938871,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
276.908817737,1,49,59,50,Barker_S3_059,Barker event 50,Barker2011,276.908817737,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
278.805517955,1,50,60,51,Barker_S3_060,Barker event 51,Barker2011,278.805517955,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
281.47721396,1,51,61,52,Barker_S3_061,Barker event 52,Barker2011,281.47721396,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
291.429791447,1,52,62,53,Barker_S3_062,Barker event 53,Barker2011,291.429791447,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
297.52778462,1,53,63,54,Barker_S3_063,Barker event 54,Barker2011,297.52778462,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
301.831050705,1,54,64,55,Barker_S3_064,Barker event 55,Barker2011,301.831050705,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
306.888917952,1,55,65,56,Barker_S3_065,Barker event 56,Barker2011,306.888917952,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
317.780158488,1,56,66,57,Barker_S3_066,Barker event 57,Barker2011,317.780158488,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
327.901346184,1,57,67,58,Barker_S3_067,Barker event 58,Barker2011,327.901346184,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
334.860945836,1,58,68,59,Barker_S3_068,Barker event 59,Barker2011,334.860945836,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
335.209952309,1,59,69,60,Barker_S3_069,Barker event 60,Barker2011,335.209952309,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
335.743726913,1,60,70,61,Barker_S3_070,Barker event 61,Barker2011,335.743726913,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
336.252534653,1,61,71,62,Barker_S3_071,Barker event 62,Barker2011,336.252534653,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
349.382740981,1,62,72,63,Barker_S3_072,Barker event 63,Barker2011,349.382740981,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
351.123122905,1,63,73,64,Barker_S3_073,Barker event 64,Barker2011,351.123122905,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
366.804973984,1,64,74,65,Barker_S3_074,Barker event 65,Barker2011,366.804973984,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
372.804462592,1,65,75,66,Barker_S3_075,Barker event 66,Barker2011,372.804462592,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
378.190563154,1,66,76,67,Barker_S3_076,Barker event 67,Barker2011,378.190563154,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
387.378117458,1,67,77,68,Barker_S3_077,Barker event 68,Barker2011,387.378117458,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
392.245695897,1,68,78,69,Barker_S3_078,Barker event 69,Barker2011,392.245695897,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
396.464263878,1,69,79,70,Barker_S3_079,Barker event 70,Barker2011,396.464263878,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,conditioning,False,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold
