event_age_ka,pick_value,source_row,source_excel_row,event_index,event_id,event_label,segment_id,event_age_kyr_bp,event_definition,source,event_role,included_in_response,dataset_id,age_column,pick_column,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_fraction,pre_phase_extrapolated,phase_rad,phase_deg,phase_extrapolated,orbital_value_at_event
248.509222966,1,43,53,44,Barker_S3_053,Barker event 44,Barker2011,248.509222966,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0073369195399,89.8384103423,1.87381604179,107.361750779,0.298227085496,False,1.87381604179,107.361750779,False,0.0073369195399
251.876436815,1,44,54,45,Barker_S3_054,Barker event 45,Barker2011,251.876436815,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0265182069839,90.7582724546,2.79367815407,160.065967546,0.444627687629,False,2.79367815407,160.065967546,False,0.0265182069839
257.645132628,1,45,55,46,Barker_S3_055,Barker event 46,Barker2011,257.645132628,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0135165758527,92.167982115,4.2033878145,240.836381428,0.66898994841,False,4.2033878145,240.836381428,False,0.0135165758527
259.518362264,1,46,56,47,Barker_S3_056,Barker event 47,Barker2011,259.518362264,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.00282413162264,92.6104576386,4.64586333814,266.18836147,0.739412115194,False,4.64586333814,266.18836147,False,0.00282413162264
261.985106372,1,47,57,48,Barker_S3_057,Barker event 48,Barker2011,261.985106372,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0099532765464,93.1931272001,5.22853289959,299.572868192,0.832146856089,False,5.22853289959,299.572868192,False,-0.0099532765464
264.304938871,1,48,58,49,Barker_S3_058,Barker event 49,Barker2011,264.304938871,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0179115569578,93.7410947742,5.77650047373,330.9690975,0.919358604167,False,5.77650047373,330.9690975,False,-0.0179115569578
276.908817737,1,49,59,50,Barker_S3_059,Barker event 50,Barker2011,276.908817737,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0191993300606,96.7369724083,2.48919280056,142.620241866,0.396167338518,False,2.48919280056,142.620241866,False,0.0191993300606
278.805517955,1,50,60,51,Barker_S3_060,Barker event 51,Barker2011,278.805517955,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0245549458546,97.1883860045,2.94060639677,168.484335744,0.468012043734,False,2.94060639677,168.484335744,False,0.0245549458546
281.47721396,1,51,61,52,Barker_S3_061,Barker event 52,Barker2011,281.47721396,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,0.0220493775127,97.8885341703,3.64075456261,208.599870681,0.579444085224,False,3.64075456261,208.599870681,False,0.0220493775127
291.429791447,1,52,62,53,Barker_S3_062,Barker event 53,Barker2011,291.429791447,variable_threshold,Barker2011/data/raw/Barker et al-2011-SOM.xls,response,True,barker_variable_threshold_speleo_0_400,SpeloAge (kyr).1,DO pick variable threshold,-0.0316859439019,100.610153271,0.0791883561382,4.5371585933,0.0126032183147,False,0.0791883561382,4.5371585933,False,-0.0316859439019
