segment_id,age_kyr_bp,lr04,co2,precession_index,pre_phase_deg,reduced_rate,full_rate
Barker2011,8.4,3.404,259.639249692,-0.012208,307.714285714,0.119151086656,0.160976176963
Barker2011,8.5,3.4,261.021592435,-0.0126425,309.428571429,0.120631106461,0.16396194001
Barker2011,8.6,3.396,261.05809461,-0.013066,311.142857143,0.118952504955,0.162095381494
Barker2011,8.7,3.392,261.728421298,-0.0134775,312.857142857,0.118654385448,0.16219621127
Barker2011,8.8,3.388,259.272368051,-0.0138765,314.571428571,0.111405197236,0.151673819442
Barker2011,8.9,3.384,260.727509318,-0.014263,316.285714286,0.112650928981,0.153862719724
Barker2011,9,3.38,260.285163336,-0.0146365,318,0.109761949857,0.149694616575
Barker2011,9.1,3.394,260.598065907,-0.0149965,319.714285714,0.111158124775,0.152413219298
Barker2011,9.2,3.408,262.636117545,-0.015344,321.428571429,0.116249808589,0.160681930865
Barker2011,9.3,3.422,263.70712853,-0.015679,323.142857143,0.119232146215,0.165660481905
Barker2011,9.4,3.436,264.520184866,-0.0160015,324.857142857,0.121566048708,0.169537351563
Barker2011,9.5,3.45,261.621092145,-0.016312,326.571428571,0.115318181599,0.160054063342
Barker2011,9.6,3.464,263.848936675,-0.0166105,328.285714286,0.120535041867,0.16809092451
Barker2011,9.7,3.478,264.031991156,-0.0168975,330,0.121002009089,0.168667598288
Barker2011,9.8,3.492,264.215045636,-0.017173,331.714285714,0.121311192753,0.168849814514
Barker2011,9.9,3.506,264.398100116,-0.017437,333.428571429,0.121450368164,0.168615103168
Barker2011,10,3.52,264.189583136,-0.0176895,335.142857143,0.120500412562,0.166554613591
Barker2011,10.1,3.528,264.048632307,-0.0179305,336.857142857,0.118529316268,0.162608440098
Barker2011,10.2,3.536,263.552012622,-0.018159,338.571428571,0.115600638261,0.157107343274
Barker2011,10.3,3.544,265.694681236,-0.0183735,340.285714286,0.118370406765,0.160035443727
Barker2011,10.4,3.552,265.525594851,-0.018573,342,0.115731705883,0.154721678887
Barker2011,10.5,3.56,267.39615554,-0.018757,343.714285714,0.117411446551,0.155660217324
Barker2011,10.6,3.568,267.176044236,-0.018925,345.428571429,0.114185672098,0.149275746416
Barker2011,10.7,3.576,266.755203728,-0.0190755,347.142857143,0.11035788852,0.142001365189
Barker2011,10.8,3.584,266.01341955,-0.019208,348.857142857,0.105733950924,0.133623729646
Barker2011,10.9,3.592,266.452934721,-0.019322,350.571428571,0.103337777168,0.128377018741
Barker2011,11,3.6,266.656813289,-0.0194165,352.285714286,0.100247551959,0.122165711531
Barker2011,11.1,3.632,264.8,-0.0194925,354,0.0963525624889,0.115441479466
Barker2011,11.2,3.664,265.28824184,-0.01955,355.714285714,0.09653829119,0.114062757264
Barker2011,11.3,3.696,264.184316499,-0.019589,357.428571429,0.0934857152252,0.108371860478
Barker2011,11.4,3.728,268.134800045,-0.0196105,359.142857143,0.0993478658773,0.113951302263
Barker2011,11.4024076132,3.72877043622,267.631059254,-0.0196108129897,359.184130512,0.0983543801692,0.112641783808
Barker2011,11.4024076132,3.72877043622,267.631059254,-0.0196108129897,359.184130512,0.223481342609,0.348480120533
Barker2011,11.5,3.76,267.449240885,-0.019615,0.825688073395,0.231025568285,0.360336809052
Barker2011,11.6,3.792,260.946747618,-0.019603,2.47706422018,0.211696822506,0.325870232333
Barker2011,11.7,3.824,254.039141757,-0.019575,4.12844036697,0.192389670669,0.291850308118
Barker2011,11.8,3.856,258.495049938,-0.0195315,5.77981651376,0.217220928822,0.332178523337
Barker2011,11.9,3.888,254.917421044,-0.019473,7.43119266055,0.210171726276,0.318495616745
Barker2011,12,3.92,252.606185564,-0.019399,9.08256880734,0.208214038664,0.31328858807
Barker2011,12.1,3.934,254.701276962,-0.01931,10.7339449541,0.218749915924,0.327543560185
Barker2011,12.2,3.948,250.36585499,-0.019206,12.3853211009,0.203054278724,0.298404171436
Barker2011,12.3,3.962,248.947190843,-0.0190865,14.0366972477,0.199160387815,0.288783069501
Barker2011,12.4,3.976,244.890388299,-0.018952,15.6880733945,0.185570833922,0.263880857754
