phase_deg,point_multiplier,chronology_low,chronology_high,sampling_low,sampling_high,combined_low,combined_high
71,0.802226234357,0.550475722779,1.1691104702,0.436950441115,1.47286023891,0.412545008358,1.55999204463
72,0.788911475842,0.540609185342,1.15125923419,0.429126737198,1.45034383264,0.405001362638,1.53673882147
73,0.77587374,0.530981134759,1.13371270845,0.421449155899,1.4283574946,0.397616293426,1.51397231546
74,0.763110454554,0.521588345521,1.11646966588,0.413917827155,1.40689172499,0.390389016617,1.49168532172
75,0.750618940242,0.512427522459,1.09952875042,0.406532744075,1.38593705344,0.383318623666,1.4698706472
76,0.738396420003,0.503495310891,1.08288848234,0.399293767776,1.36548405479,0.376404089203,1.44852112055
77,0.726440027862,0.494788306236,1.06654726361,0.392200632399,1.34552336352,0.369644278575,1.4276296014
78,0.714746817513,0.486303063125,1.05050338335,0.385252950281,1.32604568706,0.363037955283,1.40718898867
79,0.703313770621,0.478036104013,1.0347550233,0.378450217251,1.30704181791,0.356583788319,1.38719222844
80,0.692137804814,0.469983927298,1.01930026332,0.371791818044,1.28850264477,0.35028035935,1.36763232098
81,0.68121578138,0.462143014977,1.00413708692,0.365277031791,1.27041916248,0.34412616977,1.34850232725
82,0.670544512672,0.454509839834,0.98926338677,0.358905037583,1.25278248113,0.338119647574,1.32979537481
83,0.660120769214,0.447080872197,0.974676970202,0.352674920072,1.23558383414,0.332259154065,1.3115046632
84,0.649941286517,0.439852586254,0.960375564725,0.346585675099,1.21881458545,0.326542990366,1.29362346883
85,0.640002771604,0.432821465965,0.946356823471,0.340636215319,1.20246623594,0.320969403737,1.27614514932
86,0.630301909253,0.425984010573,0.93261833061,0.334825375814,1.18653042901,0.315536593688,1.25906314752
87,0.620835367956,0.419336739735,0.919157606722,0.329151919671,1.17099895541,0.310242717873,1.24237099503
88,0.611599805605,0.412876198279,0.905972114099,0.323614543498,1.15586375746,0.305085897774,1.22606231539
89,0.602591874904,0.406598960627,0.893059261982,0.318211882886,1.14111693255,0.30006422416,1.21013082688
90,0.593808228517,0.400501634861,0.880416411727,0.312942517776,1.12675073608,0.295175762322,1.19457034508
91,0.58524552396,0.394580866483,0.868040881879,0.307804977731,1.11275758384,0.290418557077,1.17937478501
92,0.576900428232,0.388833341866,0.855929953169,0.302797747102,1.0991300539,0.28579063756,1.1645381631
93,0.568769622213,0.383255791412,0.844080873404,0.297919270068,1.08586088801,0.28129002177,1.15005459887
94,0.560849804809,0.377844992433,0.832490862268,0.293167955548,1.07294299258,0.276914720913,1.13591831636
95,0.553137696873,0.372597771772,0.821157116015,0.288542181969,1.06036943927,0.272662743505,1.12212364538
96,0.545630044898,0.367511008172,0.810076812055,0.284040301894,1.04813346525,0.268532099268,1.10866502257
97,0.538323624494,0.362581634411,0.799247113436,0.279660646487,1.03622847307,0.264520802806,1.09553699223
98,0.531215243653,0.357806639216,0.7886651732,0.275401529825,1.02464803035,0.260626877068,1.08273420709
99,0.524301745814,0.353183068959,0.778328138643,0.271261253047,1.01338586907,0.256848356613,1.07025142885
100,0.517580012725,0.348708029163,0.768233155445,0.267238108331,1.00243588479,0.253183290663,1.05808352862
101,0.51104696713,0.344378685815,0.758377371685,0.263330382709,0.991792135514,0.249629745972,1.04622548726
102,0.504699575263,0.340192266509,0.748757941752,0.259536361714,0.981448840499,0.246185809496,1.03467239559
103,0.498534849178,0.336146061415,0.739372030121,0.255854332845,0.971400378809,0.24284959089,1.02341945454
104,0.492549848909,0.332237424103,0.730216815024,0.25228258888,0.961641287801,0.239619224821,1.01246197521
105,0.486741684475,0.328463772218,0.721289492006,0.248819431011,0.952166261466,0.236492873114,1.0017953788
106,0.481107517732,0.324822588014,0.71258727736,0.24546317181,0.942970148682,0.233468726738,0.991415196597
107,0.475644564082,0.321311418769,0.704107411456,0.242212138044,0.934047951383,0.230545007631,0.981317069777
108,0.470350094049,0.317927877079,0.695847161954,0.239064673319,0.925394822665,0.227719970384,0.97149674927
109,0.46522143472,0.314669641041,0.687803826919,0.23601914057,0.917006064848,0.22499190377,0.961950095521
110,0.460255971069,0.311534454332,0.679974737815,0.233073924403,0.908877127493,0.222359132154,0.952673078242
111,0.455451147159,0.308520126196,0.672357262412,0.230227433281,0.9010036054,0.219820016762,0.943661776137
112,0.450804467239,0.305624531342,0.66494880758,0.227478101575,0.893381236592,0.217372956832,0.934912376609
113,0.44631349674,0.302845609754,0.657746821999,0.22482439147,0.88600590029,0.215016390656,0.926421175448
114,0.441975863164,0.300181366433,0.65074879877,0.22226479474,0.878873614905,0.212748796502,0.918184576513
115,0.437789256896,0.297629871066,0.643952277933,0.219797834395,0.87198053603,0.210568693445,0.910199091414
116,0.433751431919,0.295189257623,0.637354848907,0.217422066202,0.865322954463,0.208474642096,0.902461339184
117,0.429860206454,0.292857723906,0.63095415285,0.215136080098,0.858897294254,0.206465245241,0.894968045963
118,0.426113463528,0.290633531028,0.624747884933,0.212938501478,0.852700110784,0.204539148398,0.887716044689
119,0.422509151471,0.288515002854,0.618733796548,0.210827992386,0.846728088887,0.202695040295,0.880702274795
120,0.419045284348,0.286500525387,0.612909697449,0.208803252607,0.840978041012,0.200931653269,0.873923781929
121,0.415719942332,0.284588546109,0.607273457823,0.206863020651,0.835446905439,0.199247763609,0.867377717684
122,0.412531272029,0.282777573286,0.601823010305,0.205006074665,0.830131744534,0.19764219182,0.861061339356
123,0.409477486744,0.281066175233,0.596556351938,0.203231233246,0.825029743076,0.196113802844,0.854972009716
124,0.406556866708,0.279452979544,0.591471546079,0.201537356181,0.820138206629,0.194661506211,0.849107196818
125,0.403767759261,0.27793667229,0.586566724267,0.199923345112,0.815454559982,0.193284256156,0.843464473832
126,0.401108579,0.27651599719,0.581840088034,0.198388144132,0.810976345646,0.191981051677,0.838041518903
127,0.398577807891,0.27518975475,0.577289910694,0.196930740313,0.806701222424,0.190750936556,0.832836115051
128,0.396173995352,0.27395680138,0.57291453909,0.19555016418,0.802626964039,0.189592999343,0.827846150105
129,0.393895758308,0.272816048483,0.568712395315,0.194245490122,0.798751457836,0.188506373302,0.823069616667
130,0.391741781227,0.271766461527,0.564681978405,0.193015836758,0.795072703553,0.187490236324,0.818504612123
131,0.389710816132,0.270807059093,0.560821866015,0.191860367248,0.791588812159,0.186543810812,0.814149338698
132,0.387801682594,0.269936911902,0.557130716075,0.190778289572,0.788298004771,0.185666363538,0.810002103542
133,0.386013267715,0.269155141826,0.553607268436,0.18976885675,0.785198611634,0.184857205479,0.806061318873
134,0.384344526094,0.268460920885,0.550250346499,0.188831367048,0.782289071185,0.184115691624,0.802325502164
135,0.382794479791,0.267853470223,0.547058858847,0.187965164129,0.77956792918,0.183441220767,0.798793276371
136,0.381362218271,0.267332059069,0.544031800865,0.187169637189,0.777033837907,0.18283323528,0.795463370223
137,0.380046898354,0.266896003692,0.541168256365,0.186444221052,0.774685555464,0.182291220864,0.792334618553
138,0.378847744158,0.266544666334,0.538467399208,0.185788396252,0.77252194512,0.181814706294,0.789405962691
139,0.377764047035,0.266277454141,0.535928494932,0.185201689082,0.770541974751,0.181403263144,0.786676450903
140,0.376795165515,0.266093818078,0.533550902389,0.184683671623,0.768744716346,0.181056505497,0.784145238893
141,0.375940525246,0.265993251837,0.531334075379,0.18423396176,0.767129345598,0.180774089646,0.781811590361
142,0.375199618935,0.265975290742,0.529277564304,0.183852223171,0.76569514157,0.180555713786,0.779674877619
143,0.374572006303,0.266039510648,0.527381017821,0.183538165309,0.764441486434,0.180401117689,0.777734582265
144,0.374057314029,0.266185526831,0.525644184507,0.183291543356,0.763367865296,0.180310082373,0.775990295923
145,0.373655235714,0.266412992893,0.524066914532,0.183112158181,0.76247386609,0.18028242976,0.774441721042
146,0.373365531843,0.26672159965,0.52264916134,0.182999856266,0.761759179557,0.180318022318,0.773088671761
147,0.373188029757,0.267111074043,0.521390983332,0.182954529631,0.761223599303,0.180416762706,0.771931074838
148,0.373122623634,0.267581178048,0.520292545549,0.18297611574,0.76086702193,0.180578593392,0.770968970644
149,0.373169274472,0.268131707598,0.519354121366,0.183064597403,0.760689447254,0.180803496274,0.770202514222
150,0.37332801009,0.268762491531,0.518576094171,0.183220002654,0.760690978596,0.181091492281,0.769631976421
151,0.373598925125,0.269473390545,0.517958959037,0.183442404628,0.760871823161,0.18144264097,0.769257745085
152,0.37398218105,0.270264296192,0.517503324388,0.183731921416,0.761232292488,0.181857040098,0.769080326322
153,0.374478006188,0.271135129897,0.517209913638,0.184088715911,0.761772802989,0.182334825198,0.769100345837
154,0.375086695742,0.272085842012,0.517079566808,0.184512995641,0.762493876563,0.182876169126,0.769318550333
155,0.375808611829,0.273116410921,0.517113242109,0.18500501258,0.763396141298,0.183481281599,0.769735808983
156,0.37664418352,0.274226842187,0.517312017482,0.185565062953,0.764480332245,0.184150408718,0.770353114971
157,0.377593906888,0.27541716776,0.517677092093,0.186193487009,0.765747292286,0.184883832475,0.771171587098
158,0.378658345057,0.276687445251,0.518209787767,0.186890668789,0.767197973071,0.185681870233,0.772192471464
159,0.379838128261,0.278037757271,0.518911550348,0.187657035862,0.76883343605,0.186544874196,0.773417143209
160,0.381133953899,0.279468210859,0.519783950986,0.18849305904,0.770654853577,0.187473230855,0.774847108319
