realization_id,fit_valid,invalid_reason
joint_00918,True,
joint_00919,True,
joint_00920,True,
joint_00921,True,
joint_00922,True,
joint_00923,True,
joint_00924,True,
joint_00925,True,
joint_00926,True,
joint_00927,True,
joint_00928,True,
joint_00929,True,
joint_00930,True,
joint_00931,True,
joint_00932,True,
joint_00933,True,
joint_00934,True,
joint_00935,True,
joint_00936,True,
joint_00937,True,
joint_00938,True,
joint_00939,True,
joint_00940,True,
joint_00941,True,
joint_00942,True,
joint_00943,True,
joint_00944,True,
joint_00945,True,
joint_00946,True,
joint_00947,True,
joint_00948,True,
joint_00949,True,
joint_00950,True,
joint_00951,True,
joint_00952,True,
joint_00953,True,
joint_00954,True,
joint_00955,True,
joint_00956,True,
joint_00957,True,
joint_00958,True,
joint_00959,True,
joint_00960,True,
joint_00961,True,
joint_00962,True,
joint_00963,True,
joint_00964,True,
joint_00965,True,
joint_00966,True,
joint_00967,True,
joint_00968,True,
joint_00969,True,
joint_00970,True,
joint_00971,True,
joint_00972,True,
joint_00973,True,
joint_00974,True,
joint_00975,True,
joint_00976,True,
joint_00977,False,"NGRIP observation support [12, 123] kyr BP: NGRIP:GI-25=123.107"
joint_00978,True,
joint_00979,True,
joint_00980,True,
joint_00981,True,
joint_00982,True,
joint_00983,True,
joint_00984,True,
joint_00985,True,
joint_00986,True,
joint_00987,True,
joint_00988,True,
joint_00989,True,
joint_00990,True,
joint_00991,True,
joint_00992,True,
joint_00993,True,
joint_00994,True,
joint_00995,True,
joint_00996,True,
joint_00997,True,
joint_00998,True,
joint_00999,True,
joint_01000,True,
joint_01001,True,
joint_01002,True,
joint_01003,True,
joint_01004,True,
joint_01005,True,
joint_01006,True,
joint_01007,True,
joint_01008,True,
joint_01009,True,
joint_01010,True,
joint_01011,True,
joint_01012,True,
joint_01013,True,
joint_01014,True,
joint_01015,True,
joint_01016,True,
joint_01017,True,
joint_01018,True,
joint_01019,True,
joint_01020,True,
joint_01021,True,
joint_01022,True,
joint_01023,True,
joint_01024,True,
joint_01025,True,
joint_01026,True,
joint_01027,True,
joint_01028,True,
joint_01029,True,
joint_01030,True,
joint_01031,True,
joint_01032,True,
joint_01033,True,
joint_01034,True,
joint_01035,True,
joint_01036,True,
