outer_id,source_row_index,age_realization_id,ngrip_realization_id,mis6_realization_id,n_response_events,response_exposure_kyr,response_end_kyr_bp__NGRIP,response_end_kyr_bp__MIS6,beta__intercept,beta__same_type_exponential_history,beta__lr04_scaled,beta__co2_scaled,beta__mis6_segment,beta__pre_phase_sin,beta__pre_phase_cos
73,9832,joint_09833,NGRIP_03987,4980,53,163.82189899999997,114.223213,194.098686,-0.6973864312898844,-0.9872328404479145,2.570886067424919,0.9107840269336424,-0.2590580570293318,-0.5425991036833995,0.6752687503152411
74,2244,joint_02245,NGRIP_05387,48,53,169.20672299999998,118.970384,194.736339,-0.8055086758247293,-0.7945645773323741,2.0862163014406723,0.1931889255375097,-0.2367175977076524,-0.40915707296820014,0.754132825129093
75,8221,joint_08222,NGRIP_08981,3685,53,170.026822,119.899215,194.627607,-0.7742997177580802,-0.7845007578857744,1.6286969516677272,-0.48831953491744456,-0.2715508040772464,-0.23213945697162586,0.5966834160454416
76,2129,joint_02130,NGRIP_02834,8657,53,163.527444,113.314165,194.713279,-0.8283144464833528,-0.7120404659370019,1.7616914524860443,0.10745204473091641,-0.21671575368004495,-0.41586763432016394,0.755998726296306
77,4085,joint_04086,NGRIP_06452,9526,53,168.725691,119.11929,194.106401,-0.7662431647792396,-0.8235729615139129,2.107040447876409,0.25210716318324267,-0.23415234607451313,-0.32755516050778155,0.632326150885025
78,3668,joint_03669,NGRIP_00208,6398,53,167.089831,117.118719,194.471112,-0.7227924387154642,-1.0703262765604036,2.726433559474249,0.9359479263294104,-0.21035959474639393,-0.48602760173387843,0.9326378223116624
79,6683,joint_06684,NGRIP_02028,716,53,166.291544,117.184804,193.60674,-0.7602318046101573,-0.8906445535904269,1.923441250310709,-0.0053929166995129,-0.23661259645797095,-0.483482087552873,0.7776903917952036
80,5770,joint_05771,NGRIP_06951,5087,53,163.51784300000003,113.68246,194.335383,-0.7100456637366672,-1.0470727190532045,2.3842868864286757,0.6770158410315146,-0.2202662973246441,-0.614633043353281,0.8416959765125654
81,372,joint_00373,NGRIP_08917,6756,53,160.76602100000002,111.366268,193.899753,-0.6609035701112139,-1.0277020535626953,0.5476415726435144,-1.4732098260420436,-0.29673115305607567,-0.6705698627402786,0.6177014579596315
82,9319,joint_09320,NGRIP_08193,5753,53,165.96563300000003,116.037794,194.427839,-0.7090616368903803,-0.9921014531272534,1.6164248941446362,-0.5546660998965023,-0.3189918695974617,-0.5851291884281624,0.8505776427760208
83,2443,joint_02444,NGRIP_08087,8200,53,169.631228,120.181029,193.950199,-0.8445712521766423,-0.6392193423304945,1.6630061214405398,-0.35632687171355787,-0.2558304879725691,-0.3594575900480741,0.5876982898343387
84,3154,joint_03155,NGRIP_07323,8754,53,165.22920600000003,115.42888,194.300326,-0.8448988139918103,-0.7780876892963824,2.6700590154740866,0.9797384060974764,-0.18982866134213938,-0.362357805087837,0.9086284659310622
