replicate_id,scenario,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,residual_status
118,B_sampling,True,,56,0.0877609349048,0.0514414139447,ok
119,B_sampling,True,,46,0.0843615541092,0.00394914066202,ok
120,B_sampling,True,,54,0.100294781576,0.0471432255987,ok
121,B_sampling,True,,59,0.0847842371964,0.151097998092,ok
122,B_sampling,True,,64,0.0973940730249,0.0133391143248,ok
123,B_sampling,True,,55,0.0654961174916,0.0409966235535,ok
124,B_sampling,True,,52,0.117703489321,0.0351116416036,ok
125,B_sampling,True,,44,0.110757541016,0.087628664391,ok
126,B_sampling,True,,59,0.0722077288641,0.057957626549,ok
127,B_sampling,True,,50,0.0695217487466,0.099948545725,ok
128,B_sampling,True,,61,0.0940715456252,0.081522461015,ok
129,B_sampling,True,,62,0.110732529985,0.0192133264929,ok
130,B_sampling,True,,57,0.0773578554843,0.015139653924,ok
131,B_sampling,True,,50,0.0795646029562,0.0311650320902,ok
132,B_sampling,True,,58,0.0685019736512,0.133033471276,ok
133,B_sampling,True,,56,0.067550222995,0.118219568801,ok
134,B_sampling,True,,49,0.117385733015,0.0891417375144,ok
135,B_sampling,True,,52,0.0693111755485,0.14980430713,ok
136,B_sampling,True,,62,0.0759744845387,0.00652271801843,ok
137,B_sampling,True,,60,0.0986269913245,0.0407962939708,ok
138,B_sampling,True,,46,0.0900045771093,0.0948732611965,ok
139,B_sampling,True,,57,0.0787454894449,0.11578781475,ok
140,B_sampling,True,,52,0.0751894573967,0.109156320854,ok
141,B_sampling,True,,54,0.0897572567115,0.055502568794,ok
142,B_sampling,True,,50,0.099690399953,0.00929752285806,ok
143,B_sampling,True,,64,0.0879804877696,0.0074657303056,ok
144,B_sampling,True,,51,0.0688603204354,0.0979440516277,ok
145,B_sampling,True,,52,0.100955468409,0.0205440421948,ok
146,B_sampling,True,,50,0.0825602387438,0.0645324210169,ok
147,B_sampling,True,,54,0.0480820783968,0.0704273854386,ok
148,B_sampling,True,,59,0.0719835688666,0.0507531356639,ok
149,B_sampling,True,,59,0.0554812315272,0.0124324533141,ok
150,B_sampling,True,,55,0.0887616320224,0.0104392777145,ok
151,B_sampling,True,,51,0.0820552713414,0.014702524443,ok
152,B_sampling,True,,51,0.0811603664892,0.0385447259877,ok
