bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
98,52,51,True,finite_mle,1,,51,-145.193498133,-144.919065575,0.274432557216,0.548865114431,0.00776318606575,True,True,True,4
99,55,54,True,finite_mle,1,,54,-156.696150064,-155.078250967,1.6178990976,3.23579819521,0.0432247223106,True,True,True,4
100,67,66,True,finite_mle,1,,66,-180.013290808,-179.874844458,0.138446350138,0.276892700277,0.00302630095112,True,True,True,4
101,51,50,True,finite_mle,1,,50,-149.73608636,-149.031032516,0.705053843942,1.41010768788,0.0203435536843,True,True,True,4
102,44,43,True,finite_mle,1,,43,-132.662771142,-131.69345027,0.969320872278,1.93864174456,0.0325217305922,True,True,True,4
103,59,58,True,finite_mle,1,,58,-158.179907263,-157.764436559,0.415470703391,0.830941406781,0.0103344400589,True,True,True,4
104,49,48,True,finite_mle,1,,48,-147.080329193,-146.767507931,0.312821262277,0.625642524554,0.00940220174524,True,True,True,4
105,46,45,True,finite_mle,1,,45,-139.528598733,-137.666988691,1.86161004281,3.72322008561,0.0596830128184,True,True,True,4
106,49,48,True,finite_mle,1,,48,-147.993376936,-145.357824274,2.63555266213,5.27110532426,0.0792145574094,True,True,True,4
107,59,58,True,finite_mle,1,,58,-163.738181327,-163.484290857,0.253890470066,0.507780940133,0.00631528486369,True,True,True,4
108,57,56,True,finite_mle,1,,56,-162.354888179,-161.145609096,1.20927908295,2.4185581659,0.0311539452862,True,True,True,4
109,56,55,True,finite_mle,1,,55,-161.034976817,-160.095768579,0.939208238428,1.87841647686,0.0246362012353,True,True,True,4
110,49,48,True,finite_mle,1,,48,-143.022994594,-142.682117225,0.340877369234,0.681754738468,0.0102454602114,True,True,True,4
111,59,58,True,finite_mle,1,,58,-162.602703576,-160.92517068,1.67753289628,3.35506579256,0.0417270412136,True,True,True,4
112,54,53,True,finite_mle,1,,53,-152.110878275,-148.156124773,3.95475350219,7.90950700438,0.10765100501,True,True,True,4
113,67,66,True,finite_mle,1,,66,-178.345037355,-177.725592324,0.619445031819,1.23889006364,0.0135404587198,True,True,True,4
114,59,58,True,finite_mle,1,,58,-165.232521168,-164.70765083,0.524870338448,1.0497406769,0.013055652317,True,True,True,4
115,77,76,True,finite_mle,1,,76,-191.436578745,-191.171399095,0.265179649473,0.530359298946,0.00503386006894,True,True,True,4
116,53,52,True,finite_mle,1,,52,-152.784204058,-151.394257038,1.38994701918,2.77989403836,0.0385628783013,True,True,True,4
117,64,63,True,finite_mle,1,,63,-170.651958092,-169.048284442,1.60367365013,3.20734730025,0.0367240003531,True,True,True,4
118,50,49,True,finite_mle,1,,49,-143.938130275,-143.134858923,0.803271351208,1.60654270242,0.0236505223444,True,True,True,4
119,56,55,True,finite_mle,1,,55,-153.617787433,-153.434754081,0.183033352793,0.366066705587,0.0048011147344,True,True,True,4
120,51,50,True,finite_mle,1,,50,-149.660845489,-149.529171629,0.131673859233,0.263347718465,0.00379930447459,True,True,True,4
121,71,70,True,finite_mle,1,,70,-187.263203057,-185.427045341,1.8361577158,3.6723154316,0.0378430804411,True,True,True,4
122,55,54,True,finite_mle,1,,54,-157.158428893,-154.385989613,2.77243928018,5.54487856036,0.0740700814941,True,True,True,4
123,64,63,True,finite_mle,1,,63,-175.509220594,-174.087157232,1.42206336168,2.84412672336,0.0325651390433,True,True,True,4
124,64,63,True,finite_mle,1,,63,-171.785607817,-166.781871496,5.00373632069,10.0074726414,0.11458516787,True,True,True,4
125,40,39,True,finite_mle,1,,39,-127.128655095,-126.735815259,0.392839835903,0.785679671807,0.0145320021313,True,True,True,4
126,70,69,True,finite_mle,1,,69,-178.041294421,-177.611900338,0.429394082334,0.858788164668,0.00897803932131,True,True,True,4
127,57,56,True,finite_mle,1,,56,-156.131326973,-154.614202406,1.51712456666,3.03424913332,0.0390847872987,True,True,True,4
128,64,63,True,finite_mle,1,,63,-177.888636961,-177.859358818,0.0292781434134,0.0585562868267,0.000670467179506,True,True,True,4
129,71,70,True,finite_mle,1,,70,-187.556552571,-187.484115005,0.0724375657744,0.144875131549,0.00149293309881,True,True,True,4
130,53,52,True,finite_mle,1,,52,-151.325152403,-151.217171474,0.107980928366,0.215961856732,0.00299583749739,True,True,True,4
131,67,66,True,finite_mle,1,,66,-176.121259921,-175.80710242,0.314157500367,0.628315000734,0.00686717375512,True,True,True,4
132,67,66,True,finite_mle,1,,66,-180.444868233,-180.357634451,0.08723378198,0.17446756396,0.00190684461607,True,True,True,4
133,53,52,True,finite_mle,1,,52,-155.060725719,-153.668487136,1.39223858308,2.78447716616,0.0386264557605,True,True,True,4
134,57,56,True,finite_mle,1,,56,-164.47109792,-164.305661097,0.165436823379,0.330873646758,0.00426205151195,True,True,True,4
135,50,49,True,finite_mle,1,,49,-145.716763325,-143.753397786,1.96336553894,3.92673107788,0.0578068923772,True,True,True,4
136,56,55,True,finite_mle,1,,55,-158.389313668,-156.76652926,1.62278440793,3.24556881585,0.042566963959,True,True,True,4
137,70,69,True,finite_mle,1,,69,-185.495420176,-185.166546344,0.328873832751,0.657747665503,0.00687629924042,True,True,True,4
138,59,58,True,finite_mle,1,,58,-166.397504182,-164.552832441,1.84467174156,3.68934348313,0.0458844616142,True,True,True,4
139,56,55,True,finite_mle,1,,55,-160.906311174,-160.477110257,0.429200916897,0.858401833793,0.0112582915337,True,True,True,4
140,48,47,True,finite_mle,1,,47,-140.906577684,-140.850751889,0.0558257947914,0.111651589583,0.00171360845318,True,True,True,4
141,55,54,True,finite_mle,1,,54,-158.427669654,-158.180108225,0.247561428898,0.495122857796,0.00661399344049,True,True,True,4
142,56,55,True,finite_mle,1,,55,-161.072793671,-159.34356794,1.72922573185,3.4584514637,0.0453590070531,True,True,True,4
143,58,57,True,finite_mle,1,,57,-159.438841589,-159.387790128,0.0510514602808,0.102102920562,0.00129213488732,True,True,True,4
