source_row,event_age_ka,pick_value,event_index,dataset_id,event_type,event_label,event_definition,age_column,pick_column,analysis_start_ka,analysis_end_ka,source
58,332.76,1.0,59,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
59,333.1,1.0,60,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
60,333.62,1.0,61,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
61,334.16,1.0,62,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
62,347.62,1.0,63,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
63,349.22,1.0,64,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
64,363.24,1.0,65,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
65,367.84,1.0,66,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
66,372.94,1.0,67,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
67,382.0,1.0,68,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
68,386.8,1.0,69,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
69,390.96,1.0,70,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
70,424.9,1.0,71,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
71,426.96,1.0,72,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
72,435.92,1.0,73,barker_variable_threshold_edc3_0_640,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",variable_threshold,Age kyr (EDC3),DO pick variable threshold,0.0,640.0,data/raw/Barker et al-2011-SOM.xls
