realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_08553,NGRIP_06039,9477,True,,55,7.87057,0.0195401296,0.103225748,-3.81218917,345.799817,3.27004342,True,True,False
joint_08554,NGRIP_07806,7785,True,,55,8.63095268,0.013360184,0.113198478,-4.57257186,334.642201,3.47546557,True,True,False
joint_08555,NGRIP_05684,1031,True,,55,11.5071708,0.00317138972,0.150921257,-7.44878996,339.906024,4.27137553,True,True,False
joint_08556,NGRIP_09941,6028,True,,55,15.9616212,0.000341962122,0.209343197,-11.9032403,324.499434,5.81919344,True,True,False
joint_08557,NGRIP_01839,7485,True,,55,12.5473943,0.00188524561,0.164564215,-8.48901352,334.141476,4.58536811,True,True,False
joint_08558,NGRIP_00646,7246,True,,55,17.4548997,0.000162075246,0.228928157,-13.3965189,333.427873,6.35415495,True,True,False
joint_08559,NGRIP_03563,5908,True,,55,11.9203557,0.00257945314,0.156340346,-7.8619749,331.771586,4.43026086,True,True,False
joint_08560,NGRIP_08369,2697,True,,55,10.2852009,0.00584247696,0.134894621,-6.22682004,310.341208,3.89483139,True,True,False
joint_08561,NGRIP_02297,5621,True,,55,17.2682991,0.000177924807,0.226480813,-13.2099182,320.677582,6.14019203,True,True,False
joint_08562,NGRIP_00783,8855,True,,55,9.70378346,0.00781358235,0.127269093,-5.64540264,328.598452,3.71471862,True,True,False
joint_08563,NGRIP_07628,7763,True,,55,10.9451715,0.00420035705,0.143550406,-6.88679066,336.642317,4.06249826,True,True,False
joint_08564,NGRIP_09045,4914,True,,55,11.8014192,0.00273750154,0.154780446,-7.74303842,338.682981,4.39188348,True,True,False
joint_08565,NGRIP_05040,10000,True,,55,13.2893673,0.0013009199,0.174295494,-9.23098647,324.751402,4.77099002,True,True,False
joint_08566,NGRIP_04307,3686,True,,55,11.176554,0.00374146881,0.146585082,-7.1181732,332.752372,4.19791951,True,True,False
joint_08567,NGRIP_05616,8915,True,,55,13.8810027,0.000967784262,0.182055035,-9.8226219,333.764504,5.10058898,True,True,False
joint_08568,NGRIP_06739,1759,True,,55,13.9585618,0.000930972406,0.183072254,-9.90018101,326.97273,5.0246538,True,True,False
joint_08569,NGRIP_05406,6386,True,,55,11.2851183,0.00354378779,0.148008947,-7.22673743,337.37827,4.20602274,True,True,False
