realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_06522,NGRIP_00595,9264,14.479892,22.846328,23.170517,27.609517,28.721768,30.645705,32.163507,33.259367,34.938395,37.518242,39.371065,40.706109,42.599076,45.900480,48.111734,53.119260,53.875132,54.688132,57.001066,57.295856,58.133371,58.498673,63.499949,69.458472,72.219446,76.611266,84.497691,84.791153,89.695505,105.036260,105.553215,107.800190,109.404022,117.324230,135.407546,138.650676,146.481643,147.111317,148.771170,149.864630,150.768832,151.387931,159.883865,161.041258,165.265470,169.685298,170.521738,172.111351,172.831552,175.699588,176.578821,180.307269,180.507950,190.790796,193.789895
joint_06523,NGRIP_08868,7889,14.674515,23.208869,23.538424,28.256475,29.434413,31.440607,33.095445,34.326723,35.997339,38.785070,40.744933,42.093729,44.003024,47.673465,50.279946,55.545115,56.352039,57.179020,59.547141,59.839743,60.663125,61.083683,65.736787,71.609661,74.433780,78.447158,85.869285,86.158670,91.552702,105.645147,106.075354,108.387858,110.039875,116.865184,134.729863,138.246032,146.119450,146.696244,148.249544,149.226074,150.286995,150.959331,159.315606,160.786455,164.858009,167.927597,169.192054,171.160732,172.097327,174.211533,176.864736,180.473463,180.886635,190.651801,193.605863
joint_06524,NGRIP_09298,6635,14.595251,22.663773,22.993964,27.350285,28.470398,30.562201,32.347879,33.746815,35.508363,38.046648,39.903916,41.091466,42.760159,46.095063,48.378242,53.308118,54.124092,55.076597,57.833440,58.148030,59.174529,59.587199,64.434881,69.267124,71.802288,75.876700,84.099286,84.428267,89.986241,104.601904,105.128337,107.359045,108.865992,117.206340,135.726836,138.836061,146.670250,147.310368,149.017148,150.148949,150.977627,151.592578,160.140980,161.090530,165.452805,170.539679,171.130302,172.536117,173.170189,176.379698,177.150757,179.459337,180.120059,191.223051,195.007017
joint_06525,NGRIP_01420,19,14.728681,23.098819,23.460269,27.868247,28.989593,30.813707,32.347174,33.431389,35.119655,38.329375,40.586336,41.967950,43.943093,47.494292,49.859674,55.383284,56.204341,57.076984,59.469337,59.731475,60.597203,60.970829,66.597024,71.754773,74.680209,79.289260,87.863616,88.175322,92.192858,107.722973,108.128311,109.846005,110.980939,117.830251,135.234657,138.542898,146.406737,147.009061,148.637909,149.683162,150.626523,151.281869,159.726783,160.814922,165.157826,169.236387,170.166700,171.842602,172.638075,175.302026,176.611651,179.822527,180.431547,190.407387,193.587981
joint_06526,NGRIP_04523,9378,14.601852,22.534170,22.900931,26.856420,27.839952,29.443835,31.137466,32.302469,33.993888,36.685117,38.581835,39.727886,41.240757,44.497293,46.845291,51.628754,52.342970,53.191790,55.473806,55.725591,56.528462,56.886655,61.928438,68.291954,70.685362,74.753997,85.084909,85.446857,90.033267,103.373096,103.871447,106.135514,107.724332,114.583645,135.132657,138.482142,146.352126,146.946618,148.559315,149.586632,150.553760,151.217477,159.640945,160.757804,165.096694,168.966292,169.967002,171.698877,172.527800,175.078688,176.804552,180.127326,180.224323,190.837890,193.775560
joint_06527,NGRIP_05502,7030,14.688041,23.564250,23.909625,28.329134,29.423083,31.407447,33.164840,34.496810,36.320192,39.306395,41.435604,42.773632,44.725360,48.482870,51.155168,56.368378,57.163217,58.002542,60.295564,60.549825,61.398345,61.734975,66.021130,71.604389,74.330671,78.857394,89.152158,89.497785,94.729147,110.176196,110.646550,113.145579,114.957036,123.982937,134.942912,138.373243,146.233316,146.826734,148.413531,149.426822,150.438474,151.094073,159.494254,160.866559,164.986105,168.480179,169.610077,171.459585,172.328151,174.679345,176.073711,179.814286,180.372619,190.771020,193.953589
joint_06528,NGRIP_07233,5412,14.652887,23.041852,23.368442,27.918322,29.068181,30.919596,32.410521,33.498159,35.093885,38.034946,40.095659,41.498286,43.468466,47.060080,49.504707,54.432280,55.176979,55.955005,57.969768,58.268112,58.952536,59.284262,63.616808,67.953278,71.216154,76.377370,85.824842,86.163770,91.351535,104.318655,104.803551,107.463666,109.359904,116.246766,135.041278,138.427713,146.303202,146.890677,148.488905,149.500153,150.488573,151.159790,159.564044,160.706634,165.041928,168.724320,169.788098,171.570118,172.429006,174.878605,176.782930,179.646446,180.142714,191.074341,194.316280
joint_06529,NGRIP_08013,6883,14.598974,22.645409,22.961740,27.462405,28.625608,30.704845,32.578453,33.953650,35.870862,38.662883,40.596082,41.994747,44.026141,47.600155,50.003397,53.634282,54.181612,54.967592,57.039910,57.278684,58.010455,58.362267,62.627482,67.906894,71.052164,75.331723,82.481283,82.689671,86.421914,99.523576,99.946294,101.242791,102.124612,108.849882,135.441588,138.666155,146.517528,147.135742,148.797356,149.878996,150.774140,151.412503,159.900928,160.930798,165.281847,169.784341,170.571835,172.134182,172.861796,175.755120,177.028566,179.298829,179.831565,190.753223,193.799874
joint_06530,NGRIP_08803,4869,14.637143,22.761804,23.040760,27.502917,28.581334,30.480677,32.066658,33.199958,34.907448,37.663583,39.677882,41.166362,43.366416,47.089049,49.399814,53.796956,54.463568,55.378873,57.933990,58.222746,59.113526,59.505947,64.499729,69.528060,72.493677,76.631325,83.512759,83.768740,88.436056,101.155271,101.648719,104.239639,106.170978,113.635678,134.740789,138.263207,146.114417,146.695643,148.258790,149.256045,150.291248,150.965675,159.334948,160.798028,164.825590,168.007601,169.229901,170.813304,172.110341,174.248446,177.386237,180.954890,181.048275,190.864476,193.890284
joint_06531,NGRIP_08146,4096,14.547080,22.468142,22.785340,27.084546,28.186255,30.223652,31.993649,33.260214,35.172895,38.102809,40.189001,41.422479,43.268373,46.731848,49.109155,54.228653,55.062597,55.967191,58.457365,58.721778,59.602268,60.026627,65.361703,70.794179,73.280923,77.296504,85.264385,85.564038,89.982846,106.153611,106.792013,109.166809,110.751409,118.402329,134.654975,138.211619,146.068523,146.643094,148.192819,149.175568,150.229940,150.911267,159.263046,160.765467,164.768529,167.804158,169.061388,170.690618,172.017245,174.059546,177.161641,179.921240,180.292534,190.886134,194.197251
joint_06532,NGRIP_09094,2038,14.622362,23.061861,23.418927,28.497036,29.810886,32.070945,33.745735,35.118242,36.884534,39.522092,41.429654,42.793274,44.776813,48.251108,50.533712,56.376022,57.321223,58.105828,60.437342,60.721157,61.535443,61.908765,66.125989,72.585378,75.692220,80.312019,89.500775,89.801206,94.645476,107.144478,107.564177,109.429057,110.624462,118.767655,135.123183,138.493088,146.318923,146.929802,148.552762,149.614655,150.564437,151.208121,159.655349,160.943124,165.079856,168.914156,169.980804,171.360001,172.525180,175.090196,176.704244,179.212116,179.847726,191.090465,194.207788
joint_06533,NGRIP_07736,6330,14.679775,23.360527,23.700899,28.404575,29.631534,31.686682,33.616426,35.032822,36.953283,39.939729,42.036069,43.297316,45.162294,48.684985,51.392761,57.021491,57.893965,58.653286,60.737254,60.915310,61.735800,62.016963,67.139864,72.836466,75.399396,79.358237,87.599649,87.857541,92.422117,105.673681,106.193066,107.790359,108.953327,116.304386,135.718308,138.850855,146.637200,147.294227,149.010276,150.172767,150.989606,151.585445,160.153995,161.168938,165.475576,170.325044,171.149447,172.210835,173.170803,176.400227,176.424034,180.401029,181.001546,190.613731,193.562068
joint_06534,NGRIP_00461,4324,14.661996,23.146329,23.423479,27.918859,29.067185,31.177100,32.955500,34.379628,36.288598,39.414027,41.628701,42.773192,44.355650,47.745170,50.246013,54.904209,55.616918,56.320277,58.493824,58.689950,59.473521,59.752407,64.972109,70.207826,72.941483,77.588561,87.924018,88.329801,92.784061,105.395670,105.806281,107.822635,109.147050,117.495254,135.450740,138.671606,146.522428,147.141345,148.804407,149.887657,150.780669,151.418280,159.908629,160.935923,165.287331,169.808575,170.589752,172.147078,172.871690,175.775159,176.911618,179.759126,180.038806,191.112560,194.378720
joint_06535,NGRIP_05441,3971,14.691750,22.609438,22.945650,27.455972,28.633348,30.605030,32.123794,33.277473,34.906558,37.847450,39.943971,41.253393,43.212138,47.085925,49.795628,54.715083,55.479050,56.276760,58.546370,58.804887,59.594035,59.945454,64.920071,70.498976,73.449644,77.795324,86.706674,87.022885,91.723965,104.062639,104.463788,106.035433,107.109095,113.566838,134.694163,138.220956,146.117357,146.678177,148.221443,149.171652,150.240954,150.940660,159.271927,160.512258,164.833891,167.805159,169.108507,171.081009,172.053728,174.118565,176.647809,179.724013,180.500817,191.007780,194.042682
