realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_response_events,n_conditioning_events,response_exposure_kyr,gain_bits_per_event,LR_statistic,nominal_LR_p,delta_AIC_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,pre_phase_amplitude,beta_history,beta_pre_phase_sin,beta_pre_phase_cos,all_models_converged,likelihood_nesting_ok
joint_00871,NGRIP_02770,3670,True,,53.0,2.0,163.652042,0.2821466941555929,20.73033366917539,3.151122159098789e-05,-16.730333669175394,326.55275342099634,8.576913621116523,1.0745370654836548,-0.9694985020284044,-0.5922514933904298,0.8965869024668105,True,True
joint_00872,NGRIP_00579,1962,True,,53.0,2.0,164.57410099999998,0.2314242896469585,17.003575951479007,0.000203104897539,-13.003575951479007,322.21188243822724,6.633760012717237,0.9460858822594396,-0.8971476519470784,-0.5797076645430354,0.747674742304889,True,True
joint_00873,NGRIP_02364,1188,True,,53.0,2.0,167.656845,0.1672288038159358,12.286902430583382,0.0021474993317285,-8.286902430583382,343.788834284912,4.783024179701848,0.7825365100138019,-0.7020445415492964,-0.2184671666385044,0.751422309094909,True,True
joint_00874,NGRIP_05605,132,True,,53.0,2.0,164.021843,0.2192009904971585,16.105486145139594,0.0003182278021864,-12.105486145139594,327.2616592772961,6.075323858351084,0.9021176489111616,-0.8791124033474012,-0.4878682148743354,0.7588154303862903,True,True
joint_00875,NGRIP_01619,2584,True,,53.0,2.0,164.29548599999998,0.2448206223828022,17.987852759642465,0.0001241616292019,-13.987852759642465,330.8987694935025,7.147271008756058,0.9833653033758096,-0.8492607267664284,-0.4782637921171934,0.85922701600513,True,True
joint_00876,NGRIP_07502,5882,True,,53.0,2.0,169.709387,0.1627171226589067,11.95541296878389,0.0025346328509717,-7.9554129687838895,342.9106472047566,4.677686539224504,0.7714018292415252,-0.7190522253989448,-0.2266862291913395,0.7373426175477602,True,True
joint_00877,NGRIP_06386,1668,True,,53.0,2.0,161.306047,0.2357469914298782,17.321180418121628,0.0001732820041075,-13.321180418121628,319.3474908641683,7.019418953648447,0.9743402222382672,-1.0174056348943314,-0.6347532137498063,0.7392071606157562,True,True
joint_00878,NGRIP_08022,5446,True,,53.0,2.0,165.880785,0.2468431899757085,18.13645808424104,0.0001152704971871,-14.136458084241042,327.23719964460486,7.285869584988001,0.9929683995142136,-0.8913207108737885,-0.5373571155375156,0.8350051334063879,True,True
joint_00879,NGRIP_02703,7414,True,,53.0,2.0,167.92970400000002,0.2272958684491501,16.70024597905598,0.0002363674459202,-12.700245979055978,341.6940939467981,6.6482983172261,0.9471804648876648,-0.9346421483410232,-0.2975002164014168,0.8992466037222066,True,True
joint_00880,NGRIP_06808,9826,True,,53.0,2.0,163.91031999999998,0.2543949484938113,18.691312977500843,8.73439759082966e-05,-14.691312977500845,327.8002736535002,7.665937852026545,1.018393429981571,-1.038382983993138,-0.5426735826499591,0.8617601527823656,True,True
joint_00881,NGRIP_05444,7501,True,,53.0,2.0,160.45244300000002,0.2334621926215091,17.153308021791844,0.0001884544903185,-13.153308021791844,326.5194862962526,7.332505115871783,0.9961586097836944,-0.7901672424505527,-0.5495342330279466,0.8308694858860624,True,True
joint_00882,NGRIP_07423,7611,True,,53.0,2.0,161.501864,0.2469984315933323,18.147864244934567,0.0001146149713152,-14.147864244934569,317.6772606343954,7.529292148958861,1.0094005166354043,-1.074647466518227,-0.6796354272016079,0.7463143366412768,True,True
joint_00883,NGRIP_08357,2620,True,,53.0,2.0,164.643474,0.1936054324356943,14.224888321192395,0.0008149008076004,-10.224888321192395,330.2918860055571,5.604333387427656,0.8617700588404564,-1.0490771189531565,-0.4270774496675533,0.7485001578485754,True,True
joint_00884,NGRIP_05325,3784,True,,53.0,2.0,167.514939,0.1705387394731098,12.530095322855516,0.0019016227822372,-8.530095322855516,334.3036543970117,4.7006630116396515,0.773851782536703,-0.713141583423173,-0.3355433802623506,0.6973214619509055,True,True
joint_00885,NGRIP_09445,802,True,,53.0,2.0,170.58625899999998,0.1681102131966625,12.351662751863389,0.0020790767044038,-8.351662751863387,329.96181681510654,4.661070423719101,0.7696225632101148,-0.752327717655367,-0.3852553750386628,0.6662560962617351,True,True
joint_00886,NGRIP_00514,9965,True,,53.0,2.0,163.517833,0.2413194355308354,17.7306079533667,0.0001412041310389,-13.7306079533667,326.35443496683433,6.788500577968094,0.9576150445987444,-0.8913488382057367,-0.5305702189687899,0.7971962220089014,True,True
joint_00887,NGRIP_09349,2366,True,,53.0,2.0,159.930624,0.2328585444501367,17.10895581681993,0.0001926803598865,-13.108955816819927,313.2467286444422,6.835883975274357,0.9610928962523104,-0.9518585355599908,-0.7000697629153751,0.6584845345778932,True,True
joint_00888,NGRIP_03179,7856,True,,53.0,2.0,162.79662,0.2363068842095848,17.36231775689859,0.0001697542290473,-13.362317756898593,324.0036949843048,7.052731046661483,0.9767074621580608,-0.7785269546287854,-0.5740432828970817,0.7902099569076441,True,True
joint_00889,NGRIP_08508,7395,True,,53.0,2.0,163.767285,0.2435533512759591,17.894741787802843,0.0001300787015821,-13.894741787802843,329.7664084503635,7.269755984652565,0.9918613631425436,-1.0026507790205197,-0.4994285499961838,0.8569481239513242,True,True
