event_id,source_row,event_age_ka,pick_value,source_excel_row,event_index,dataset_id,event_type,event_label,event_definition,age_column,pick_column,analysis_start_ka,analysis_end_ka,source,left_control_id,right_control_id,right_control_weight,in_published_alignment_gap,in_long_control_interval,beyond_last_published_control
Barker_S3_030,20,103.35484795138207,1,30,21,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_24,S1_25,0.57820128248097935,False,False,False
Barker_S3_031,21,109.77761542012928,1,31,22,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_26,S1_27,0.0098963034434127132,False,False,False
Barker_S3_032,22,125.32790820673185,1,32,23,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_27,S1_28,0.7647203664299419,False,False,False
Barker_S3_033,23,129.07452589072466,1,33,24,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_27,S1_28,0.9725194614933258,False,False,False
Barker_S3_034,24,147.36634425456978,1,34,25,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_30,S1_31,0.38522847756791989,False,False,False
Barker_S3_035,25,149.08323207420821,1,35,26,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_30,S1_31,0.46456710139594348,False,False,False
Barker_S3_036,26,150.97180867581042,1,36,27,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_30,S1_31,0.55183958760676655,False,False,False
Barker_S3_037,27,160.69435786143114,1,37,28,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_31,S1_32,0.0072064678790401638,False,False,False
Barker_S3_038,28,164.03352385202012,1,38,29,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_31,S1_32,0.99512540000595062,False,False,False
Barker_S3_039,29,169.48426684230336,1,39,30,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_33,S1_34,0.98938905853906145,False,False,False
Barker_S3_040,30,173.18254908054905,1,40,31,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_34,S1_35,0.98186803240565901,False,False,False
Barker_S3_041,31,176.29481969044201,1,41,32,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_35,S1_36,0.92829868611036903,False,False,False
Barker_S3_042,32,177.95905641025641,1,42,33,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_37,S1_38,0.10267066267066526,False,False,False
Barker_S3_043,33,178.65000000000001,1,43,34,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_38,S1_39,0,False,False,False
Barker_S3_044,34,189.97930809248555,1,44,35,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_38,S1_39,0.9999389313756013,False,False,False
Barker_S3_045,35,192.67904271003977,1,45,36,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_40,S1_41,0.13419846811937153,False,False,False
Barker_S3_046,36,199.07712332556784,1,46,37,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_41,S1_42,0.0082721379554770106,False,False,False
Barker_S3_047,37,216.84838510734249,1,47,38,barker_variable_threshold_speleo_0_400,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",variable_threshold,SpeloAge (kyr).1,DO pick variable threshold,0,400,Barker2011/data/raw/Barker et al-2011-SOM.xls,S1_42,S1_43,0.99232229213020806,False,False,False
