control_id,speleo_age_ka,tuning_error_ka,absolute_speleo_error_ka,combined_uncertainty_ka,control_type,source_table_row,unfloored_extrapolation_ka,accepted_offset_mean_ka,accepted_offset_sd_ka,accepted_offset_q025_ka,accepted_offset_median_ka,accepted_offset_q975_ka
S1_17,59.299999999999997,0.35999999999999999,0.5,0.62,published,17,,0.001961757865904645,0.35989177025261004,-0.5898194966558572,0.0087387194024685991,0.59107553711162608
S1_18,71.629999999999995,0.28000000000000003,0.40000000000000002,0.48999999999999999,published,18,,-6.9129246318574988e-05,0.28092592570156727,-0.46194541983327353,-0.00026410686858930775,0.46373221310050189
S1_19,72.930000000000007,0.41999999999999998,0.5,0.66000000000000003,published,19,,0.0041690539947717049,0.38156625297911478,-0.62698565985388377,0.0091071730562601056,0.62649801224231538
S1_20,76.75,0.5,0.65000000000000002,0.81999999999999995,published,20,,0.0035992203085371379,0.47397187523300427,-0.78072228882521499,0.0040303574720068416,0.7780128576737555
S1_21,83.599999999999994,1.0800000000000001,0.75,1.3100000000000001,published,21,,-0.011100442413162987,0.75961342672234511,-1.2454588583410442,-0.01265062564822873,1.2407952270349334
S1_22,87.349999999999994,0.34000000000000002,0.59999999999999998,0.68999999999999995,published,22,,-0.0038313600098528861,0.39721597154978527,-0.65830429583383154,0.0036431989323775522,0.65561002377632793
S1_23,90.670000000000002,0.35999999999999999,0.65000000000000002,0.73999999999999999,published,23,,0.0045699191554913312,0.42701052043616816,-0.6993416233560199,0.01155691015107373,0.70386323873402856
S1_24,99.769999999999996,0.57999999999999996,1.1000000000000001,1.24,published,24,,-0.012613328540717783,0.71023783765702531,-1.1815537772408904,-0.017870225221673149,1.1804616425196444
S1_25,105.97,0.5,0.94999999999999996,1.0700000000000001,published,25,,-0.0056265454086832775,0.62137343376461796,-1.0152580068990014,-0.0021255978013239377,1.0179689512010195
S1_26,109.76000000000001,0.34999999999999998,1.55,1.5900000000000001,published,26,,-0.11482944626904185,0.87364194553965102,-1.5171254061890738,-0.14936851329867742,1.4575370327747827
S1_27,111.54000000000001,0.54000000000000004,1.5,1.5900000000000001,published,27,,0.12415290056323822,0.87122149607156252,-1.4636901206419974,0.15176715226840376,1.5128712657030836
S1_28,129.56999999999999,0.67000000000000004,1.25,1.4199999999999999,published,28,,-0.017595521324188155,0.81910148381692016,-1.3505284767688868,-0.021053436429205347,1.3446548533495262
S1_29,136.09,0.41999999999999998,1.25,1.3200000000000001,published,29,,-0.00073175861750062138,0.76074961740115565,-1.2536617050941286,0.001543507667937405,1.2498129692512479
S1_30,139.03,0.32000000000000001,1.45,1.48,published,30,,-0.00080291185417121283,0.84941322812110798,-1.4087292953471198,-0.00065159305341028868,1.4025432410647747
S1_31,160.66999999999999,0.41999999999999998,1.3999999999999999,1.46,published,31,,-0.0035277887799024981,0.83710507763064679,-1.3860556984775558,-0.0061126175308408781,1.3746745859883325
S1_32,164.05000000000001,0.5,1.3500000000000001,1.4399999999999999,published,32,,-0.20017191852120997,0.77290307421148807,-1.3782976513660321,-0.27768920745219661,1.2905227670149422
S1_33,165.22,0.46999999999999997,1.3999999999999999,1.48,published,33,,0.20007304366711981,0.79367027124528722,-1.3388021203597713,0.25752631677546017,1.4170102427804845
S1_34,169.53,0.28000000000000003,1.8,1.8200000000000001,published,34,,0.0045832341616334734,1.0562859951691781,-1.7289031591575883,0.0017605569703459702,1.727602301611471
S1_35,173.25,0.5,1.8,1.8700000000000001,published,35,,-0.032788114742849817,1.0639881503079462,-1.784332170820645,-0.01031920942067756,1.7499647525093469
S1_36,176.53,0.85999999999999999,1.8999999999999999,2.0899999999999999,published,36,,-0.43624928973474308,1.0200181459434277,-1.9962226093034132,-0.50975744299644565,1.7017472435344532
S1_37,177.88,0.28000000000000003,1.5,1.53,published,37,,-0.10567591086761095,0.81767000828261294,-1.440280426042549,-0.14528954847778458,1.3948975553510909
S1_38,178.65000000000001,0.56999999999999995,1.5,1.6000000000000001,published,38,,0.40512012684424797,0.80292296213080538,-1.3046499824487905,0.53990569654608844,1.5466195902612065
S1_39,189.97999999999999,1.52,2.6000000000000001,3.0099999999999998,published,39,,-0.55815639110898996,1.5860283181185073,-2.89231884262575,-0.77716210118793483,2.6466561807389035
S1_40,191.69,0.5,2.6000000000000001,2.6499999999999999,published,40,,0.41595601439861712,1.437487610063056,-2.3772678079396914,0.59356530350268022,2.5460939833233924
S1_41,199.06,0.41999999999999998,2.2000000000000002,2.2400000000000002,published,41,,-0.21898175016527158,1.2151864296528425,-2.1373421996126654,-0.26339133325860253,2.0395825340195275
S1_42,201.13,0.60999999999999999,1.7,1.8100000000000001,published,42,,0.16071679205087391,1.0068445594597297,-1.6736436041708966,0.21066924319361835,1.7296334906852167
S1_43,216.97,0.54000000000000004,2.1499999999999999,2.2200000000000002,published,43,,-0.011185021389665989,1.2779802507978004,-2.1004744329998606,-0.013571752794875162,2.1014239494844897
S1_44,226.90000000000001,1.3899999999999999,0.55000000000000004,1.5,published,44,,-0.063421852275432303,0.84536778373895716,-1.4326688590931722,-0.08274410805530974,1.3956763343306653
S1_45,228.53999999999999,0.41999999999999998,0.69999999999999996,0.81999999999999995,published,45,,0.028579432072049417,0.46575969223806241,-0.76754672296725845,0.030894552161691159,0.78326568553851061
S1_46,242.55000000000001,0.81000000000000005,0.25,0.84999999999999998,published,46,,-0.003945525616021804,0.48998977276204386,-0.80698271683225398,-0.0085472898955656785,0.80766302054092942
S1_47,246.99000000000001,0.78000000000000003,0.29999999999999999,0.83999999999999997,published,47,,-0.001214771697736188,0.49002642006682917,-0.80239198938831213,0.00025816316410694369,0.80203831560425176
S1_48,249.03999999999999,1.1699999999999999,0.29999999999999999,1.21,published,48,,0.00082833618464171147,0.69663502242781294,-1.14537482195353,0.0067672150203762875,1.1518646201387925
S1_49,251.84999999999999,0.5,0.20000000000000001,0.54000000000000004,published,49,,0.0025435334760154438,0.31049653400686,-0.51301754530670618,0.0035686249171898287,0.512297785899403
S1_50,259.56,0.56999999999999995,1.55,1.6499999999999999,published,50,,-0.0085238407448195198,0.95440793192949469,-1.5721796399898649,-0.013901411258996497,1.5679692046333438
S1_51,264.24000000000001,1.04,1.55,1.8700000000000001,published,51,,0.01263462958785358,1.075412035839036,-1.776735881463996,0.038016390172161588,1.7784935537727489
S1_52,317.69999999999999,0.40000000000000002,0.69999999999999996,0.81000000000000005,published,52,,-0.0046151629524285318,0.46625498741945737,-0.77406072085260258,-0.0060971996060225561,0.77233620318700935
S1_53,335.95999999999998,1.3,2.1000000000000001,2.4700000000000002,published,53,,-0.013690387270714794,1.432569175684079,-2.3540393388545149,-0.028760816983682401,2.3523166324283773
S1_54,342.82999999999998,2.04,2.1000000000000001,2.9300000000000002,published,54,,0.0080797492749766393,1.699747371027569,-2.7890264634919308,-0.0056431519403737293,2.7818466940254583
S1_55,350.25999999999999,0.28000000000000003,0.75,0.80000000000000004,published,55,,-0.022291017602154756,0.45449740902763869,-0.76013223644836303,-0.026791042025340772,0.75318067908502839
S1_56,351.52999999999997,0.28000000000000003,0.80000000000000004,0.84999999999999998,published,56,,0.018377029961157275,0.4862775946644402,-0.80049106132806913,0.026252541421794021,0.80961566574098109
S1_57,366.81999999999999,0.35999999999999999,1,1.0600000000000001,published,57,,-0.000198705348811311,0.61038611799624987,-1.0030903376660354,0.00046876049119733306,1.0076432664048667
S1_58,369.5,0.5,1,1.1200000000000001,published,58,,0.0031234513217498643,0.64545789019443045,-1.0634951779701758,0.003291951326605798,1.0647964744582281
S1_59,372.75,0.5,1.2,1.3,published,59,,0.0053756637305887511,0.75125816158916525,-1.2310248365123202,0.010090394133881964,1.2329071896123622
S1_60,378.14999999999998,0.29999999999999999,1,1.04,published,60,,0.0079498357574233729,0.5995362524371457,-0.98447050213905385,0.0079376190886489978,0.99169016033091351
AUX_400,400,,,1.3,auxiliary,,1.1148182928488037,-0.0036212765596160684,0.7557067202029184,-1.236624778980022,0.0024393209168468988,1.2372192526212502
