realization_id,n_predictive_events,n_predictive_bins,response_exposure_kyr,loglik_reduced,loglik_full,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used,fit_valid,invalid_reason
Barker_MC_09703,70,1993,398.5,-297.224931605,-293.609852685,7.23015783957,0.0269148010231,0.0745065204285,-3.20798249141,-0.209240436136,0.435845993021,334.355323242,2.62988495276,True,True,False,True,
Barker_MC_09704,70,1993,398.5,-301.447669683,-297.576705745,7.74192787621,0.0208382729355,0.0797802925281,-3.71975252805,-0.183778525065,0.459948957082,338.220184922,2.6928795967,True,True,False,True,
Barker_MC_09705,70,1993,398.5,-298.506825451,-294.067929456,8.87779199031,0.0118089684842,0.0914853319891,-4.85561664215,-0.154597098956,0.511373185276,343.179010666,2.91089929022,True,True,False,True,
Barker_MC_09706,70,1993,398.5,-298.503048399,-294.824844063,7.35640867208,0.0252683075111,0.0758075307854,-3.33423332392,-0.144201469493,0.46059135209,342.615758719,2.62550685792,True,True,False,True,
Barker_MC_09707,70,1993,398.5,-297.750585834,-294.790497202,5.92017726361,0.0518143245721,0.0610072169957,-1.89800191545,-0.0821103409726,0.42188391746,348.986336429,2.36221621152,True,True,False,True,
Barker_MC_09708,70,1993,398.5,-302.617363786,-298.623793689,7.98714019413,0.0184337860995,0.0823071967782,-3.96496484597,-0.226692268834,0.450572716791,333.292104569,2.74223105607,True,True,False,True,
Barker_MC_09709,70,1993,398.5,-300.433522276,-297.892643827,5.08175689837,0.0787971500868,0.0523673248306,-1.05958155021,-0.11385498296,0.379475949655,343.299066108,2.20863804417,True,True,False,True,
Barker_MC_09710,70,1993,398.5,-299.934268974,-296.907479134,6.05357968096,0.0484709882477,0.062381924181,-2.0314043328,-0.110491859182,0.421373753382,345.306803272,2.38986975185,True,True,False,True,
Barker_MC_09711,70,1993,398.5,-301.893146708,-298.195566333,7.39516075062,0.0247834205568,0.0762068695821,-3.37298540246,-0.13132266083,0.464057269161,344.199120948,2.62363731198,True,True,False,True,
Barker_MC_09712,70,1993,398.5,-298.106796149,-294.08809268,8.03740693772,0.0179762566136,0.0828251937903,-4.01523158955,-0.120627016218,0.491936441246,346.222428024,2.75390504118,True,True,False,True,
Barker_MC_09713,70,1993,398.5,-298.99252894,-295.014572903,7.95591207446,0.0187238711478,0.0819853921112,-3.9337367263,-0.184837429891,0.46771483261,338.436436073,2.73416777541,True,True,False,True,
Barker_MC_09714,70,1993,398.5,-298.827409575,-294.167368078,9.3200829933,0.00946606958339,0.0960431251079,-5.29790764514,-0.165088236488,0.518199292082,342.329130669,2.96750554083,True,True,False,True,
Barker_MC_09715,70,1993,398.5,-298.070524828,-294.359510589,7.42202847879,0.0244527097888,0.0764837405692,-3.39985313063,-0.066064995186,0.47630503276,352.103279774,2.6162181814,True,True,False,True,
Barker_MC_09716,70,1993,398.5,-297.053011759,-292.849883817,8.40625588363,0.0149487448108,0.0866261691125,-4.38408053547,-0.110951991887,0.505095811383,347.610877701,2.81307107823,True,True,False,True,
Barker_MC_09717,70,1993,398.5,-300.348054127,-296.886779677,6.92254890006,0.0313897318709,0.071336621203,-2.9003735519,-0.039871014938,0.463144809644,355.079676138,2.53378867452,True,True,False,True,
