phase_deg,mc_q025,mc_median,mc_q975
82.5,0.7853329059309209,0.8605055597828188,0.9520061945392603
83.0,0.7815398294188222,0.8563058427830188,0.9477854968142488
83.5,0.77771608669151,0.852264136306032,0.9434862158653088
84.0,0.7741165507151019,0.8481852622947483,0.9391798433275377
84.5,0.7703767501695247,0.8441840881834142,0.9350890997501331
85.0,0.7667171072606579,0.8402952121510943,0.9309176894724566
85.5,0.762951471045302,0.8364004518273922,0.9265690357764857
86.0,0.7592811213276837,0.8324047149751987,0.9223196563762432
86.5,0.7555763077688241,0.8284460628061886,0.9182073890148214
87.0,0.7519385294840845,0.8246182203695598,0.9140413993808235
87.5,0.7482933036977272,0.8208577067765589,0.9100827849896834
88.0,0.744989769757047,0.8170728430614584,0.9061672811150494
88.5,0.7413831792604044,0.8133486112488068,0.9020152746602819
89.0,0.7379849504885992,0.809707730866409,0.8979567216773738
89.5,0.7345874143205188,0.8060172949794877,0.8939208437098253
90.0,0.7312055210414031,0.8023784732910957,0.890024731409283
90.5,0.7278324934364406,0.79873497274488,0.8860831441680947
91.0,0.7244257147368621,0.795124702191335,0.8823634266380634
91.5,0.7209685083726672,0.7916230550973942,0.8785167198773355
92.0,0.7177207332135398,0.7881225373884155,0.8746759785342044
92.5,0.7142667823162068,0.7846397976519426,0.870987269393516
93.0,0.7111032525217937,0.7811578557510417,0.8673793816087356
93.5,0.7077762118940594,0.7777820868371026,0.8638045436745535
94.0,0.7046102701473596,0.7744477406142967,0.8601341843227055
94.5,0.7014143467036288,0.7711137506188706,0.8565422777854454
95.0,0.6983065712177433,0.7676610696604294,0.8529789639934853
95.5,0.6950530357102981,0.7644174041400654,0.8493284996237543
96.0,0.6921085035759768,0.7611837669045478,0.8458220215568765
96.5,0.6889736340925154,0.7579228429882263,0.8424188215636299
97.0,0.6859048443898819,0.754719961111374,0.8388162683509954
97.5,0.682648338653536,0.7515946666977116,0.8350408791841245
98.0,0.6797996627381472,0.7484316310697863,0.8314611258403386
98.5,0.6769477223511903,0.7453487609065751,0.8281627310023273
99.0,0.6739936992332245,0.7422562231484744,0.8248190987743064
99.5,0.6712048012075378,0.7391546226835468,0.8215251974608928
100.0,0.6683470111133478,0.7360700300745022,0.8182922690131506
100.5,0.6654928880557143,0.7331059078201183,0.8152550208447557
101.0,0.6626035394058147,0.7301577667651353,0.811830458381061
101.5,0.6597258598232589,0.7272456663109306,0.8084129589380347
102.0,0.6570179149651565,0.7243122433939644,0.8054831338358763
102.5,0.6543702044715789,0.7214262013847016,0.8020245675549525
103.0,0.6517367859397037,0.7186265203234918,0.7989158822619224
103.5,0.6490823520670103,0.7157451505634799,0.7958304728062877
104.0,0.646534942242274,0.7129904470900321,0.7929113275257252
104.5,0.6440732975814488,0.7102027592678759,0.7899954008941393
105.0,0.6415351197616656,0.7074116209500974,0.7870013926557043
105.5,0.639008453923609,0.7047105190373318,0.7838817069300462
106.0,0.6366154334303237,0.7020415399583567,0.7810363425222905
