bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
114,60,58,True,finite_mle,1,,40,18,-113.203440937,-110.943506741,2.25993419591,4.51986839182,0.0562137216754,True,True,True,4
115,52,50,True,finite_mle,1,,29,21,-102.488381775,-101.250162151,1.23821962393,2.47643924786,0.0357274662195,True,True,True,4
116,59,57,True,finite_mle,1,,39,18,-115.297478519,-114.513609985,0.783868533629,1.56773706726,0.0198400569504,True,True,True,4
117,58,56,True,finite_mle,1,,34,22,-113.21329544,-113.120731902,0.0925635382059,0.185127076412,0.00238465995601,True,True,True,4
118,60,58,True,finite_mle,1,,35,23,-110.900964785,-108.22027778,2.68068700559,5.36137401119,0.0666795491232,True,True,True,4
119,51,49,True,finite_mle,1,,25,24,-103.32691072,-102.906517177,0.420393542872,0.840787085744,0.0123775444801,True,True,True,4
120,50,48,True,finite_mle,1,,32,16,-103.480694498,-102.636075521,0.844618977483,1.68923795497,0.0253859918803,True,True,True,4
121,61,59,True,finite_mle,1,,35,24,-116.874952957,-116.269627068,0.605325888859,1.21065177772,0.0148017060674,True,True,True,4
122,49,47,True,finite_mle,1,,27,20,-101.803477794,-101.502300644,0.301177150542,0.602354301085,0.00924482513865,True,True,True,4
123,42,40,True,finite_mle,1,,27,13,-95.1251588604,-94.6919454599,0.433213400541,0.866426801082,0.0156248706152,True,True,True,4
124,61,59,True,finite_mle,1,,39,20,-117.271415608,-116.117522253,1.15389335483,2.30778670966,0.0282155291649,True,True,True,4
125,56,54,True,finite_mle,1,,37,17,-111.452274922,-110.550109596,0.902165326379,1.80433065276,0.0241027674524,True,True,True,4
126,52,50,True,finite_mle,1,,31,19,-107.081219099,-106.946276607,0.134942491926,0.269884983851,0.00389361727812,True,True,True,4
127,53,51,True,finite_mle,1,,28,23,-99.7354206238,-97.3897904055,2.34563021834,4.69126043668,0.0663535114462,True,True,True,4
128,50,48,True,finite_mle,1,,34,14,-102.096866664,-100.769396564,1.32747009972,2.65494019943,0.0398986360372,True,True,True,4
129,59,57,True,finite_mle,1,,37,20,-111.82078561,-111.527644866,0.293140743924,0.586281487848,0.0074195210095,True,True,True,4
130,63,61,True,finite_mle,1,,40,21,-120.270595562,-120.208566734,0.0620288277604,0.124057655521,0.00146702757708,True,True,True,4
131,53,51,True,finite_mle,1,,34,17,-104.390298806,-104.171273136,0.219025669765,0.43805133953,0.00619582838426,True,True,True,4
132,55,53,True,finite_mle,1,,32,21,-107.774044616,-106.777358949,0.996685666764,1.99337133353,0.0271304428069,True,True,True,4
133,52,50,True,finite_mle,1,,25,25,-107.451260129,-106.778269142,0.67299098715,1.3459819743,0.0194184151945,True,True,True,4
134,64,62,True,finite_mle,1,,43,19,-113.922166124,-112.808947836,1.11321828788,2.22643657576,0.0259037823121,True,True,True,4
135,53,51,True,finite_mle,1,,31,20,-109.57842732,-105.146856184,4.4315711366,8.8631422732,0.12536089612,True,True,True,4
136,48,46,True,finite_mle,1,,31,15,-101.007764438,-99.8362525509,1.17151188682,2.34302377364,0.0367420519448,True,True,True,4
137,44,42,True,finite_mle,1,,25,17,-94.8671959514,-94.8514796816,0.0157162698331,0.0314325396662,0.000539852013082,True,True,True,4
138,58,56,True,finite_mle,1,,38,18,-114.640776717,-113.15425826,1.48651845623,2.97303691246,0.0382963000891,True,True,True,4
139,66,64,True,finite_mle,1,,40,24,-121.104484574,-120.554036993,0.550447580609,1.10089516122,0.012408249919,True,True,True,4
140,48,46,True,finite_mle,1,,32,14,-100.335345071,-99.207140169,1.12820490154,2.25640980307,0.0353838177512,True,True,True,4
141,51,49,True,finite_mle,1,,26,23,-104.24730947,-103.582001133,0.665308336797,1.33061667359,0.0195885109828,True,True,True,4
142,52,50,True,finite_mle,1,,33,17,-107.381235749,-106.161511163,1.21972458539,2.43944917078,0.0351938122118,True,True,True,4
143,63,61,True,finite_mle,1,,43,18,-118.596638667,-115.808844011,2.78779465551,5.57558931102,0.0659334020414,True,True,True,4
144,57,55,True,finite_mle,1,,33,22,-107.211353805,-105.842469208,1.368884597,2.73776919401,0.0359069639936,True,True,True,4
145,57,55,True,finite_mle,1,,34,21,-113.581592574,-112.38233082,1.19926175341,2.39852350682,0.0314576178976,True,True,True,4
146,55,53,True,finite_mle,1,,37,16,-112.39179401,-111.605679113,0.786114896741,1.57222979348,0.0213985672282,True,True,True,4
