driver,driver_label,event_type,event_label,event_index,event_age_ka,orbital_value_at_event,phase_unwrapped_rad,phase_rad,phase_deg,phase_fraction,phase_extrapolated,included_in_pi_response,source_row
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",38,243.885981666,-0.0317152314682,88.5754241768,0.610829876242,34.9979739092,0.0972165941921,False,True,42
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",39,259.518362264,0.00282413162264,92.6104576386,4.64586333814,266.18836147,0.739412115194,False,True,46
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",40,261.985106372,-0.0099532765464,93.1931272001,5.22853289959,299.572868192,0.832146856089,False,True,47
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",41,264.304938871,-0.0179115569578,93.7410947742,5.77650047373,330.9690975,0.919358604167,False,True,48
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",42,276.908817737,0.0191993300606,96.7369724083,2.48919280056,142.620241866,0.396167338518,False,True,49
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",43,278.805517955,0.0245549458546,97.1883860045,2.94060639677,168.484335744,0.468012043734,False,True,50
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",44,281.47721396,0.0220493775127,97.8885341703,3.64075456261,208.599870681,0.579444085224,False,True,51
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",45,291.429791447,-0.0316859439019,100.610153271,0.0791883561382,4.5371585933,0.0126032183147,False,True,52
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",46,297.52778462,0.00900506403975,102.336046114,1.80508119885,103.423534372,0.287287595479,False,True,53
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",47,301.831050705,0.0354159869305,103.553983872,3.02301895742,173.206227648,0.481128410133,False,True,54
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",48,306.888917952,0.0079826477084,105.021964102,4.49099918684,257.315299203,0.714764720008,False,True,55
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",49,317.780158488,-0.00602184380087,108.216058822,1.40190859963,80.3234460219,0.223120683394,False,True,56
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",50,327.901346184,0.0122638035764,111.181063787,4.36691356536,250.205716794,0.695015879983,False,True,57
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",51,334.860945836,-0.0308056014554,113.190370306,0.0930347767034,5.33050005305,0.0148069445918,False,True,58
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",52,335.209952309,-0.0303534815521,113.294792798,0.19745726902,11.313468149,0.0314263004139,False,True,59
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",53,336.252534653,-0.0272571770297,113.606732706,0.509397177125,29.1863083451,0.0810730787364,False,True,61
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",54,351.123122905,-0.00450243709497,118.185793316,5.08845778653,291.547155398,0.80985320944,False,True,63
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",55,366.804973984,0.00553765931721,123.525449427,4.14492859075,237.486914633,0.65968587398,False,True,64
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",56,372.804462592,-0.00408231333007,125.887026093,0.223319949325,12.7952905774,0.0355424738261,False,True,65
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",57,378.190563154,0.00541549541432,128.0563766,2.39267045663,137.089918931,0.380805330363,False,True,66
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",58,387.378117458,-0.0106812349155,131.392035872,5.72832972887,328.209117123,0.911691992009,False,True,67
pre,Precession index,barker_do_warming_fixed_threshold_speleo,"Barker fixed-threshold D-O warmings, SpeleoAge 0-400 ka",59,392.245695897,-0.00535587208367,133.03675819,1.0898667388,62.4447643647,0.173457678791,False,True,68
