bootstrap_id,n_events_observation_support,n_events_response,fit_valid,status,solver_attempts,failure_reason,n_events_response_Barker2011,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,gain_bits_per_event,reduced_converged,full_converged,likelihood_nesting_ok,quadrature_order
62,79,78,True,finite_mle,1,,78,-197.348289021,-196.653852318,0.694436702211,1.38887340442,0.0128443639294,True,True,True,4
63,69,68,True,finite_mle,1,,68,-182.717365483,-179.342946247,3.37441923579,6.74883847158,0.0715920279023,True,True,True,4
64,80,79,True,finite_mle,1,,79,-199.42889464,-196.749244815,2.67964982573,5.35929965146,0.0489356647456,True,True,True,4
65,71,70,True,finite_mle,1,,70,-186.85374307,-183.322347423,3.53139564689,7.06279129378,0.0727818141027,True,True,True,4
66,67,66,True,finite_mle,1,,66,-180.181720086,-178.088552156,2.09316793004,4.18633586008,0.0457545907942,True,True,True,4
67,72,71,True,finite_mle,1,,71,-186.646096981,-185.840693031,0.805403949968,1.61080789994,0.0163655251342,True,True,True,4
68,71,70,True,finite_mle,1,,70,-179.496336094,-177.845876558,1.65045953616,3.30091907233,0.0340158541144,True,True,True,4
69,54,53,True,finite_mle,1,,53,-154.441928401,-153.693220226,0.748708175414,1.49741635083,0.0203803315423,True,True,True,4
70,67,66,True,finite_mle,1,,66,-171.303927239,-171.020919573,0.283007665414,0.566015330828,0.00618626902161,True,True,True,4
71,71,70,True,finite_mle,1,,70,-180.837030671,-179.898243776,0.9387868953,1.8775737906,0.0193483314043,True,True,True,4
72,70,69,True,finite_mle,1,,69,-185.396491013,-183.866583177,1.52990783622,3.05981567244,0.0319882673671,True,True,True,4
73,68,67,True,finite_mle,1,,67,-179.005494271,-177.547709084,1.45778518686,2.91557037371,0.0313901411904,True,True,True,4
74,66,65,True,finite_mle,1,,65,-178.644017693,-176.105421238,2.53859645523,5.07719291045,0.0563449310273,True,True,True,4
75,68,67,True,finite_mle,1,,67,-174.183550607,-169.83688406,4.3466665463,8.6933330926,0.0935957353842,True,True,True,4
76,77,76,True,finite_mle,1,,76,-198.519636248,-195.928756958,2.59087928976,5.18175857952,0.0491822197747,True,True,True,4
77,72,71,True,finite_mle,1,,71,-188.752298774,-188.554792215,0.197506558884,0.395013117769,0.00401326384571,True,True,True,4
78,70,69,True,finite_mle,1,,69,-184.115650407,-183.481899037,0.63375136956,1.26750273912,0.0132508689568,True,True,True,4
79,85,84,True,finite_mle,1,,84,-210.053694742,-208.069542396,1.98415234572,3.96830469144,0.0340776993993,True,True,True,4
80,81,80,True,finite_mle,1,,80,-200.002149786,-197.297546226,2.70460356026,5.40920712051,0.0487739767994,True,True,True,4
81,64,63,True,finite_mle,1,,63,-174.173665872,-173.270537577,0.903128294969,1.80625658994,0.0206815668641,True,True,True,4
82,60,59,True,finite_mle,1,,59,-165.152283123,-163.092458521,2.05982460115,4.1196492023,0.0503677752064,True,True,True,4
83,80,79,True,finite_mle,1,,79,-195.055371459,-194.11901297,0.936358489739,1.87271697948,0.0170997436663,True,True,True,4
84,75,74,True,finite_mle,1,,74,-195.252209485,-194.707527112,0.544682373167,1.08936474633,0.0106190616031,True,True,True,4
85,64,63,True,finite_mle,1,,63,-169.67786755,-167.618012109,2.05985544085,4.1197108817,0.0471705274518,True,True,True,4
86,79,78,True,finite_mle,1,,78,-197.308451441,-197.069123885,0.23932755642,0.47865511284,0.00442662408712,True,True,True,4
87,72,71,True,finite_mle,1,,71,-184.305847377,-184.165533277,0.140314099468,0.280628198936,0.00285113317562,True,True,True,4
88,60,59,True,finite_mle,1,,59,-168.228221264,-166.476174964,1.75204629953,3.50409259905,0.0428418391141,True,True,True,4
89,71,70,True,finite_mle,1,,70,-177.008890112,-176.963057833,0.0458322785729,0.0916645571458,0.000944600014425,True,True,True,4
90,66,65,True,finite_mle,1,,65,-178.302227061,-176.504413972,1.79781308856,3.59562617712,0.0399030158048,True,True,True,4
91,79,78,True,finite_mle,1,,78,-198.200943444,-198.077712171,0.123231273127,0.246462546253,0.00227929675157,True,True,True,4
92,71,70,True,finite_mle,1,,70,-183.490454387,-181.849743115,1.6407112724,3.2814225448,0.0338149430889,True,True,True,4
93,83,82,True,finite_mle,1,,82,-198.829174014,-198.597235448,0.231938565295,0.463877130589,0.0040806904627,True,True,True,4
94,67,66,True,finite_mle,1,,66,-177.932390641,-177.188023952,0.744366688545,1.48873337709,0.0162711231843,True,True,True,4
95,77,76,True,finite_mle,1,,76,-188.74841544,-188.171064015,0.577351425029,1.15470285006,0.0109597636545,True,True,True,4
96,72,71,True,finite_mle,1,,71,-190.719055788,-189.187710042,1.53134574652,3.06269149304,0.031116407245,True,True,True,4
97,66,65,True,finite_mle,1,,65,-173.242011734,-172.579357555,0.662654178773,1.32530835755,0.0147078138083,True,True,True,4
98,74,73,True,finite_mle,1,,73,-191.471981191,-191.067830734,0.404150456858,0.808300913715,0.00798720356002,True,True,True,4
99,64,63,True,finite_mle,1,,63,-176.536416441,-175.404433994,1.13198244685,2.26396489369,0.0259223089276,True,True,True,4
100,77,76,True,finite_mle,1,,76,-193.704147439,-192.393288096,1.31085934278,2.62171868556,0.0248838193833,True,True,True,4
101,67,66,True,finite_mle,1,,66,-180.162179754,-177.892705463,2.26947429137,4.53894858273,0.049608474327,True,True,True,4
102,70,69,True,finite_mle,1,,69,-185.705227467,-182.899560045,2.80566742172,5.61133484344,0.0586626445753,True,True,True,4
103,68,67,True,finite_mle,1,,67,-179.856108742,-179.19802915,0.658079592339,1.31615918468,0.0141702711101,True,True,True,4
104,70,69,True,finite_mle,1,,69,-186.073951789,-185.730831403,0.343120385426,0.686240770853,0.00717417505047,True,True,True,4
105,69,68,True,finite_mle,1,,68,-179.909981968,-179.553942933,0.356039034776,0.712078069553,0.00755376102698,True,True,True,4
106,76,75,True,finite_mle,1,,75,-195.120833206,-194.32056282,0.800270385932,1.60054077186,0.0153939482287,True,True,True,4
107,67,66,True,finite_mle,1,,66,-173.436321729,-171.886244516,1.55007721302,3.10015442605,0.0338831622459,True,True,True,4
108,72,71,True,finite_mle,1,,71,-189.795517862,-189.119061905,0.676455957342,1.35291191468,0.013745347254,True,True,True,4
109,74,73,True,finite_mle,1,,73,-183.831563938,-182.717250961,1.11431297654,2.22862595308,0.0220221069213,True,True,True,4
110,66,65,True,finite_mle,1,,65,-176.546348697,-176.536641875,0.00970682195873,0.0194136439175,0.000215445906195,True,True,True,4
111,75,74,True,finite_mle,1,,74,-190.737756416,-189.607021566,1.1307348498,2.2614696996,0.0220446697347,True,True,True,4
112,67,66,True,finite_mle,1,,66,-171.572396476,-169.936316213,1.63608026366,3.27216052732,0.0357631042861,True,True,True,4
113,77,76,True,finite_mle,1,,76,-195.343809897,-194.889340253,0.454469643686,0.908939287373,0.00862711975238,True,True,True,4
114,79,78,True,finite_mle,1,,78,-195.996719833,-193.082404822,2.91431501054,5.82863002109,0.0539034335038,True,True,True,4
115,77,76,True,finite_mle,1,,76,-180.671602456,-178.389410515,2.28219194112,4.56438388224,0.0433224604711,True,True,True,4
116,78,77,True,finite_mle,1,,77,-192.4631606,-192.367166566,0.0959940334625,0.191988066925,0.00179857293547,True,True,True,4
117,72,71,True,finite_mle,1,,71,-187.636032694,-186.025450831,1.61058186283,3.22116372565,0.0327264572739,True,True,True,4
118,62,61,True,finite_mle,1,,61,-163.653541071,-161.173965663,2.47957540775,4.95915081549,0.0586437892503,True,True,True,4
119,63,62,True,finite_mle,1,,62,-173.111564625,-171.565152051,1.54641257302,3.09282514604,0.0359838991979,True,True,True,4
120,62,61,True,finite_mle,1,,61,-168.122050781,-164.95809596,3.16395482033,6.32790964065,0.0748298676866,True,True,True,4
121,77,76,True,finite_mle,1,,76,-199.248053445,-197.418320401,1.82973304405,3.65946608809,0.0347335103789,True,True,True,4
122,78,77,True,finite_mle,1,,77,-188.701962983,-186.066284063,2.6356789201,5.27135784019,0.0493828689273,True,True,True,4
123,68,67,True,finite_mle,1,,67,-183.092277574,-182.209247319,0.883030255178,1.76606051036,0.0190140801507,True,True,True,4
124,65,64,True,finite_mle,1,,64,-170.986761275,-169.237897029,1.74886424575,3.4977284915,0.0394230902271,True,True,True,4
125,71,70,True,finite_mle,1,,70,-188.176084193,-187.074318739,1.10176545375,2.20353090751,0.0227073079479,True,True,True,4
126,66,65,True,finite_mle,1,,65,-178.351438787,-176.912467354,1.43897143297,2.87794286595,0.0319384146205,True,True,True,4
127,78,77,True,finite_mle,1,,77,-199.54476295,-198.840046298,0.704716651733,1.40943330347,0.0132037820609,True,True,True,4
128,73,72,True,finite_mle,1,,72,-184.311603134,-184.15015564,0.161447494604,0.322894989207,0.00323499305318,True,True,True,4
129,64,63,True,finite_mle,1,,63,-176.328990829,-176.321038136,0.00795269297268,0.0159053859454,0.00018211604307,True,True,True,4
130,69,68,True,finite_mle,1,,68,-179.617883743,-179.226384147,0.391499596275,0.78299919255,0.00830609597141,True,True,True,4
131,74,73,True,finite_mle,1,,73,-191.053657052,-188.936296576,2.11736047525,4.2347209505,0.0418452802386,True,True,True,4
132,61,60,True,finite_mle,1,,60,-170.366433184,-168.763379395,1.60305378832,3.20610757665,0.0385452958449,True,True,True,4
133,64,63,True,finite_mle,1,,63,-162.865697298,-162.63799577,0.227701527992,0.455403055984,0.00521434706725,True,True,True,4
134,75,74,True,finite_mle,1,,74,-192.244345346,-191.42153376,0.822811586846,1.64562317369,0.0160414350801,True,True,True,4
135,71,70,True,finite_mle,1,,70,-189.382628427,-188.391821542,0.9908068857,1.9816137714,0.0204204597211,True,True,True,4
136,59,58,True,finite_mle,1,,58,-154.526155848,-152.043592733,2.48256311524,4.96512623047,0.061751405087,True,True,True,4
137,79,78,True,finite_mle,1,,78,-196.831233627,-196.710210037,0.121023589828,0.242047179657,0.002238463242,True,True,True,4
138,77,76,True,finite_mle,1,,76,-191.188424451,-191.009785998,0.178638453087,0.357276906173,0.00339106329447,True,True,True,4
139,79,78,True,finite_mle,1,,78,-200.782485615,-199.598078023,1.18440759163,2.36881518325,0.0219069097286,True,True,True,4
140,68,67,True,finite_mle,1,,67,-181.655266975,-180.9720787,0.683188275162,1.36637655032,0.0147109303966,True,True,True,4
141,65,64,True,finite_mle,1,,64,-174.251302465,-173.956137081,0.295165383615,0.59033076723,0.00665365054974,True,True,True,4
