realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
5977,134.750845,138.269252,146.119795,146.701800,148.266521,149.265476,150.298432,150.972051,159.343374,160.801844,164.832276,168.031441,169.249648,170.827681,172.121250,174.270582,176.894733,180.112887,180.622578,190.750837,194.629527
5978,135.342286,138.607006,146.464362,147.074951,148.720841,149.785020,150.703302,151.349814,159.817360,160.875192,165.222332,169.521390,170.377420,171.994259,172.754437,175.537690,176.178583,179.637296,180.147216,191.412164,193.520934
5979,135.205986,138.530324,146.373918,146.987864,148.616025,149.674707,150.625522,151.260454,159.714851,160.965473,165.144281,169.162513,170.126256,171.828613,172.613175,175.257003,176.583579,179.652004,180.111451,190.843088,194.428478
5980,135.572340,138.744036,146.587533,147.215788,148.898104,150.002737,150.867415,151.495046,160.010963,161.004016,165.360211,170.130574,170.827826,172.318422,173.003157,176.041415,176.349955,180.042787,180.647920,191.293921,194.357582
5981,135.605999,138.783339,146.577136,147.225454,148.923936,150.067442,150.909370,151.514238,160.059892,161.126323,165.400898,170.058787,170.928905,172.050269,173.048963,176.153003,176.683673,180.069813,180.567969,191.128170,195.069077
5982,134.872377,138.342313,146.184790,146.776220,148.359950,149.379448,150.385256,151.049105,159.445203,160.847958,164.913087,168.319561,169.488298,171.001431,172.253093,174.538105,176.853581,179.559668,179.970208,191.344382,193.624001
5983,134.416770,138.055729,145.968840,146.508360,148.007703,148.909134,150.043071,150.765544,159.038485,160.356925,164.667640,167.070622,168.565420,170.690142,171.753828,173.511187,176.164059,179.895110,180.500868,191.484623,194.009712
5984,135.467486,138.700070,146.503059,147.140636,148.817452,149.937545,150.810414,151.426418,159.943835,161.073766,165.308796,169.730410,170.656910,171.852242,172.898698,175.848100,177.130749,179.767393,180.164615,191.364594,194.109207
5985,134.700725,138.224865,146.120870,146.682194,148.226499,149.177862,150.245635,150.944802,159.277450,160.515933,164.837823,167.822536,169.121355,171.090255,172.060822,174.132933,176.716243,179.387873,179.844588,190.521890,194.444947
5986,134.741195,138.252798,146.125506,146.703184,148.258266,149.236752,150.295052,150.966498,159.325108,160.790715,164.864822,167.956987,169.214287,171.176627,172.109604,174.236415,176.698685,179.467537,179.901793,190.908450,194.837107
5987,134.615602,138.177806,146.058382,146.626260,148.161594,149.118410,150.205754,150.887066,159.219794,160.743493,164.789308,167.631237,168.967860,171.000451,171.973531,173.960637,177.162788,179.981160,180.432495,192.310615,194.440915
5988,135.258273,138.556964,146.419381,147.023519,148.656106,149.705511,150.643370,151.296777,159.746658,160.828146,165.171980,169.298923,170.212936,171.875879,172.663607,175.353735,176.129779,180.019163,180.542475,191.203810,193.591586
5989,134.652331,138.199737,146.078012,146.648756,148.189865,149.153018,150.231869,150.910296,159.250593,160.757303,164.811392,167.726501,169.039927,171.051973,172.013325,174.041288,176.488763,179.570961,180.039127,190.939124,194.702747
5990,134.426926,138.061779,145.974278,146.514578,148.015529,148.918746,150.050317,150.771956,159.047033,160.362612,164.673727,167.097517,168.585305,170.704454,171.764809,173.533426,177.047454,180.138417,180.571245,190.506958,194.375094
5991,135.227003,138.555501,146.374447,146.993376,148.632576,149.712019,150.638608,151.273946,159.742339,160.982517,165.148890,169.160288,170.184675,171.508430,172.637810,175.318733,176.841640,179.827650,180.362557,191.422159,194.724458
5992,135.500915,138.701492,146.549292,147.172062,148.843069,149.935142,150.816462,151.449955,159.950855,160.964020,165.317403,169.941439,170.687987,172.217778,172.925937,175.885022,176.745093,179.398096,179.895938,192.143543,194.754291
5993,134.400428,138.045995,145.960091,146.498356,147.995111,148.893668,150.031414,150.755227,159.024733,160.347774,164.657846,167.027350,168.533426,170.667116,171.736160,173.475406,176.731747,179.288215,179.745753,191.178451,194.817630
5994,135.393215,138.642119,146.473984,147.102540,148.760139,149.851127,150.758643,151.378868,159.871849,161.035870,165.256854,169.648130,170.493621,172.091250,172.816026,175.668121,176.790517,179.215788,179.680499,190.716945,193.934846
5995,134.328157,138.015148,145.893738,146.442967,147.941571,148.869077,149.996455,150.704057,158.989211,160.641459,164.551216,167.029357,168.419618,170.223375,171.662696,173.340131,176.492442,179.647277,180.101578,190.899281,193.945566
5996,134.604428,138.171135,146.052410,146.619416,148.152993,149.107881,150.197810,150.880000,159.210425,160.739292,164.782590,167.602256,168.945936,170.984777,171.961426,173.936103,176.714323,179.523645,180.016626,191.589475,194.478108
5997,135.310089,138.592484,146.429557,147.051626,148.696155,149.772800,150.699540,151.326294,159.802145,161.004615,165.206874,169.432525,170.330518,171.974644,172.725964,175.485592,176.453274,180.113199,180.634239,190.460560,194.390736
5998,134.574858,138.163455,146.025675,146.594034,148.131227,149.100434,150.172703,150.860471,159.195917,160.735067,164.715256,167.614221,168.904062,170.576076,171.930330,173.883186,176.727976,179.806272,180.311973,189.140540,194.399292
5999,135.871091,138.942702,146.718910,147.387784,149.127731,150.316047,151.098757,151.682313,160.282009,161.226910,165.577167,170.687252,171.449465,172.429264,173.336549,176.736543,176.972165,179.701827,180.158587,191.070746,194.424551
6000,134.472062,138.088663,145.998444,146.542209,148.050307,148.961461,150.082515,150.800449,159.085017,160.387887,164.700778,167.217036,168.673672,170.768053,171.813606,173.632254,176.694429,179.635263,180.162898,191.120062,193.556449
6001,134.814494,138.292631,146.181782,146.751843,148.314161,149.285530,150.326794,151.016624,159.373193,160.579641,164.906009,168.123797,169.344095,171.250564,172.183822,174.382041,176.930299,179.403675,179.858282,190.861214,194.527126
6002,134.582611,138.168116,146.029822,146.598782,148.137187,149.107705,150.178242,150.865386,159.202413,160.738009,164.720412,167.632601,168.919287,170.587161,171.938741,173.900253,177.167272,179.528072,179.976929,191.329920,193.917452
6003,135.266227,138.566295,146.406114,147.024761,148.662394,149.731471,150.668354,151.298554,159.765365,160.988123,165.180501,169.318762,170.244457,171.913117,172.678443,175.389281,176.642566,179.735465,180.271322,190.853520,192.995163
6004,134.524019,138.119611,146.026261,146.574017,148.090341,149.010631,150.119579,150.833249,159.128741,160.416982,164.731918,167.354618,168.775395,170.841264,171.869779,173.746019,176.788118,179.678145,180.104174,190.367000,193.640593
6005,135.366275,138.621295,146.477206,147.089637,148.739325,149.807722,150.720415,151.364958,159.837547,160.888625,165.236709,169.584912,170.424385,172.028061,172.780372,175.590215,176.487017,179.888087,180.366720,190.989972,195.228391
6006,135.179270,138.509907,146.377083,146.975154,148.595232,149.630745,150.587012,151.246904,159.680172,160.783907,165.124631,169.089724,170.058263,171.764558,172.578195,175.180752,177.015447,179.869070,180.375302,191.614480,194.427081
6007,135.105048,138.482186,146.309224,146.918697,148.538820,149.597648,150.551481,151.196623,159.640154,160.936242,165.067798,168.871163,169.945192,171.334074,172.505507,175.050276,176.739750,179.927473,180.425219,192.396516,193.035546
6008,135.060000,138.443157,146.295895,146.898449,148.503657,149.537151,150.521725,151.168126,159.592437,160.910584,165.056506,168.783872,169.839818,171.623832,172.455009,174.936448,176.760088,179.416366,179.838115,190.571972,194.018152
6009,134.217745,137.948773,145.834689,146.375356,147.856690,148.765532,149.917575,150.634053,158.896699,160.599565,164.477800,166.767600,168.202803,170.065523,171.542916,173.097086,176.430839,179.767300,180.289111,191.044145,194.095358
