realization_id,within_observation_support,comparison_id,df,LR_statistic,info_bits_per_event,nominal_p,delta_AIC,delta_AICc,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,n_bins,exposure_kyr
joint_05259,True,lr04_phase_interaction,2.0,0.048983092332377964,0.0006424333126847991,0.9758059381847716,3.951016907667622,4.027617176877072,-199.99725061092727,-199.97275906476108,True,,True,55.0,901.0,180.0
joint_01299,True,lr04_phase_interaction,2.0,2.581536215154756,0.03385790450435483,0.2750594266980448,1.418463784845244,1.4950640540546942,-199.46905986128868,-198.1782917537113,True,,True,55.0,901.0,180.0
joint_02583,True,lr04_phase_interaction,2.0,0.09272073215976206,0.0012160703679498415,0.9546978594678766,3.907279267840238,3.9838795370496882,-199.7885158039852,-199.74215543790532,True,,True,55.0,901.0,180.0
joint_00762,True,lr04_phase_interaction,2.0,0.1174023481244717,0.0015397798675263186,0.9429885164860381,3.8825976518755283,3.9591979210849786,-197.8537239090807,-197.79502273501848,True,,True,55.0,901.0,180.0
joint_01782,True,lr04_phase_interaction,2.0,1.5616503589269541,0.020481683894785333,0.45802790010501426,2.438349641073046,2.514949910282496,-198.64181232696674,-197.86098714750327,True,,True,55.0,901.0,180.0
joint_01002,True,lr04_phase_interaction,2.0,1.9036068160345962,0.024966582848141287,0.3860442001094442,2.0963931839654038,2.172993453174854,-201.03642120852248,-200.08461780050519,True,,True,55.0,901.0,180.0
joint_08308,True,lr04_phase_interaction,2.0,3.3361373501132903,0.04375480737029901,0.1886109832005423,0.6638626498867097,0.74046291909616,-200.9434648250347,-199.27539614997806,True,,True,55.0,901.0,180.0
joint_03727,True,lr04_phase_interaction,2.0,4.460924793944855,0.05850685525457149,0.10747872080885712,-0.4609247939448551,-0.3843245247354048,-201.44211760073694,-199.2116552037645,True,,True,55.0,901.0,180.0
joint_07864,True,lr04_phase_interaction,2.0,0.13986237108173327,0.0018343522651508052,0.9324579842900578,3.8601376289182667,3.936737898127717,-198.64303620439162,-198.57310501885075,True,,True,55.0,901.0,180.0
joint_07506,True,lr04_phase_interaction,2.0,8.036984288342069,0.10540833978630562,0.01798005584178868,-4.036984288342069,-3.9603840191326185,-204.05275034037044,-200.0342581961994,True,,True,55.0,901.0,180.0
joint_03366,True,lr04_phase_interaction,2.0,0.06269034288447983,0.0008222095162824343,0.969140995540878,3.93730965711552,4.0139099263249705,-197.41167704158545,-197.3803318701432,True,,True,55.0,901.0,180.0
joint_08049,True,lr04_phase_interaction,2.0,0.2750510138106961,0.003607406669237937,0.8715121201364936,3.724948986189304,3.801549255398754,-198.42186072453504,-198.2843352176297,True,,True,55.0,901.0,180.0
joint_08018,True,lr04_phase_interaction,2.0,1.8323498594046441,0.024032018684878816,0.40004632355086545,2.167650140595356,2.244250409804806,-198.77301059917892,-197.8568356694766,True,,True,55.0,901.0,180.0
joint_08981,True,lr04_phase_interaction,2.0,2.661593786219555,0.03490789232945302,0.2642665851469375,1.3384062137804449,1.4150064829898952,-199.1298712501264,-197.79907435701662,True,,True,55.0,901.0,180.0
joint_09830,True,lr04_phase_interaction,2.0,3.880313609119014,0.05089190182699962,0.1436814181097389,0.11968639088098598,0.19628666009043627,-202.02611609749616,-200.08595929293665,True,,True,55.0,901.0,180.0
joint_04796,True,lr04_phase_interaction,2.0,2.7361786106087607,0.03588610284101558,0.25459294450912606,1.2638213893912393,1.3404216586006896,-199.25263515070887,-197.8845458454045,True,,True,55.0,901.0,180.0
joint_06381,True,lr04_phase_interaction,2.0,4.8428679749301295,0.06351619646465159,0.0887941963565433,-0.8428679749301295,-0.7662677057206793,-200.50945077064569,-198.08801678318062,True,,True,55.0,901.0,180.0
joint_09696,True,lr04_phase_interaction,2.0,5.7186052225969775,0.07500184904947625,0.05730871278142342,-1.7186052225969775,-1.6420049533875272,-201.73809929097283,-198.87879667967434,True,,True,55.0,901.0,180.0
