age_kyr_bp,segment_id,intercept,lr04,lr04_scaled,co2,co2_scaled,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,same_type_exponential_history,time_since_last_event_kyr,log_time_since_last_event,rectangular_history_count,mis6_segment,lr04_phase_sin,lr04_phase_cos,event_id
108.23,NGRIP,1.0,4.1123,-0.205866199934362,236.90100331252387,0.24981871054811663,-0.029200399999999974,51.08940958734043,0.823927129903737,47.20754716981128,0.7338193561585487,0.6793446492959617,False,0.008855941700339256,7.089999999999989,2.090628731070399,0.0,0.0,-0.15106860229064056,-0.1398541013963015,NGRIP:GI-24.2
134.976,MIS6,1.0,4.85616,0.34448893472086184,210.50032660119422,-0.025144702857581205,0.019423180000000095,58.74122625485207,2.192558490235797,125.6243478260867,0.812853314639153,-0.5824684445359611,False,0.10364332308202677,3.4170000000000016,1.4854607326143898,0.0,1.0,0.28001897244436336,-0.20065393396671066,MIS6:MIS6_DO_01
138.393,MIS6,1.0,4.88214,0.36371059793483024,198.80961730449252,-0.14690360201395541,0.03416503,59.67468904592306,3.126021281306784,179.10782608695672,0.015570743031672394,-0.9998787686321985,False,0.011263096286735719,7.858000000000004,2.181321005501007,0.0,1.0,0.005663244258339158,-0.3636665048015587,MIS6:MIS6_DO_02
146.251,MIS6,1.0,4.78255,0.290027555614617,193.7391228466419,-0.19971287198190935,-0.012096920000000034,61.715678954623755,5.167011190007479,296.04793388429744,-0.8984269887055081,0.4391229280799999,False,1.1221780718416754,0.5960000000000036,0.4675004990276193,1.0,1.0,-0.26056858343245964,0.12735774944537565,MIS6:MIS6_DO_03
146.847,MIS6,1.0,4.81235,0.3120754987930727,194.36170256452374,-0.19322869560197262,-0.01605495000000009,61.87042186549479,5.321754100878515,304.91404958677685,-0.820011554442648,0.5723469669532216,False,0.6696346618673747,1.5919999999999845,0.9524297784900223,0.0,1.0,-0.2559055148687723,0.17861546519462895,MIS6:MIS6_DO_04
148.439,MIS6,1.0,4.7275599999999995,0.2493424416755817,196.80542560629158,-0.16777728629418454,-0.024206430000000015,62.283761989834865,5.735094225218589,328.59669421487615,-0.5210588781526752,0.8535207352479937,False,0.9353928656582375,1.0190000000000055,0.7026023393307032,1.0,1.0,-0.12992209293532744,0.21281894414747246,MIS6:MIS6_DO_05
149.458,MIS6,1.0,4.75,0.2659449868072778,201.74055069958422,-0.11637789013198237,-0.02718552000000002,62.548330825703296,5.99966306108702,343.7553719008265,-0.2797390010647488,0.9600760861948893,False,0.8451206578535144,1.0039999999999907,0.6951451832226138,1.0,1.0,-0.07439518494764569,0.2553274220770827,MIS6:MIS6_DO_06
150.462,MIS6,1.0,4.708420000000001,0.23518144729854826,202.4240581608874,-0.10925915046090673,-0.028262080000000002,62.8090051252243,6.260337360608027,358.6909090909094,-0.02284595874294934,0.9997389970232808,False,0.6504656527309074,0.65300000000002,0.5025918188388993,1.0,1.0,-0.005372945642089748,0.23512006424073423,MIS6:MIS6_DO_07
151.115,MIS6,1.0,4.6577,0.19765555206327076,202.41209248101535,-0.10938377318241169,-0.02798464999999997,62.970524935020734,0.13867186322487157,7.945312500000455,0.13822784967765225,0.9904004551561416,False,0.005280442223967844,8.406999999999982,2.2414540929898124,0.0,1.0,0.02732150193855516,0.1957581487276018,MIS6:MIS6_DO_08
159.522,MIS6,1.0,4.67566,0.21094350707954745,186.1466666666667,-0.27878840819660283,0.017609720000000037,65.03391317242146,2.2020601006256015,126.16875000000027,0.8072823175226611,-0.5901654512213007,False,0.43465045824351495,1.3569999999999993,0.8573896239539938,1.0,1.0,0.17029096326153495,-0.12449157003780477,MIS6:MIS6_DO_09
160.879,MIS6,1.0,4.654840000000001,0.19553954140923172,190.7846880907373,-0.23048335086207153,0.02441334999999999,65.36697108108719,2.535118009291324,145.25156249999964,0.5699743554400516,-0.8216624818869959,False,0.07406826067305543,4.1270000000000095,1.6345206928015654,0.0,1.0,0.11145252407777012,-0.16066750490135434,MIS6:MIS6_DO_10
165.006,MIS6,1.0,4.6788,0.21326667961580087,194.68087483064673,-0.18990451203208908,0.027306839999999954,66.3998783019713,3.5680252301754365,204.43278688524651,-0.41362549095656853,-0.9104471172072202,False,0.16016839640329822,3.5600000000000023,1.517322623526295,0.0,1.0,-0.08821253506076283,-0.19416803365256172,MIS6:MIS6_DO_11
168.566,MIS6,1.0,4.49132,0.074557002196446,184.42611258118836,-0.2967080028140098,0.006288559999999835,67.31660533859258,4.484752266796718,256.9573770491811,-0.9742024516656111,-0.22567583647504807,False,0.71910497778876,1.1090000000000089,0.7462139014966418,1.0,1.0,-0.07263361432861605,-0.016825713835754947,MIS6:MIS6_DO_12
