model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.15085548677547,218.30171097355094,326.1542792677522,7.258708766395012,53,161.561516,finite_mle,joint_07555
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.53924284429002,219.07848568858003,324.05231521593674,6.363254248067706,53,164.86909500000002,finite_mle,joint_01828
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-101.55925487763389,221.11850975526778,327.3871705207949,6.130020130136446,53,164.86909500000002,finite_mle,joint_01828
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.02038002351564,218.04076004703128,329.9244031862328,6.749540523972825,53,164.872526,finite_mle,joint_03544
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.70720578664601,219.41441157329203,332.99148854819987,6.225302409131781,53,164.872526,finite_mle,joint_03544
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-103.47149629912147,220.94299259824294,318.49659307738773,5.7222872528390685,53,161.600571,finite_mle,joint_06198
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-103.43299749697155,224.8659949939431,318.2270968573701,5.528628464981413,53,161.600571,finite_mle,joint_06198
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-102.8221511184789,219.6443022369578,332.07683901253347,6.6345299206389905,53,166.85882600000002,finite_mle,joint_03528
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-100.4122190476489,218.8244380952978,335.7086593313702,6.368041047006658,53,166.85882600000002,finite_mle,joint_03528
full,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos,7,True,True,,-104.24869098070243,222.49738196140487,328.60387087193567,5.21431252723662,53,165.81823000000003,finite_mle,joint_03251
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;mis6_segment;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,9,True,True,,-102.35068846545036,222.70137693090072,333.6144040559525,5.0825500280869615,53,165.81823000000003,finite_mle,joint_03251
