background_id,phase_deg,rate_multiplier_point,rate_multiplier_q025,rate_multiplier_median,rate_multiplier_q975
q25,150.0,0.4386100511582786,0.3334472353206554,0.4739847003571279,0.987679451853174
q25,151.0,0.43581324297445245,0.334050523000434,0.4732863870110401,0.9779480504405426
q25,152.0,0.43314383633138775,0.33356847292865005,0.47139073732387426,0.9683191172634197
q25,153.0,0.43060051004561756,0.3327641466164916,0.4702123395229211,0.9587944025675477
q25,154.0,0.42818199914884625,0.33207329814482867,0.4687308592813517,0.9493755534311716
q25,155.0,0.4258870951691396,0.3314954387939296,0.46824581950588917,0.9400641159936107
q25,156.0,0.42371464638066203,0.3321930574038577,0.4676490951237079,0.930861537743479
q25,157.0,0.42166355802462246,0.33267040143291593,0.466594885997117,0.9217691698602908
q25,158.0,0.4197327925039455,0.3338142008582611,0.46431215316621066,0.9127882696033438
q25,159.0,0.4179213695540503,0.33431260558332787,0.46481756036510163,0.9039200027419506
q25,160.0,0.41622836639198985,0.3350503705478177,0.4640937374937657,0.8958619741245508
q25,161.0,0.41465291784606106,0.3360503156627267,0.4634794088173985,0.8879307612248138
q25,162.0,0.4131942164678704,0.3371660007172579,0.4632815939633066,0.880102187923408
q25,163.0,0.41185151262870395,0.3388942574668453,0.46257829624501734,0.8723771300047048
q25,164.0,0.41062411460192205,0.3403893098260176,0.4625295911789679,0.8647563941538196
q25,165.0,0.409511388632968,0.3424003912275513,0.4636955290187333,0.8572757438352263
q25,166.0,0.40851275899845346,0.34377765152067885,0.4661405534319702,0.8552753567938906
q25,167.0,0.407627708055655,0.3448330508048003,0.46617527857295993,0.8510895635239909
q25,168.0,0.40685577628362873,0.3460038962464385,0.4648358791796039,0.8437426055254316
q25,169.0,0.40619656231702905,0.34814585969262263,0.46397846878205445,0.836502996642949
q25,170.0,0.4056497229735872,0.3498598899423944,0.46492152329972786,0.8293712398084794
q25,171.0,0.4052149732760876,0.35115091025980777,0.467473348199003,0.8230620562194677
q25,172.0,0.4048920864695541,0.35149853956796195,0.46861431127930697,0.8170955280919449
q25,173.0,0.4046808940342365,0.3533543886454569,0.46864399422760894,0.8114700095288859
q25,174.0,0.40458128569486723,0.35469771782189013,0.4691091331275135,0.8060480396383507
q25,175.0,0.40459320942653687,0.35619042571344783,0.4697324304212439,0.8007186594039436
q25,176.0,0.4047166714574162,0.357810162819476,0.4701670908804663,0.7959064474958799
q25,177.0,0.4049517362684317,0.3595516473028632,0.47218347285345647,0.7931140895185289
