background_id,beta_sin,beta_cos,phase_amplitude,preferred_phase_deg,rate_ratio_max_vs_min,realization_id
q50,-0.3277605254217072,0.5476492201392974,0.6382371270491041,329.10005941583154,3.5839812162533415,joint_03251
q75,-0.4740081058486031,0.6243286663841169,0.7838813482148624,322.7931966593579,4.795906283547983,joint_03251
q25,-0.0014943246615404804,0.41765138167178406,0.4176540549528333,359.79500096314956,2.30552429373722,joint_09511
q50,-0.27693011438415466,0.743446856914641,0.7933495555611534,339.5698975389148,4.887588883958607,joint_09511
q75,-0.409547346472822,0.9003113449945366,0.9890852071125122,335.53943783671593,7.229503880355502,joint_09511
q25,0.12508410327412964,-0.17763986865327433,0.21726011098921422,144.84892636732414,1.544221997418247,joint_03335
q50,-0.26716363576179664,0.3335995799503665,0.4273933644975351,321.31046494536247,2.3508729540695588,joint_03335
q75,-0.4560236582605778,0.5797519070558257,0.7376109073408738,321.8119709786469,4.3720054403779,joint_03335
q25,-0.021518462499131114,0.46025102732166046,0.46075378715640564,357.3231566338847,2.5130761846379492,joint_08888
q50,-0.3565588027322447,0.6115062490517555,0.7078658576560954,329.7542722243538,4.119499664420119,joint_08888
q75,-0.5178745221037455,0.6843328372921723,0.8581989587738601,322.8830848225795,5.564448718451885,joint_08888
q25,-0.7188091888112669,0.6956099453207731,1.0002798838068676,314.06032127979984,7.393193411089549,joint_07321
q50,-0.5944229724674364,0.7446119682560026,0.952777861553836,321.3996687857274,6.7231427954869085,joint_07321
q75,-0.5345333127463322,0.7682055348544468,0.9358769183052731,325.1690044454086,6.49968579570263,joint_07321
q25,0.176535989434858,0.1351839121407501,0.22235027696727147,52.5566110418446,1.5600229831393329,joint_09045
q50,-0.23599896410172083,0.5486857526429603,0.5972868374662689,336.72664722147545,3.30214968118551,joint_09045
q75,-0.43462690469340887,0.7477792314032856,0.8649129003555572,329.833836871212,5.639671396107581,joint_09045
q25,0.06937614665461994,0.2693362338959217,0.2781277703032942,14.44436731632207,1.744129435971926,joint_05292
q50,-0.3718678749366995,0.5559966919793393,0.6688931438592454,326.2241634338211,3.8105985926071404,joint_05292
q75,-0.5843187001473369,0.6940183940195046,0.9072430074568146,319.9047850556236,6.137920566913313,joint_05292
q25,-0.1582920989692015,0.5594548374848173,0.5814173232551975,344.2016748214997,3.198988437372998,joint_06980
q50,-0.41520460804719966,0.6717468276964993,0.7897079631508973,328.27991885061385,4.852120987195811,joint_06980
q75,-0.5389032235292,0.7258133415021245,0.9040031476895656,323.4067844241149,6.098277140963629,joint_06980
q25,-0.4276902049492624,0.7812299953452934,0.890639779617298,331.30116941899524,5.9374488775959895,joint_05143
q50,-0.44550464253743866,0.7712167652532969,0.8906456565493203,329.9864934461417,5.937518665973008,joint_05143
q75,-0.4540819643391532,0.7663955803941874,0.8908157025927683,329.3536689833118,5.939538312500539,joint_05143
q25,-0.3262421823490518,0.6047461439994068,0.6871330731568837,331.6544860234216,3.952175340013609,joint_09286
