bootstrap_id,attempt_count,n_events_observation_support,n_events_response,n_events_response_NGRIP,n_events_response_MIS6,loglik_reduced,loglik_full,ll_gain_nats,LR_statistic,reduced_converged,full_converged,likelihood_nesting_ok,eta_clipping_used
127,1,54,54,38,16,-200.62821493391715,-200.13109027170842,0.4971246622087335,0.994249324417467,True,True,True,False
128,1,56,56,39,17,-205.27287279547136,-203.7444224756693,1.5284503198020616,3.056900639604123,True,True,True,False
129,1,53,53,30,23,-199.2538052604329,-198.93208095727306,0.32172430315984,0.64344860631968,True,True,True,False
130,1,55,55,34,21,-208.91068519851376,-203.1826858316563,5.7279993668574605,11.455998733714921,True,True,True,False
131,1,57,56,32,24,-211.65084422780268,-209.87120836505193,1.7796358627507516,3.559271725501503,True,True,True,False
132,1,43,43,28,15,-172.92574888994614,-172.31080226541883,0.6149466245273061,1.2298932490546122,True,True,True,False
133,1,60,59,32,27,-210.02446571844376,-208.78869224758319,1.235773470860579,2.471546941721158,True,True,True,False
134,1,55,55,37,18,-200.6936859804183,-199.12091870342596,1.5727672769923515,3.145534553984703,True,True,True,False
135,1,52,52,32,20,-199.75876554446634,-199.73127348427673,0.027492060189615586,0.05498412037923117,True,True,True,False
136,1,64,62,43,19,-228.1340873429192,-227.2688856159099,0.8652017270092927,1.7304034540185853,True,True,True,False
137,1,59,59,38,21,-219.4180920198072,-214.49262740497792,4.925464614829281,9.850929229658561,True,True,True,False
138,1,53,53,28,25,-192.93781784760301,-192.66843626450859,0.26938158309442883,0.5387631661888577,True,True,True,False
139,1,64,64,36,28,-229.07845766460272,-227.7961848395437,1.2822728250590103,2.5645456501180206,True,True,True,False
140,1,63,63,45,18,-226.6729418876186,-226.35659102877355,0.3163508588450554,0.6327017176901109,True,True,True,False
141,1,51,50,33,17,-192.39353057111737,-190.1924326301126,2.2010979410047753,4.402195882009551,True,True,True,False
142,1,67,67,41,26,-235.06112971172237,-234.40875734211755,0.6523723696048194,1.3047447392096387,True,True,True,False
143,1,62,62,38,24,-224.06408694452267,-223.24876313841384,0.8153238061088359,1.6306476122176718,True,True,True,False
144,1,41,41,28,13,-161.3095747980168,-159.85128618160581,1.4582886164109823,2.9165772328219646,True,True,True,False
145,1,45,45,30,15,-175.83652623720366,-175.3698320184263,0.4666942187773486,0.9333884375546972,True,True,True,False
146,1,52,52,29,23,-195.06034067511382,-194.8331089683407,0.2272317067731251,0.4544634135462502,True,True,True,False
147,1,72,72,40,32,-252.05442857937092,-249.19905018887852,2.8553783904924046,5.710756780984809,True,True,True,False
148,1,63,62,42,20,-221.8500452180889,-220.7909361062205,1.0591091118683948,2.1182182237367897,True,True,True,False
149,1,64,64,45,19,-231.29012987032206,-229.53172019687975,1.7584096734423156,3.516819346884631,True,True,True,False
150,1,45,45,27,18,-176.3144678861023,-174.9243658626801,1.3901020234222017,2.7802040468444034,True,True,True,False
151,1,61,60,36,24,-218.43934670787587,-217.66486012654894,0.7744865813269257,1.5489731626538514,True,True,True,False
152,1,54,54,32,22,-203.08975867749325,-202.12682542372295,0.9629332537703021,1.9258665075406043,True,True,True,False
153,1,47,46,20,26,-180.36944002533812,-179.7681441529185,0.6012958724196267,1.2025917448392534,True,True,True,False
154,1,64,64,35,29,-229.25184397499675,-225.0081038144773,4.243740160519451,8.487480321038902,True,True,True,False
155,1,49,49,34,15,-189.07967803400453,-189.04324820947963,0.03642982452490173,0.07285964904980347,True,True,True,False
156,1,49,49,28,21,-188.74906126855743,-186.50702171332108,2.242039555236346,4.484079110472692,True,True,True,False
157,1,51,51,27,24,-193.23959585219455,-192.92549408862774,0.31410176356681063,0.6282035271336213,True,True,True,False
158,1,60,60,37,23,-225.4806663970698,-224.59565918050828,0.8850072165615188,1.7700144331230376,True,True,True,False
159,1,55,55,29,26,-202.90818672057847,-197.85557602292369,5.052610697654785,10.10522139530957,True,True,True,False
160,1,39,39,26,13,-152.21611119786976,-151.77679551976937,0.4393156781003995,0.878631356200799,True,True,True,False
161,1,45,45,27,18,-175.49054185516434,-175.0373970911081,0.4531447640562476,0.9062895281124952,True,True,True,False
