model_id,term,beta,fit_valid,invalid_reason,realization_id
full,co2_scaled,2.718788531462823,True,,Barker_MC_05927
full,pre_phase_sin,-0.26153055513661566,True,,Barker_MC_05927
full,pre_phase_cos,0.5333478283497473,True,,Barker_MC_05927
interaction,intercept,-1.568757748724867,True,,Barker_MC_05927
interaction,same_type_exponential_history,-1.1451182938229472,True,,Barker_MC_05927
interaction,lr04_scaled,2.772355032322364,True,,Barker_MC_05927
interaction,co2_scaled,2.5620474224575416,True,,Barker_MC_05927
interaction,pre_phase_sin,-0.14487658211307788,True,,Barker_MC_05927
interaction,pre_phase_cos,0.5160079917199694,True,,Barker_MC_05927
interaction,lr04_phase_sin,-2.2955550020055577,True,,Barker_MC_05927
interaction,lr04_phase_cos,-0.097977526994882,True,,Barker_MC_05927
full,intercept,-1.5920474643206834,True,,Barker_MC_01678
full,same_type_exponential_history,-1.1679548424102184,True,,Barker_MC_01678
full,lr04_scaled,3.394107723971174,True,,Barker_MC_01678
full,co2_scaled,2.7116117389808463,True,,Barker_MC_01678
full,pre_phase_sin,-0.1199155574784965,True,,Barker_MC_01678
full,pre_phase_cos,0.46951500693630194,True,,Barker_MC_01678
interaction,intercept,-1.49776478467408,True,,Barker_MC_01678
interaction,same_type_exponential_history,-1.3963865227705647,True,,Barker_MC_01678
interaction,lr04_scaled,3.370171544630006,True,,Barker_MC_01678
interaction,co2_scaled,2.919621751849214,True,,Barker_MC_01678
interaction,pre_phase_sin,-0.013977659469248671,True,,Barker_MC_01678
interaction,pre_phase_cos,0.4253258447674907,True,,Barker_MC_01678
interaction,lr04_phase_sin,-1.9594192333373543,True,,Barker_MC_01678
interaction,lr04_phase_cos,0.5876999693537908,True,,Barker_MC_01678
full,intercept,-1.6109489844584017,True,,Barker_MC_04201
full,same_type_exponential_history,-0.9655053279354342,True,,Barker_MC_04201
full,lr04_scaled,2.0948636087196184,True,,Barker_MC_04201
full,co2_scaled,1.3805397040049692,True,,Barker_MC_04201
full,pre_phase_sin,-0.3024545855230839,True,,Barker_MC_04201
full,pre_phase_cos,0.483181861890078,True,,Barker_MC_04201
interaction,intercept,-1.5480647995066856,True,,Barker_MC_04201
interaction,same_type_exponential_history,-1.1124706267653681,True,,Barker_MC_04201
interaction,lr04_scaled,1.6374555583039538,True,,Barker_MC_04201
interaction,co2_scaled,1.1337678779702525,True,,Barker_MC_04201
interaction,pre_phase_sin,-0.23334781461445578,True,,Barker_MC_04201
interaction,pre_phase_cos,0.48198009932988034,True,,Barker_MC_04201
interaction,lr04_phase_sin,-1.6402908012514552,True,,Barker_MC_04201
interaction,lr04_phase_cos,-0.4390146522023961,True,,Barker_MC_04201
full,intercept,-1.6161079313965743,True,,Barker_MC_09031
full,same_type_exponential_history,-0.9098295227318379,True,,Barker_MC_09031
full,lr04_scaled,2.555262868311711,True,,Barker_MC_09031
full,co2_scaled,2.130214202446725,True,,Barker_MC_09031
full,pre_phase_sin,-0.14692922966088773,True,,Barker_MC_09031
full,pre_phase_cos,0.40857171795052877,True,,Barker_MC_09031
interaction,intercept,-1.543259178821626,True,,Barker_MC_09031
interaction,same_type_exponential_history,-1.094632546536692,True,,Barker_MC_09031
interaction,lr04_scaled,2.1266655765852027,True,,Barker_MC_09031
interaction,co2_scaled,1.9507293559897636,True,,Barker_MC_09031
interaction,pre_phase_sin,-0.040756013453389674,True,,Barker_MC_09031
interaction,pre_phase_cos,0.39434133583188086,True,,Barker_MC_09031
interaction,lr04_phase_sin,-2.2107934264890514,True,,Barker_MC_09031
interaction,lr04_phase_cos,-0.30777300123582974,True,,Barker_MC_09031
full,intercept,-1.6492279357681878,True,,Barker_MC_09715
full,same_type_exponential_history,-0.9186228770249025,True,,Barker_MC_09715
full,lr04_scaled,3.0136595884732262,True,,Barker_MC_09715
full,co2_scaled,2.5213299868743455,True,,Barker_MC_09715
full,pre_phase_sin,-0.10716848932344315,True,,Barker_MC_09715
full,pre_phase_cos,0.5230327668707873,True,,Barker_MC_09715
interaction,intercept,-1.5793079057401456,True,,Barker_MC_09715
interaction,same_type_exponential_history,-1.092939446306909,True,,Barker_MC_09715
interaction,lr04_scaled,2.727412537286248,True,,Barker_MC_09715
interaction,co2_scaled,2.3968516609256336,True,,Barker_MC_09715
interaction,pre_phase_sin,0.0006473199176375517,True,,Barker_MC_09715
interaction,pre_phase_cos,0.5127537824762229,True,,Barker_MC_09715
interaction,lr04_phase_sin,-2.068419361583552,True,,Barker_MC_09715
interaction,lr04_phase_cos,-0.2019005309708825,True,,Barker_MC_09715
full,intercept,-1.6861863871365215,True,,Barker_MC_04692
full,same_type_exponential_history,-0.73625666806405,True,,Barker_MC_04692
full,lr04_scaled,3.0799712239696646,True,,Barker_MC_04692
full,co2_scaled,2.34734585718116,True,,Barker_MC_04692
full,pre_phase_sin,-0.14779224379639996,True,,Barker_MC_04692
full,pre_phase_cos,0.5321517564258504,True,,Barker_MC_04692
interaction,intercept,-1.605689524026616,True,,Barker_MC_04692
interaction,same_type_exponential_history,-0.8957248596446027,True,,Barker_MC_04692
interaction,lr04_scaled,2.823011682991713,True,,Barker_MC_04692
interaction,co2_scaled,2.333027734287681,True,,Barker_MC_04692
interaction,pre_phase_sin,-0.03843240235102807,True,,Barker_MC_04692
interaction,pre_phase_cos,0.4971167596447085,True,,Barker_MC_04692
interaction,lr04_phase_sin,-1.9106610222638933,True,,Barker_MC_04692
interaction,lr04_phase_cos,0.27443803004959405,True,,Barker_MC_04692
full,intercept,-1.6362723387578748,True,,Barker_MC_05576
full,same_type_exponential_history,-0.9550785502233887,True,,Barker_MC_05576
full,lr04_scaled,3.101213395518567,True,,Barker_MC_05576
full,co2_scaled,2.5682804429349226,True,,Barker_MC_05576
full,pre_phase_sin,-0.25829036075658207,True,,Barker_MC_05576
full,pre_phase_cos,0.4694741762544566,True,,Barker_MC_05576
interaction,intercept,-1.5782850704099547,True,,Barker_MC_05576
interaction,same_type_exponential_history,-1.0606933076915286,True,,Barker_MC_05576
interaction,lr04_scaled,2.776879587901877,True,,Barker_MC_05576
interaction,co2_scaled,2.4608025929871578,True,,Barker_MC_05576
interaction,pre_phase_sin,-0.17569869598646565,True,,Barker_MC_05576
interaction,pre_phase_cos,0.4509253350481065,True,,Barker_MC_05576
interaction,lr04_phase_sin,-1.5198966737820643,True,,Barker_MC_05576
interaction,lr04_phase_cos,-0.2157008077556946,True,,Barker_MC_05576
full,intercept,-1.6013421716998375,True,,Barker_MC_07078
full,same_type_exponential_history,-1.00359441286829,True,,Barker_MC_07078
full,lr04_scaled,2.105372517160151,True,,Barker_MC_07078
full,co2_scaled,1.4487110191905794,True,,Barker_MC_07078
full,pre_phase_sin,-0.2691820742346424,True,,Barker_MC_07078
full,pre_phase_cos,0.48272973946925835,True,,Barker_MC_07078
interaction,intercept,-1.5560034146591732,True,,Barker_MC_07078
interaction,same_type_exponential_history,-1.0856947248453575,True,,Barker_MC_07078
interaction,lr04_scaled,1.7453173120510548,True,,Barker_MC_07078
interaction,co2_scaled,1.2583750407488459,True,,Barker_MC_07078
interaction,pre_phase_sin,-0.2076711814127297,True,,Barker_MC_07078
interaction,pre_phase_cos,0.4759198092381721,True,,Barker_MC_07078
interaction,lr04_phase_sin,-1.293826194817115,True,,Barker_MC_07078
interaction,lr04_phase_cos,-0.36849806174637245,True,,Barker_MC_07078
full,intercept,-1.6383112080167745,True,,Barker_MC_07555
full,same_type_exponential_history,-0.9516455903490261,True,,Barker_MC_07555
full,lr04_scaled,3.1725273710387154,True,,Barker_MC_07555
full,co2_scaled,2.5781588632999006,True,,Barker_MC_07555
full,pre_phase_sin,-0.18735757245312898,True,,Barker_MC_07555
full,pre_phase_cos,0.48786688190496874,True,,Barker_MC_07555
interaction,intercept,-1.5585424849027838,True,,Barker_MC_07555
interaction,same_type_exponential_history,-1.1307020647599029,True,,Barker_MC_07555
interaction,lr04_scaled,2.8772725566705586,True,,Barker_MC_07555
interaction,co2_scaled,2.531558854100682,True,,Barker_MC_07555
interaction,pre_phase_sin,-0.07778009394491774,True,,Barker_MC_07555
interaction,pre_phase_cos,0.4630763011689878,True,,Barker_MC_07555
interaction,lr04_phase_sin,-2.0153321394143435,True,,Barker_MC_07555
interaction,lr04_phase_cos,0.060389635203128296,True,,Barker_MC_07555
full,intercept,-1.631712739258913,True,,Barker_MC_01828
full,same_type_exponential_history,-1.2136724115595139,True,,Barker_MC_01828
full,lr04_scaled,4.055178296901648,True,,Barker_MC_01828
full,co2_scaled,3.588442569327919,True,,Barker_MC_01828
