realization_id,within_observation_support,comparison_id,df,LR_statistic,gain_bits_per_event,nominal_p,delta_AIC,loglik_full,loglik_interaction,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr
Barker_MC_08757,True,lr04_phase_interaction,2,5.200403643765469,0.05436664164841549,0.07425858969349786,-1.200403643765469,-181.48772219533055,-178.8875203734478,True,,True,69,395.9187524243734
Barker_MC_00766,True,lr04_phase_interaction,2,3.6219535150691513,0.03786503169942474,0.1634943644336528,0.3780464849308487,-182.56931189463188,-180.7583351370973,True,,True,69,397.33444722592833
Barker_MC_09165,True,lr04_phase_interaction,2,3.8384226703369677,0.04012806776326751,0.14672263149162096,0.1615773296630323,-179.1445221403958,-177.2253108052273,True,,True,69,397.05514745620343
Barker_MC_02359,True,lr04_phase_interaction,2,6.6889528836656496,0.06992839966669828,0.03527868076472414,-2.6889528836656496,-181.9374928519098,-178.59301641007698,True,,True,69,396.27348091110554
Barker_MC_03699,True,lr04_phase_interaction,2,6.181219308644472,0.06462039451614845,0.045474222395777066,-2.181219308644472,-178.21241947674287,-175.12180982242063,True,,True,69,396.3505144311366
Barker_MC_02115,True,lr04_phase_interaction,2,5.41763478330148,0.05663764373345362,0.06661554024445963,-1.4176347833014802,-180.90093150848614,-178.1921141168354,True,,True,69,395.5320780269122
Barker_MC_03897,True,lr04_phase_interaction,2,6.5762648572323315,0.0687503238920395,0.03732348862716253,-2.5762648572323315,-178.81212613728889,-175.52399370867272,True,,True,69,396.3599531055452
Barker_MC_06064,True,lr04_phase_interaction,2,4.669174507651633,0.04881300657416071,0.0968504489301666,-0.6691745076516327,-179.999745218505,-177.6651579646792,True,,True,69,396.40911021159036
Barker_MC_05459,True,lr04_phase_interaction,2,2.7963161716488685,0.02923356140286546,0.24705159295041698,1.2036838283511315,-178.25450417655145,-176.85634609072702,True,,True,69,396.4306470568795
Barker_MC_05642,True,lr04_phase_interaction,2,4.52594593367337,0.04731565039016043,0.10404071492007906,-0.5259459336733698,-178.35267855017784,-176.08970558334116,True,,True,69,396.87415497522164
Barker_MC_03492,True,lr04_phase_interaction,2,2.7667384069332,0.02892434622550405,0.25073236002538324,1.2332615930667998,-182.43524052278946,-181.05187131932286,True,,True,69,396.5940203054233
Barker_MC_01163,True,lr04_phase_interaction,2,5.134907122471759,0.05368192058706829,0.07673068685601855,-1.134907122471759,-176.8249557392523,-174.2575021780164,True,,True,69,395.80970756870573
Barker_MC_00891,True,lr04_phase_interaction,2,4.245809717596785,0.04438701901547139,0.11968345951500291,-0.24580971759678505,-181.6227439523126,-179.4998390935142,True,,True,69,397.17485745624094
Barker_MC_06592,True,lr04_phase_interaction,2,6.025364016173626,0.06299103467887317,0.04915965520267779,-2.0253640161736257,-180.21138128398132,-177.1986992758945,True,,True,69,395.82054986006557
Barker_MC_04188,True,lr04_phase_interaction,2,4.013315465936671,0.04195645159586822,0.13443724981014338,-0.01331546593667099,-179.522409577982,-177.51575184501365,True,,True,69,396.8819411367688
Barker_MC_04101,True,lr04_phase_interaction,2,3.5834796321479985,0.03746281372772844,0.16666994222453005,0.4165203678520015,-181.0737285747175,-179.2819887586435,True,,True,69,396.297753660297
Barker_MC_06731,True,lr04_phase_interaction,2,4.216783259073964,0.04408356736499716,0.12143311889424713,-0.21678325907396356,-181.58820189051454,-179.47981026097756,True,,True,69,396.6410914650413
Barker_MC_00167,True,lr04_phase_interaction,2,6.9887823712541035,0.0730629106439167,0.030367230816469772,-2.9887823712541035,-179.67226559856948,-176.17787441294243,True,,True,69,395.30563548150195
Barker_MC_02319,True,lr04_phase_interaction,2,4.800069867650677,0.05018142749260996,0.09071478421963142,-0.8000698676506772,-180.7830892410059,-178.38305430718057,True,,True,69,396.95666361529516
Barker_MC_00211,True,lr04_phase_interaction,2,3.9119138043634507,0.04089636699956688,0.14142907812945316,0.08808619563654929,-182.31578322103496,-180.35982631885324,True,,True,69,395.94502791024
Barker_MC_06306,True,lr04_phase_interaction,2,5.7268108885735955,0.05986986716705829,0.057074066390737206,-1.7268108885735955,-179.25453954929782,-176.39113410501102,True,,True,69,396.1485349903195
Barker_MC_08435,True,lr04_phase_interaction,2,6.118827336758159,0.06396812938258564,0.04691519501954126,-2.1188273367581587,-180.34173713789323,-177.28232346951415,True,,True,69,397.2013941816384
Barker_MC_09530,True,lr04_phase_interaction,2,8.286145371797886,0.08662594808679598,0.015874000673287945,-4.286145371797886,-177.54059779361282,-173.39752510771388,True,,True,69,397.2392237869198
Barker_MC_06369,True,lr04_phase_interaction,2,5.75736843907589,0.06018932533061897,0.05620867247207858,-1.75736843907589,-180.01819037183856,-177.1395061523006,True,,True,69,396.5160199935152
Barker_MC_00473,True,lr04_phase_interaction,2,6.614597076531709,0.06915106086805023,0.03661495416549066,-2.614597076531709,-180.80301260382913,-177.49571406556328,True,,True,69,397.250550253105
Barker_MC_03239,True,lr04_phase_interaction,2,3.057160929541169,0.031960513856873464,0.21684326559583156,0.942839070458831,-180.8079948519952,-179.27941438722462,True,,True,69,395.71119104369086
Barker_MC_00236,True,lr04_phase_interaction,2,3.7566983566410954,0.039273696298853814,0.15284221284620778,0.24330164335890458,-182.10380858691332,-180.22545940859277,True,,True,69,395.913872157799
Barker_MC_09056,True,lr04_phase_interaction,2,5.618419664430121,0.058736711503669346,0.06025258323775479,-1.618419664430121,-176.67433130166964,-173.86512146945458,True,,True,69,396.4190451148545
Barker_MC_04865,True,lr04_phase_interaction,2,4.9718279065070305,0.051977039600514856,0.08324943364119322,-0.9718279065070305,-178.10290924579428,-175.61699529254076,True,,True,69,395.353835724344
Barker_MC_04168,True,lr04_phase_interaction,2,3.738500325771952,0.03908344840835485,0.154239272796195,0.2614996742280482,-179.9371161989407,-178.06786603605474,True,,True,69,397.45503409959673
Barker_MC_03175,True,lr04_phase_interaction,2,5.886582502611304,0.061540169451457044,0.05269202035539271,-1.8865825026113043,-179.67992079211467,-176.73662954080902,True,,True,69,397.01260309665844
Barker_MC_05339,True,lr04_phase_interaction,2,4.829379734196095,0.05048784197894469,0.0893950589721404,-0.8293797341960953,-177.83125319122894,-175.4165633241309,True,,True,69,396.1867439607191
Barker_MC_00850,True,lr04_phase_interaction,2,5.189959183394535,0.05425745200216978,0.0746473994856173,-1.189959183394535,-179.07608096212866,-176.4811013704314,True,,True,69,395.6379581807959
Barker_MC_08546,True,lr04_phase_interaction,2,3.8073593728851165,0.039803322363358484,0.14901926494784676,0.1926406271148835,-180.13138881317042,-178.22770912672786,True,,True,69,397.5435213744969
Barker_MC_04605,True,lr04_phase_interaction,2,5.9066495480675485,0.061749956603377454,0.05216597721758115,-1.9066495480675485,-179.91437030824596,-176.9610455342122,True,,True,69,396.39208831772794
Barker_MC_02840,True,lr04_phase_interaction,2,7.659603092922964,0.08007587969085309,0.021713924407422112,-3.659603092922964,-179.57668961276346,-175.74688806630198,True,,True,69,396.06038257290294
Barker_MC_06693,True,lr04_phase_interaction,2,3.034672787572333,0.03172541580689342,0.21929522584099514,0.9653272124276668,-181.65907720953516,-180.141740815749,True,,True,69,397.3967210207377
Barker_MC_08935,True,lr04_phase_interaction,2,3.0092795945165562,0.031459947446792653,0.2220972794745564,0.9907204054834438,-183.4621243198642,-181.9574845226059,True,,True,69,396.07062764645724
Barker_MC_02031,True,lr04_phase_interaction,2,4.149168483149197,0.0433767014090734,0.1256086394888273,-0.14916848314919662,-180.6815337859153,-178.6069495443407,True,,True,69,396.37036369230003
Barker_MC_02336,True,lr04_phase_interaction,2,6.166094325629047,0.06446227322636669,0.04581942446511316,-2.1660943256290466,-177.8179181591623,-174.73487099634778,True,,True,69,396.25657330379033
