model_id,terms,n_parameters,converged,fit_valid,invalid_reason,log_likelihood,AIC,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,n_events,exposure_kyr,fit_status,realization_id
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.2820264217296,370.5640528434592,349.71179445931534,2.910592860126527,69,397.09441342774915,finite_mle,Barker_MC_06980
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.3060892687078,372.6121785374156,340.71017164742875,3.4602843652695734,69,395.95654015398225,finite_mle,Barker_MC_05143
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.66483371380366,373.3296674276073,346.8132252493001,3.1874877491166758,69,395.95654015398225,finite_mle,Barker_MC_05143
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-182.8899279586318,377.7798559172636,334.194577438505,2.7756436410471936,69,396.5792070715823,finite_mle,Barker_MC_09286
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-180.51728058691214,377.0345611738243,342.32963726770595,2.6690110456614486,69,396.5792070715823,finite_mle,Barker_MC_09286
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-181.0170186668243,374.0340373336486,329.7904795476957,3.5386638354620628,69,395.7257233702497,finite_mle,Barker_MC_02883
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-179.9387524880082,375.8775049760164,334.5479940348808,3.3634929295377574,69,395.7257233702497,finite_mle,Barker_MC_02883
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.36761124312832,370.73522248625665,345.91792296307,2.7899569952651526,69,396.7278032956667,finite_mle,Barker_MC_03165
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.52694024817657,371.05388049635314,356.09143096271794,2.5343049526582035,69,396.7278032956667,finite_mle,Barker_MC_03165
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.50682061043096,369.0136412208619,333.82584876016836,2.942763954223355,69,396.33750867033206,finite_mle,Barker_MC_02128
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.49690509763215,368.9938101952643,341.5351715804145,2.5905665411336933,69,396.33750867033206,finite_mle,Barker_MC_02128
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.53720426378857,369.07440852757713,337.8511069911355,2.5828311651993268,69,395.9992511628559,finite_mle,Barker_MC_01860
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.8152526812097,367.6305053624194,350.5615475982277,2.1940801959174157,69,395.9992511628559,finite_mle,Barker_MC_01860
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.00615588741303,372.01231177482606,333.0925271580878,3.192951142806691,69,396.3105039441827,finite_mle,Barker_MC_00984
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.35417957530615,368.7083591506123,342.00748238058304,2.7202460169492357,69,396.3105039441827,finite_mle,Barker_MC_00984
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.53919447613112,373.07838895226223,338.9584082015948,3.102801434894932,69,397.3608328946894,finite_mle,Barker_MC_02981
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.24390643763962,370.48781287527925,347.90847007943086,2.8345455276677396,69,397.3608328946894,finite_mle,Barker_MC_02981
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-181.0104240002916,374.0208480005832,332.4826669222046,2.8403976851880617,69,395.78721765372785,finite_mle,Barker_MC_09341
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-179.351087822666,374.702175645332,339.237306575327,2.6185596112294345,69,395.78721765372785,finite_mle,Barker_MC_09341
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-178.00444650604038,368.00889301208076,333.9276620998627,3.6456385076463826,69,395.7178132901513,finite_mle,Barker_MC_07575
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.23241574562556,368.4648314912511,339.4399632615494,3.130277335776439,69,395.7178132901513,finite_mle,Barker_MC_07575
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.53811845897286,373.0762369179457,335.9772216335069,2.969027542411514,69,396.9943086610048,finite_mle,Barker_MC_08714
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.92978802551914,371.8595760510383,344.24736109046137,2.7669797896194157,69,396.9943086610048,finite_mle,Barker_MC_08714
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-177.44529966206312,366.89059932412624,339.55272807059913,3.331576161578594,69,395.9085354207768,finite_mle,Barker_MC_06402
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-174.92231568862474,365.84463137724947,347.0411923653934,2.8408257419187923,69,395.9085354207768,finite_mle,Barker_MC_06402
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.61083390818607,373.22166781637213,342.3259353415487,3.162008994055034,69,397.3435831409136,finite_mle,Barker_MC_06549
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.62853750866824,373.2570750173365,350.2655668295272,2.8293014725236083,69,397.3435831409136,finite_mle,Barker_MC_06549
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.77250775953382,373.54501551906765,349.8719636094217,2.4387681635225054,69,396.81200544122845,finite_mle,Barker_MC_08135
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.99664788423394,371.9932957684679,5.310350456436529,2.3107749679800302,69,396.81200544122845,finite_mle,Barker_MC_08135
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.73274517653476,371.4654903530695,340.77484403154705,2.703781171429159,69,396.55286934602276,finite_mle,Barker_MC_00051
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.65975319271706,371.3195063854341,349.24628953873577,2.360942181141445,69,396.55286934602276,finite_mle,Barker_MC_00051
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-180.1202288249633,372.2404576499266,331.41693258865894,2.8964544750219354,69,396.1101617192621,finite_mle,Barker_MC_01474
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-177.2915826548221,370.5831653096442,340.61934398849377,2.608886008169298,69,396.1101617192621,finite_mle,Barker_MC_01474
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-179.1715769387788,370.3431538775576,344.3739128436797,3.225613413181823,69,396.4276447603523,finite_mle,Barker_MC_06374
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-176.1379029190723,368.2758058381446,354.1608491702407,2.8682729182448488,69,396.4276447603523,finite_mle,Barker_MC_06374
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-177.9880485077206,367.9760970154412,336.78260773847296,3.58738417730006,69,396.6201461136473,finite_mle,Barker_MC_09863
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-173.88339767241425,363.7667953448285,345.87557361164926,3.3513681296480584,69,396.6201461136473,finite_mle,Barker_MC_09863
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-181.44070085885926,374.8814017177185,334.7610058966182,2.850903086513105,69,396.17491019958817,finite_mle,Barker_MC_03150
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-179.6304267706881,375.2608535413762,340.9829707838871,2.6099801858070486,69,396.17491019958817,finite_mle,Barker_MC_03150
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-177.69698898324953,367.39397796649905,333.3518673669986,3.590071770441926,69,395.9688847889899,finite_mle,Barker_MC_02236
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-175.45648758277275,366.9129751655455,338.91819510703067,3.051998735556929,69,395.9688847889899,finite_mle,Barker_MC_02236
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-181.00249544087131,374.00499088174263,336.8265081864323,2.602873126915683,69,395.6967415495585,finite_mle,Barker_MC_02657
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-178.15501002023643,372.31002004047286,347.6353962479892,2.3707325138500117,69,395.6967415495585,finite_mle,Barker_MC_02657
full,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos,6,True,True,,-183.24206975172604,378.48413950345207,335.06368048411093,2.8392055239973524,69,396.45654198667745,finite_mle,Barker_MC_02161
interaction,same_type_exponential_history;lr04_scaled;co2_scaled;pre_phase_sin;pre_phase_cos;lr04_phase_sin;lr04_phase_cos,8,True,True,,-181.26064594576815,378.5212918915363,341.4986415183502,2.700907775738391,69,396.45654198667745,finite_mle,Barker_MC_02161
