realization_id,ngrip_realization_id,mis6_realization_id,fit_valid,invalid_reason,n_predictive_events,LR_statistic,nominal_LR_p,info_bits_per_event,delta_AICc_full_minus_reduced,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,all_models_converged,likelihood_nesting_ok,eta_clipping_used
joint_07098,NGRIP_05070,2170,True,,55,5.8410733,0.0539047515,0.076608068,-1.78269247,330.546776,2.74411325,True,True,False
joint_07099,NGRIP_05785,6010,True,,55,12.2182175,0.00222253078,0.160246925,-8.15983666,338.433973,4.49471276,True,True,False
joint_07100,NGRIP_03412,4919,True,,55,15.3324468,0.000468383378,0.201091318,-11.274066,326.710779,5.4061118,True,True,False
joint_07101,NGRIP_06098,5420,True,,55,10.3098489,0.00577091616,0.135217889,-6.25146804,337.16494,3.94767085,True,True,False
joint_07102,NGRIP_07153,7046,True,,55,12.6561536,0.00178546424,0.165990637,-8.59777281,330.577168,4.70527117,True,True,False
joint_07103,NGRIP_01134,6205,True,,55,14.2895968,0.000788957253,0.187413914,-10.231216,329.478637,5.14385473,True,True,False
joint_07104,NGRIP_06507,9851,True,,55,12.8044478,0.00165786621,0.167935576,-8.74606701,321.224778,4.69774742,True,True,False
joint_07105,NGRIP_09404,9712,True,,55,12.8396159,0.00162896907,0.16839682,-8.78123505,321.725015,4.62873312,True,True,False
joint_07106,NGRIP_05822,7421,True,,55,10.8121936,0.00448912803,0.141806346,-6.75381277,327.221597,3.98292991,True,True,False
joint_07107,NGRIP_02512,2100,True,,55,5.37309589,0.0681156731,0.0704703527,-1.31471506,327.578506,2.63370901,True,True,False
joint_07108,NGRIP_01764,1816,True,,55,11.8535153,0.00266711571,0.155463707,-7.79513447,337.709663,4.40376761,True,True,False
joint_07109,NGRIP_04664,380,True,,55,8.27617793,0.0159533097,0.108545462,-4.21779711,335.56076,3.31497948,True,True,False
joint_07110,NGRIP_01238,4331,True,,55,14.0601548,0.00088486331,0.184404687,-10.0017739,321.582007,4.96179607,True,True,False
joint_07111,NGRIP_07812,3306,True,,55,13.2279268,0.00134150465,0.173489677,-9.16954602,326.51078,4.72952882,True,True,False
