realization_id,ngrip_realization_id,mis6_realization_id,age_kyr_bp__NGRIP:GI-1,age_kyr_bp__NGRIP:GI-2.1,age_kyr_bp__NGRIP:GI-2.2,age_kyr_bp__NGRIP:GI-3,age_kyr_bp__NGRIP:GI-4,age_kyr_bp__NGRIP:GI-5.1,age_kyr_bp__NGRIP:GI-5.2,age_kyr_bp__NGRIP:GI-6,age_kyr_bp__NGRIP:GI-7,age_kyr_bp__NGRIP:GI-8,age_kyr_bp__NGRIP:GI-9,age_kyr_bp__NGRIP:GI-10,age_kyr_bp__NGRIP:GI-11,age_kyr_bp__NGRIP:GI-12,age_kyr_bp__NGRIP:GI-13,age_kyr_bp__NGRIP:GI-14,age_kyr_bp__NGRIP:GI-15.1,age_kyr_bp__NGRIP:GI-15.2,age_kyr_bp__NGRIP:GI-16.1,age_kyr_bp__NGRIP:GI-16.2,age_kyr_bp__NGRIP:GI-17.1,age_kyr_bp__NGRIP:GI-17.2,age_kyr_bp__NGRIP:GI-18,age_kyr_bp__NGRIP:GI-19.1,age_kyr_bp__NGRIP:GI-19.2,age_kyr_bp__NGRIP:GI-20,age_kyr_bp__NGRIP:GI-21.1,age_kyr_bp__NGRIP:GI-21.2,age_kyr_bp__NGRIP:GI-22,age_kyr_bp__NGRIP:GI-23.1,age_kyr_bp__NGRIP:GI-23.2,age_kyr_bp__NGRIP:GI-24.1,age_kyr_bp__NGRIP:GI-24.2,age_kyr_bp__NGRIP:GI-25,age_kyr_bp__MIS6:MIS6_DO_01,age_kyr_bp__MIS6:MIS6_DO_02,age_kyr_bp__MIS6:MIS6_DO_03,age_kyr_bp__MIS6:MIS6_DO_04,age_kyr_bp__MIS6:MIS6_DO_05,age_kyr_bp__MIS6:MIS6_DO_06,age_kyr_bp__MIS6:MIS6_DO_07,age_kyr_bp__MIS6:MIS6_DO_08,age_kyr_bp__MIS6:MIS6_DO_09,age_kyr_bp__MIS6:MIS6_DO_10,age_kyr_bp__MIS6:MIS6_DO_11,age_kyr_bp__MIS6:MIS6_DO_12,age_kyr_bp__MIS6:MIS6_DO_13,age_kyr_bp__MIS6:MIS6_DO_14,age_kyr_bp__MIS6:MIS6_DO_15,age_kyr_bp__MIS6:MIS6_DO_16,age_kyr_bp__MIS6:MIS6_DO_17,age_kyr_bp__MIS6:MIS6_DO_18,age_kyr_bp__MIS6:MIS6_DO_19,age_kyr_bp__MIS6:MIS6_DO_20,age_kyr_bp__MIS6:MIS6_DO_21
joint_01827,NGRIP_08725,6120,14.798356,23.318086,23.647937,28.347179,29.599285,31.494195,32.950102,34.057306,35.671839,38.697758,40.840195,42.276197,44.329558,47.886615,50.205274,55.417865,56.249431,57.20166,59.973747,60.282785,61.252902,61.651493,66.923436,72.440233,75.613614,80.122099,87.431563,87.677634,93.245371,107.619215,108.085664,110.22469,111.773787,118.247912,134.82423,138.313368,146.159041,146.746737,148.322936,149.334296,150.350859,151.018578,159.404861,160.829689,164.881072,168.205416,169.393752,170.932596,172.200861,174.43212,176.836337,179.545738,179.960938,190.603229,193.970872
joint_01828,NGRIP_03582,3797,14.67879,22.74966,23.041871,27.287543,28.365833,30.171144,31.689695,32.818521,34.424334,37.327569,39.359506,40.643735,42.524766,45.60858,47.460667,52.416729,53.235519,54.08824,56.368462,56.600382,57.436807,57.799581,62.238772,67.5141,70.018922,73.820439,83.2443,83.633004,89.193568,103.463845,104.026995,106.414536,108.228294,115.382319,134.695786,138.236153,146.090349,146.668085,148.224193,149.213841,150.259097,150.937142,159.297241,160.780952,164.795666,167.900911,169.141529,170.748964,172.061519,174.149382,176.906053,179.809871,180.306976,190.755973,194.558402
joint_01829,NGRIP_00436,683,14.578625,22.649978,22.97198,27.436311,28.573446,30.6371,32.280026,33.554885,35.329138,38.315231,40.421566,41.692014,43.584583,46.70096,48.712857,53.420421,54.134259,54.785748,56.583475,56.805602,57.45069,57.759411,63.201376,68.36735,71.176824,75.3196,83.166779,83.501788,88.559353,105.520346,106.126579,108.405915,109.860921,117.081283,134.329831,138.003944,145.922293,146.455137,147.940714,148.826857,149.981052,150.71066,158.965321,160.308241,164.615535,166.840408,168.395209,170.567639,171.659835,173.320826,176.906215,179.867559,180.307294,191.359549,194.274767
joint_01830,NGRIP_00634,9599,14.640536,23.243819,23.550436,28.079121,29.232722,31.402503,33.014545,34.430048,36.245048,39.012422,40.912139,42.202306,44.030253,47.392253,49.780156,55.548791,56.527117,57.167365,59.087775,59.286791,59.934842,60.237862,64.786193,71.071819,73.617632,77.489384,85.054944,85.32019,89.896852,103.002528,103.424204,105.262511,106.575539,114.967325,135.860631,138.936414,146.713315,147.381378,149.119689,150.306237,151.091283,151.67568,160.273244,161.222941,165.570211,170.662453,171.428924,172.414309,173.325201,176.713516,176.869694,180.101184,180.587744,190.270066,194.337386
joint_01831,NGRIP_05627,2693,14.630756,23.093977,23.433643,27.962706,29.041864,31.004798,32.519242,33.72384,35.40218,38.09169,39.961699,41.252211,43.119145,46.728377,49.404873,53.307653,53.959979,54.551636,56.379015,56.585113,57.257213,57.518451,60.867293,66.444227,69.358256,73.687261,81.310561,81.536791,87.175629,101.43495,101.94651,104.23173,105.818197,111.798756,134.002716,137.811853,145.73082,146.250874,147.689843,148.540909,149.769988,150.499447,158.705869,160.513052,164.420806,166.041598,167.765313,170.140724,171.309509,172.614863,177.238369,179.756371,180.147942,191.00743,194.100924
joint_01832,NGRIP_05166,2906,14.730682,22.633288,22.941414,27.137653,28.192134,30.162151,32.000383,33.401167,35.152133,37.61597,39.338338,40.750905,42.7041,46.39916,48.943689,54.094754,54.857228,55.736098,58.036067,58.337602,59.14681,59.499768,63.406045,68.518797,71.31452,75.57006,83.502112,83.797363,89.765008,104.785881,105.235732,107.279477,108.764192,115.634825,134.493046,138.114273,145.981922,146.543937,148.068333,149.023711,150.114255,150.8086,159.127369,160.704025,164.660857,167.420267,168.74341,170.459113,171.841576,173.703097,177.062867,179.967907,180.497364,190.450723,194.640634
joint_01833,NGRIP_01499,6447,14.720677,22.981896,23.216147,27.439843,28.539352,30.376776,32.004644,33.272418,35.035506,38.006265,40.093705,41.262648,43.063893,46.652115,49.351105,54.973732,55.837544,56.725235,59.092292,59.397375,60.247521,60.597708,64.786026,70.491805,73.516364,77.827111,85.064154,85.288829,89.599298,104.834169,105.388853,107.475399,108.908869,116.179685,135.264916,138.560921,146.422938,147.027586,148.661225,149.711799,150.648109,151.300971,159.752249,160.831866,165.175962,169.316515,170.225943,171.88524,172.67079,175.368282,176.698188,179.708914,180.202621,190.936241,194.340511
joint_01834,NGRIP_04610,3502,14.635916,23.127302,23.498603,27.563536,28.471682,30.245855,31.737789,32.912837,34.604148,37.766814,39.937371,41.311826,43.28199,46.771349,49.044955,54.071691,54.923897,55.766452,58.13092,58.379031,59.2653,59.657773,64.869747,69.554804,71.760681,75.252905,83.533502,83.808522,88.596949,102.786638,103.257105,105.815289,107.688391,116.387702,134.890259,138.341804,146.205175,146.794485,148.373004,149.37721,150.401038,151.060773,159.450104,160.846762,164.954448,168.343615,169.506767,171.385727,172.271105,174.56373,177.048866,179.451659,179.867442,191.531734,194.482806
joint_01835,NGRIP_08104,6688,14.672077,22.891944,23.231905,27.592681,28.656518,30.493879,31.954982,33.093956,34.805817,38.009704,40.190658,41.441971,43.251472,46.812235,49.385633,53.771198,54.436605,55.260319,57.500379,57.736621,58.552472,58.898711,63.489923,68.499403,71.588053,76.214685,84.355054,84.654176,89.582906,102.826766,103.082014,105.164532,106.819073,112.969176,134.303259,137.991307,145.891448,146.434953,147.921178,148.824101,149.983676,150.689526,158.957884,160.626055,164.60151,166.821116,168.355011,170.562312,171.635128,173.274796,176.725614,179.692116,180.255501,190.798767,193.83294
joint_01836,NGRIP_01997,4221,14.503318,22.883843,23.236575,27.493034,28.584391,30.38722,32.046228,33.279557,34.893021,37.399692,39.159584,40.504779,42.467259,46.166637,48.701016,53.877372,54.730559,55.533162,57.865986,58.129046,58.924794,59.345168,63.410579,69.488997,71.832413,75.214018,84.026456,84.432784,88.943447,104.015401,104.563115,106.988782,108.707601,116.19661,135.067342,138.44754,146.299818,146.902946,148.509308,149.544068,150.526945,151.172769,159.598593,160.913344,165.06092,168.802913,169.854223,171.63413,172.462963,174.952568,176.35465,179.481432,179.976185,190.328626,194.713011
