comparison_id,driver_id,comparison_group,reduced_model_id,full_model_id,df,loglik_reduced,loglik_full,ll_gain_nats,gain_bits_per_event,LR_statistic,nominal_p,delta_AIC,fit_valid,invalid_reason,likelihood_nesting_ok,n_events,exposure_kyr,holm_nominal_p,realization_id
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-180.89976580330728,-179.40929870558853,1.4904670977187493,0.0311636158041595,2.9809341954374986,0.22526740906827467,1.0190658045625014,True,,True,69,395.7665440300473,1.0,Barker_MC_02535
phase_reference,pre,reference,B,BP,2,-187.03720966903748,-182.1360912868021,4.901118382235381,0.10247564036030034,9.802236764470763,0.0074382595999821135,-5.802236764470763,True,,True,69,395.9183522388127,,Barker_MC_09235
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-187.03720966903748,-186.45812038962967,0.5790892794078104,0.01210795987874799,1.1581785588156208,0.28184361181791473,0.8418214411843792,True,,True,69,395.9183522388127,1.0,Barker_MC_09235
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-182.1360912868021,-181.85468295651947,0.28140833028263046,0.00588386090671876,0.5628166605652609,0.45312758823977006,1.437183339434739,True,,True,69,395.9183522388127,1.0,Barker_MC_09235
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-186.45812038962967,-181.85468295651947,4.6034374331102015,0.09625154138827112,9.206874866220403,0.010017342549616125,-5.206874866220403,True,,True,69,395.9183522388127,0.080138740396929,Barker_MC_09235
obl_after_base,obl,driver_after_base,B,B_obl,1,-187.03720966903748,-186.91164938800978,0.12556028102770256,0.002625292677844798,0.2511205620554051,0.6162871581982783,1.7488794379445949,True,,True,69,395.9183522388127,1.0,Barker_MC_09235
obl_after_phase,obl,driver_after_phase,BP,BP_obl,1,-182.1360912868021,-181.76149163653227,0.374599650269829,0.00783236315598583,0.749199300539658,0.3867298554116104,1.250800699460342,True,,True,69,395.9183522388127,1.0,Barker_MC_09235
phase_after_obl,obl,phase_after_driver,B_obl,BP_obl,2,-186.91164938800978,-181.76149163653227,5.150157751477508,0.10768271083844137,10.300315502955016,0.005798489934334648,-6.300315502955016,True,,True,69,395.9183522388127,0.052186409409011834,Barker_MC_09235
insol65n_after_base,insol65n,driver_after_base,B,B_insol65n,1,-187.03720966903748,-184.0061225525343,3.031087116503187,0.06337586016639965,6.062174233006374,0.013810754977022319,-4.062174233006374,True,,True,69,395.9183522388127,0.09667528483915623,Barker_MC_09235
insol65n_after_phase,insol65n,driver_after_phase,BP,BP_insol65n,1,-182.1360912868021,-182.0126881377878,0.12340314901430816,0.0025801900161307846,0.2468062980286163,0.6193328932437929,1.7531937019713837,True,,True,69,395.9183522388127,1.0,Barker_MC_09235
phase_after_insol65n,insol65n,phase_after_driver,B_insol65n,BP_insol65n,2,-184.0061225525343,-182.0126881377878,1.9934344147465026,0.04167997021003148,3.9868688294930053,0.13622676191373176,0.01313117050699475,True,,True,69,395.9183522388127,0.8173605714823906,Barker_MC_09235
phase_reference,pre,reference,B,BP,2,-183.89336662573845,-178.3297663488363,5.56360027690215,0.11632722505761153,11.1272005538043,0.0038349446508444632,-7.1272005538043,True,,True,69,396.96840218105285,,Barker_MC_09532
ecc_after_base,ecc,driver_after_base,B,B_ecc,1,-183.89336662573845,-183.5327395791652,0.3606270465732564,0.007540215242053192,0.7212540931465128,0.3957328517488584,1.2787459068534872,True,,True,69,396.96840218105285,1.0,Barker_MC_09532
ecc_after_phase,ecc,driver_after_phase,BP,BP_ecc,1,-178.3297663488363,-178.23229894970848,0.09746739912782232,0.0020379091792761526,0.19493479825564464,0.6588407759654513,1.8050652017443554,True,,True,69,396.96840218105285,1.0,Barker_MC_09532
phase_after_ecc,ecc,phase_after_driver,B_ecc,BP_ecc,2,-183.5327395791652,-178.23229894970848,5.300440629456716,0.11082491899483449,10.600881258913432,0.004989394948097458,-6.600881258913432,True,,True,69,396.96840218105285,0.03991515958477966,Barker_MC_09532
