realization_id,within_observation_support,n_response_events,response_exposure_kyr,all_comparisons_valid,invalid_reason
Barker_MC_05339,True,69,396.1867439607191,True,
Barker_MC_00850,True,69,395.6379581807959,True,
Barker_MC_08546,True,69,397.5435213744969,True,
Barker_MC_04605,True,69,396.39208831772794,True,
Barker_MC_02840,True,69,396.06038257290294,True,
Barker_MC_06693,True,69,397.3967210207377,True,
Barker_MC_08935,True,69,396.07062764645724,True,
Barker_MC_02031,True,69,396.37036369230003,True,
Barker_MC_02336,True,69,396.25657330379033,True,
Barker_MC_05174,True,69,395.49534660509477,True,
Barker_MC_07983,True,69,395.4441153197175,True,
Barker_MC_00147,True,69,396.61617189752945,True,
Barker_MC_05173,True,69,395.9505749932178,True,
Barker_MC_09164,True,69,396.01962873075837,True,
Barker_MC_02532,True,69,397.479019320294,True,
Barker_MC_09596,True,69,396.8570864643038,True,
Barker_MC_07231,True,69,395.91899285386313,True,
Barker_MC_05955,True,69,395.45861638425737,True,
Barker_MC_09073,True,69,396.8988247251978,True,
Barker_MC_08639,True,69,397.5029261784845,True,
Barker_MC_03891,True,69,395.8499291889981,True,
Barker_MC_07635,True,69,396.81746092954467,True,
Barker_MC_06444,True,69,397.5841068994666,True,
Barker_MC_05619,True,69,395.39410129046286,True,
Barker_MC_07573,True,69,396.80294823093783,True,
Barker_MC_03217,True,69,395.69922596761074,True,
Barker_MC_09560,True,69,397.1612841093004,True,
Barker_MC_05070,True,69,396.10623681594126,True,
Barker_MC_01557,True,69,396.3998450479955,True,
Barker_MC_01221,True,69,395.7917396569046,True,
Barker_MC_05402,True,69,396.815277444913,True,
Barker_MC_08424,True,69,395.5043715398478,True,
Barker_MC_06600,True,69,395.8448590271982,True,
Barker_MC_06958,True,69,395.37127187858533,True,
Barker_MC_05224,True,69,397.61677442401276,True,
Barker_MC_06128,True,69,396.9398044282814,True,
Barker_MC_00295,True,69,397.3664001118359,True,
Barker_MC_02975,True,69,397.51497377812393,True,
Barker_MC_06770,True,69,395.5666850945382,True,
Barker_MC_09726,True,69,396.41750874739637,True,
Barker_MC_06190,True,69,396.11831992308913,True,
Barker_MC_07857,True,69,395.90388301693287,True,
Barker_MC_07402,True,69,396.1669316342929,True,
Barker_MC_02857,True,69,395.663789181247,True,
Barker_MC_04536,True,69,395.5377476880336,True,
Barker_MC_03530,True,69,397.56328567613104,True,
Barker_MC_07459,True,69,396.15259786528395,True,
Barker_MC_09402,True,69,396.3555990547842,True,
Barker_MC_04663,True,69,395.725739027914,True,
Barker_MC_01630,True,69,397.3738069196179,True,
Barker_MC_05326,True,69,396.7934276149117,True,
Barker_MC_04153,True,69,397.12214417254734,True,
Barker_MC_00882,True,69,397.57239014404706,True,
Barker_MC_09228,True,69,397.32632202459325,True,
Barker_MC_09125,True,69,396.02547734814414,True,
Barker_MC_06152,True,69,395.57257581561436,True,
Barker_MC_07414,True,69,396.5770078220605,True,
Barker_MC_04920,True,69,396.787232625352,True,
Barker_MC_06177,True,69,396.2075694539762,True,
Barker_MC_08762,True,69,396.99302450642256,True,
Barker_MC_00851,True,69,396.6272929395475,True,
Barker_MC_04543,True,69,396.7011868795465,True,
Barker_MC_00181,True,69,396.2321114931961,True,
Barker_MC_00240,True,69,396.0206957739767,True,
Barker_MC_03680,True,69,396.61722686932023,True,
Barker_MC_01201,True,69,395.99991117930995,True,
Barker_MC_08705,True,69,396.89594527312505,True,
Barker_MC_08224,True,69,396.7633341232369,True,
Barker_MC_03983,True,69,396.51097079117085,True,
Barker_MC_07393,True,69,395.5405381698566,True,
Barker_MC_04696,True,69,395.8145620700322,True,
Barker_MC_07355,True,69,396.6765823494127,True,
Barker_MC_08920,True,69,396.3798671001632,True,
Barker_MC_09875,True,69,395.81177402811875,True,
Barker_MC_00899,True,69,395.69644661273344,True,
Barker_MC_06055,True,69,396.2032527882742,True,
Barker_MC_02408,True,69,397.196842569954,True,
Barker_MC_06154,True,69,396.0432510462636,True,
Barker_MC_09836,True,69,395.50033641935005,True,
Barker_MC_04816,True,69,397.48792663019236,True,
Barker_MC_00524,True,69,396.0618419929419,True,
Barker_MC_06142,True,69,395.9385102043814,True,
Barker_MC_01346,True,69,396.7758770665451,True,
Barker_MC_04722,True,69,396.62477617665246,True,
Barker_MC_06092,True,69,397.19511408218773,True,
Barker_MC_00615,True,69,397.34952855097373,True,
Barker_MC_09418,True,69,396.0304226631223,True,
Barker_MC_08209,True,69,397.247938163597,True,
Barker_MC_06983,True,69,397.1989447690254,True,
Barker_MC_05587,True,69,397.250577700657,True,
Barker_MC_07530,True,69,395.553783930973,True,
Barker_MC_06797,True,69,396.6455285078067,True,
Barker_MC_08641,True,69,395.59050138058967,True,
Barker_MC_02508,True,69,397.12557546607496,True,
Barker_MC_02990,True,69,396.48002354440564,True,
Barker_MC_05719,True,69,395.8383831639474,True,
Barker_MC_05029,True,69,396.66231754836264,True,
Barker_MC_01114,True,69,397.2395192047315,True,
Barker_MC_08165,True,69,396.98551479747044,True,
Barker_MC_07763,True,69,395.89090465525044,True,
Barker_MC_07072,True,69,396.47974824439916,True,
Barker_MC_06945,True,69,395.25997163733126,True,
Barker_MC_06005,True,69,396.6193728401819,True,
Barker_MC_00356,True,69,397.6102533394862,True,
Barker_MC_04020,True,69,395.3802079907667,True,
Barker_MC_08860,True,69,396.94812471539956,True,
Barker_MC_01210,True,69,397.4305177387507,True,
Barker_MC_06179,True,69,396.3097956414418,True,
Barker_MC_01919,True,69,396.5719416475761,True,
Barker_MC_02157,True,69,397.4515040222252,True,
Barker_MC_02307,True,69,396.05777147632665,True,
Barker_MC_05937,True,69,395.71524226830013,True,
Barker_MC_03760,True,69,395.8835331414464,True,
Barker_MC_03092,True,69,395.52219766852124,True,
Barker_MC_05979,True,69,396.3941716023313,True,
Barker_MC_06853,True,69,396.5530007591208,True,
Barker_MC_07916,True,69,397.15081489083605,True,
Barker_MC_09795,True,69,396.697736523069,True,
Barker_MC_00437,True,69,395.671783909539,True,
Barker_MC_06488,True,69,395.5321290935242,True,
Barker_MC_05259,True,69,397.2346958911316,True,
Barker_MC_01299,True,69,396.4258090816064,True,
Barker_MC_02583,True,69,396.16049980016516,True,
Barker_MC_00762,True,69,396.2398885067632,True,
Barker_MC_01782,True,69,395.7602737260674,True,
Barker_MC_01002,True,69,395.75892542699785,True,
Barker_MC_08308,True,69,396.3731074834151,True,
Barker_MC_03727,True,69,397.2643839207254,True,
Barker_MC_07864,True,69,395.61690461999706,True,
Barker_MC_07506,True,69,397.58879583247506,True,
Barker_MC_03366,True,69,397.1201338144184,True,
Barker_MC_08049,True,69,396.79504193262545,True,
Barker_MC_08018,True,69,395.52946572574876,True,
Barker_MC_08981,True,69,396.4138570715175,True,
Barker_MC_09830,True,69,396.02222208744644,True,
Barker_MC_04796,True,69,396.35283789309875,True,
Barker_MC_06381,True,69,395.6163075171101,True,
Barker_MC_09696,True,69,396.04919473739034,True,
Barker_MC_00148,True,69,396.3454684750315,True,
Barker_MC_07211,True,69,396.46692958678955,True,
Barker_MC_06836,True,69,395.85556077400315,True,
Barker_MC_03935,True,69,396.3050170799881,True,
Barker_MC_07458,True,69,396.3517201534274,True,
Barker_MC_05210,True,69,395.717787571323,True,
Barker_MC_04419,True,69,395.85658543948716,True,
Barker_MC_01800,True,69,395.70088125129286,True,
Barker_MC_03204,True,69,397.0819669351281,True,
Barker_MC_09525,True,69,395.24290844640285,True,
Barker_MC_03740,True,69,396.7906628081503,True,
Barker_MC_07755,True,69,396.6806533017817,True,
Barker_MC_09348,True,69,397.34972310675005,True,
Barker_MC_08504,True,69,395.59625639642286,True,
Barker_MC_02413,True,69,396.2751134238652,True,
Barker_MC_01235,True,69,396.9229416328609,True,
Barker_MC_03453,True,69,396.51747099729397,True,
Barker_MC_00468,True,69,397.43225183608246,True,
Barker_MC_04382,True,69,397.19694570742274,True,
Barker_MC_07696,True,69,397.4421253597724,True,
Barker_MC_03691,True,69,395.37825279327484,True,
Barker_MC_02633,True,69,396.52876870886973,True,
Barker_MC_09160,True,69,395.6303613329531,True,
Barker_MC_00709,True,69,395.748477680861,True,
Barker_MC_02934,True,69,397.2162657804754,True,
Barker_MC_04903,True,69,396.3414674308684,True,
Barker_MC_09534,True,69,397.17795070655217,True,
Barker_MC_09763,True,69,396.00997158609283,True,
Barker_MC_03533,True,69,397.28965868935046,True,
Barker_MC_03636,True,69,397.2442284272247,True,
Barker_MC_02312,True,69,396.2400086064842,True,
Barker_MC_04476,True,69,395.97089096252705,True,
Barker_MC_00113,True,69,395.6160540697086,True,
Barker_MC_01743,True,69,395.7314348616413,True,
Barker_MC_03228,True,69,397.59492414997203,True,
Barker_MC_09701,True,69,397.6790986283331,True,
Barker_MC_04448,True,69,396.1644907257445,True,
Barker_MC_06021,True,69,397.1722428101719,True,
Barker_MC_02734,True,69,397.4171397530996,True,
Barker_MC_09531,True,69,396.46212849138266,True,
Barker_MC_03443,True,69,397.1239862263937,True,
Barker_MC_01509,True,69,396.26971962591995,True,
Barker_MC_03939,True,69,396.4158312023958,True,
Barker_MC_05783,True,69,397.2569267222121,True,
Barker_MC_04143,True,69,397.0550074441219,True,
Barker_MC_01181,True,69,397.6089577016063,True,
Barker_MC_02877,True,69,396.5638865349869,True,
Barker_MC_03635,True,69,395.3534159175951,True,
Barker_MC_05063,True,69,395.7902003073256,True,
Barker_MC_07777,True,69,396.3464155049333,True,
Barker_MC_06343,True,69,396.2952295679262,True,
Barker_MC_09833,True,69,397.3820783869797,True,
Barker_MC_05004,True,69,396.1701127878,True,
Barker_MC_03849,True,69,396.5361528841372,True,
Barker_MC_07446,True,69,396.92381935026526,True,
Barker_MC_02911,True,69,397.2224991973258,True,
Barker_MC_04331,True,69,397.07162758171995,True,
Barker_MC_09476,True,69,396.5652027287141,True,
Barker_MC_03297,True,69,397.3017651941999,True,
Barker_MC_00293,True,69,395.6167548220244,True,
Barker_MC_03101,True,69,397.57321444010995,True,
Barker_MC_02172,True,69,395.5301101965466,True,
Barker_MC_05122,True,69,397.4082731685105,True,
Barker_MC_04431,True,69,397.1396182772766,True,
Barker_MC_06761,True,69,396.2873156101838,True,
Barker_MC_08951,True,69,395.5034817441614,True,
Barker_MC_05931,True,69,396.6107337476913,True,
Barker_MC_00007,True,69,396.562094519638,True,
Barker_MC_06647,True,69,396.9595362325059,True,
Barker_MC_03968,True,69,396.61794995884867,True,
Barker_MC_09038,True,69,395.65083180951854,True,
Barker_MC_03114,True,69,397.2522433834545,True,
Barker_MC_07129,True,69,397.49488222384474,True,
Barker_MC_09633,True,69,395.76295488190465,True,
Barker_MC_00111,True,69,396.8348160233604,True,
Barker_MC_09652,True,69,396.1537032111986,True,
Barker_MC_09978,True,69,396.81412589844126,True,
Barker_MC_00153,True,69,397.3034567243263,True,
Barker_MC_08124,True,69,396.75384542896086,True,
Barker_MC_08349,True,69,396.8867180083477,True,
Barker_MC_03863,True,69,396.98840814177146,True,
Barker_MC_02505,True,69,396.5980617232432,True,
Barker_MC_04425,True,69,397.01243763761664,True,
Barker_MC_07222,True,69,397.2759867792317,True,
Barker_MC_06550,True,69,396.7619285147189,True,
Barker_MC_07874,True,69,396.66080655254626,True,
Barker_MC_09022,True,69,395.9871865918386,True,
Barker_MC_01323,True,69,396.127376631539,True,
