scope,drop_probability,metric,n_replicates,n_valid,n_invalid,n_finite,q025,median,q975,status,range_type
both,0.2,change__LR_statistic,500,500,0,500,-11.3912451757,-3.9287671433,4.01756721488,ok,extra_deletion_scenario_range
both,0.2,change__beta_history,500,500,0,500,-0.666130470677,-0.0763235916905,0.388554427451,ok,extra_deletion_scenario_range
both,0.2,change__beta_pre_phase_sin,500,500,0,500,-0.267250921156,0.0312667333836,0.301314584603,ok,extra_deletion_scenario_range
both,0.2,change__beta_pre_phase_cos,500,500,0,500,-0.350322309867,-0.0370358314231,0.265491632858,ok,extra_deletion_scenario_range
both,0.2,change__phase_amplitude,500,500,0,500,-0.341233435313,-0.0348578811784,0.288013430894,ok,extra_deletion_scenario_range
both,0.2,change__pre_phase_rate_ratio_max_vs_min,500,500,0,500,-3.5528695208,-0.483700535057,5.59528885928,ok,extra_deletion_scenario_range
both,0.2,phase_offset_deg,500,500,0,500,-14.7225757072,-0.011054274204,17.2599029105,ok,extra_deletion_scenario_range
MIS6_only,0.1,n_deleted,500,500,0,500,0,2,5,ok,extra_deletion_scenario_range
MIS6_only,0.1,n_response_events,500,500,0,500,48,51,53,ok,extra_deletion_scenario_range
MIS6_only,0.1,gain_bits_per_event,500,500,0,500,0.184527974455,0.24267797765,0.296760591751,ok,extra_deletion_scenario_range
MIS6_only,0.1,LR_statistic,500,500,0,500,12.5273818009,17.0181555254,20.6592320014,ok,extra_deletion_scenario_range
MIS6_only,0.1,beta_history,500,500,0,500,-1.0572786601,-0.957886828072,-0.823584767991,ok,extra_deletion_scenario_range
MIS6_only,0.1,beta_pre_phase_sin,500,500,0,500,-0.640292010148,-0.507776417667,-0.374246699624,ok,extra_deletion_scenario_range
MIS6_only,0.1,beta_pre_phase_cos,500,500,0,500,0.696787841161,0.823169579704,0.923559145983,ok,extra_deletion_scenario_range
MIS6_only,0.1,phase_amplitude,500,500,0,500,0.813679587838,0.967347614384,1.09993881337,ok,extra_deletion_scenario_range
MIS6_only,0.1,pre_phase_rate_ratio_max_vs_min,500,500,0,500,5.090450702,6.92193412748,9.02453198494,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__gain_bits_per_event,500,500,0,500,-0.0636956016525,-0.00554559845738,0.0485370156434,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__LR_statistic,500,500,0,500,-5.71049822338,-1.21972449894,2.42135197709,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__beta_history,500,500,0,500,-0.093317374611,0.00607445741688,0.140376517498,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__beta_pre_phase_sin,500,500,0,500,-0.119093150788,0.0134224416933,0.146952159736,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__beta_pre_phase_cos,500,500,0,500,-0.140021828975,-0.0136400904329,0.0867494758464,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__phase_amplitude,500,500,0,500,-0.172169627323,-0.0185016007762,0.114089598208,ok,extra_deletion_scenario_range
MIS6_only,0.1,change__pre_phase_rate_ratio_max_vs_min,500,500,0,500,-2.09241502908,-0.260931603592,1.84166625387,ok,extra_deletion_scenario_range
MIS6_only,0.1,phase_offset_deg,500,500,0,500,-5.68556934771,0,6.34681146713,ok,extra_deletion_scenario_range
MIS6_only,0.2,n_deleted,500,500,0,500,1,4,8,ok,extra_deletion_scenario_range
MIS6_only,0.2,n_response_events,500,500,0,500,45,49,52,ok,extra_deletion_scenario_range
MIS6_only,0.2,gain_bits_per_event,500,500,0,500,0.164642590922,0.237267285607,0.303723249584,ok,extra_deletion_scenario_range
MIS6_only,0.2,LR_statistic,500,500,0,500,10.6104396723,16.0242455495,20.6120007542,ok,extra_deletion_scenario_range
MIS6_only,0.2,beta_history,500,500,0,500,-1.09672200434,-0.947744102518,-0.765296392983,ok,extra_deletion_scenario_range
MIS6_only,0.2,beta_pre_phase_sin,500,500,0,500,-0.644730336426,-0.491312241364,-0.343595466502,ok,extra_deletion_scenario_range
MIS6_only,0.2,beta_pre_phase_cos,500,500,0,500,0.642377897754,0.805533172981,0.950707127052,ok,extra_deletion_scenario_range
MIS6_only,0.2,phase_amplitude,500,500,0,500,0.755461761225,0.947912002339,1.1072197256,ok,extra_deletion_scenario_range
MIS6_only,0.2,pre_phase_rate_ratio_max_vs_min,500,500,0,500,4.53091341136,6.65803501279,9.15646415882,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__gain_bits_per_event,500,500,0,500,-0.0835809851853,-0.0109562905001,0.0554996734767,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__LR_statistic,500,500,0,500,-7.62744035203,-2.21363447482,2.37412072994,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__beta_history,500,500,0,500,-0.132760718849,0.0162171829706,0.198664892505,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__beta_pre_phase_sin,500,500,0,500,-0.123531477066,0.0298866179956,0.177603392858,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__beta_pre_phase_cos,500,500,0,500,-0.194431772382,-0.031276497156,0.113897456915,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__phase_amplitude,500,500,0,500,-0.230387453935,-0.0379372128213,0.121370510441,ok,extra_deletion_scenario_range
MIS6_only,0.2,change__pre_phase_rate_ratio_max_vs_min,500,500,0,500,-2.65195231971,-0.524830718288,1.97359842775,ok,extra_deletion_scenario_range
MIS6_only,0.2,phase_offset_deg,500,500,0,500,-7.11162512636,0.202831953042,8.07099973894,ok,extra_deletion_scenario_range
