replicate_id,seed,fit_valid,invalid_reason,n_response_events,ks_uniform,adjacent_dependence,n_intervals,n_adjacent_pairs,residual_status
115,20260917,True,,70,0.0521949163935,0.0595580697026,70,69,ok
116,20260917,True,,66,0.103729720125,0.134270654076,66,65,ok
117,20260917,True,,60,0.0773154612412,0.00215357473113,60,59,ok
118,20260917,True,,67,0.062629614037,0.0552287502462,67,66,ok
119,20260917,True,,60,0.0854633088974,0.0360101748903,60,59,ok
120,20260917,True,,73,0.0808010607365,0.171315853592,73,72,ok
121,20260917,True,,63,0.115552106542,0.0349428634094,63,62,ok
122,20260917,True,,72,0.0817315091739,0.0238431409322,72,71,ok
123,20260917,True,,69,0.0889153787287,0.0172743136363,69,68,ok
124,20260917,True,,61,0.103610684691,0.0194040147103,61,60,ok
125,20260917,True,,62,0.129014324174,0.203681008372,62,61,ok
126,20260917,True,,65,0.0814642767628,0.0198787612346,65,64,ok
127,20260917,True,,65,0.12841573063,0.0128163463121,65,64,ok
128,20260917,True,,64,0.0810141450658,0.063350794459,64,63,ok
129,20260917,True,,74,0.0636112222547,0.0604748094313,74,73,ok
130,20260917,True,,67,0.0716475133888,0.00159180513928,67,66,ok
131,20260917,True,,52,0.0913816487979,0.0596884762409,52,51,ok
132,20260917,True,,77,0.0870900516667,0.0902739035774,77,76,ok
133,20260917,True,,64,0.0987390236316,0.0615375345128,64,63,ok
134,20260917,True,,74,0.0847831102081,0.00620177878774,74,73,ok
135,20260917,True,,75,0.0612315312535,0.0703963054922,75,74,ok
136,20260917,True,,71,0.0805381014085,0.156087705026,71,70,ok
137,20260917,True,,69,0.0637396255224,0.0411526871661,69,68,ok
138,20260917,True,,60,0.113588724611,0.0596936444611,60,59,ok
139,20260917,True,,56,0.121370855808,0.144568291254,56,55,ok
140,20260917,True,,75,0.0890489018254,0.10612391164,75,74,ok
141,20260917,True,,63,0.0660110164019,0.000959868497981,63,62,ok
142,20260917,True,,70,0.0693953172961,0.011985515052,70,69,ok
143,20260917,True,,74,0.0866341119961,0.0318824117367,74,73,ok
144,20260917,True,,62,0.0813741924961,0.0392209044989,62,61,ok
145,20260917,True,,72,0.0627307715222,0.0630382044442,72,71,ok
146,20260917,True,,68,0.0632694730242,0.0680431459639,68,67,ok
147,20260917,True,,69,0.0620518437502,0.114435137859,69,68,ok
148,20260917,True,,47,0.143790872634,0.00155923919592,47,46,ok
149,20260917,True,,60,0.104595119655,0.0915237252508,60,59,ok
150,20260917,True,,66,0.102625723701,0.0367337982516,66,65,ok
151,20260917,True,,76,0.0878958151125,0.0116729937043,76,75,ok
152,20260917,True,,69,0.0862996834391,0.0976262110154,69,68,ok
153,20260917,True,,54,0.0704338532085,0.0361690338108,54,53,ok
154,20260917,True,,55,0.0817479131524,0.0464490514834,55,54,ok
155,20260917,True,,75,0.0733273360736,0.0660570465476,75,74,ok
156,20260917,True,,71,0.0565113857668,0.0914765678473,71,70,ok
157,20260917,True,,65,0.0812593432519,0.007634179807,65,64,ok
158,20260917,True,,68,0.0935842801532,0.0351541071651,68,67,ok
159,20260917,True,,67,0.0694921959018,0.121255789482,67,66,ok
160,20260917,True,,72,0.0839449451178,0.108337061778,72,71,ok
161,20260917,True,,82,0.0561299103484,0.148363788825,82,81,ok
162,20260917,True,,62,0.0849600243041,0.110248220177,62,61,ok
163,20260917,True,,66,0.0728244309059,0.0693664883931,66,65,ok
164,20260917,True,,69,0.0898916513078,0.0732129029117,69,68,ok
165,20260917,True,,71,0.0524349951976,0.024724060777,71,70,ok
166,20260917,True,,69,0.0637536867242,0.182184914672,69,68,ok
167,20260917,True,,71,0.139832820306,0.234989041805,71,70,ok
168,20260917,True,,73,0.0729998630669,0.0150985790782,73,72,ok
169,20260917,True,,69,0.0644243794453,0.0246605516977,69,68,ok
170,20260917,True,,63,0.114301841296,0.0587336191615,63,62,ok
171,20260917,True,,75,0.0594902114091,0.041051867052,75,74,ok
172,20260917,True,,76,0.0666460016114,0.0670541541115,76,75,ok
173,20260917,True,,54,0.100441100832,0.0182462871554,54,53,ok
174,20260917,True,,67,0.0575373495977,0.163762832531,67,66,ok
175,20260917,True,,76,0.061828653871,0.0519990426212,76,75,ok
176,20260917,True,,64,0.100452607722,0.037861010349,64,63,ok
177,20260917,True,,75,0.0680553120643,0.0115196531659,75,74,ok
178,20260917,True,,71,0.0786647683839,0.0574501060366,71,70,ok
179,20260917,True,,77,0.0638610184522,0.0481914981973,77,76,ok
180,20260917,True,,64,0.144143690177,0.0975022058007,64,63,ok
181,20260917,True,,68,0.0710100127739,0.209869815761,68,67,ok
182,20260917,True,,71,0.0960880338288,0.179112590349,71,70,ok
183,20260917,True,,75,0.069923053951,0.100932082853,75,74,ok
184,20260917,True,,74,0.0910342006835,0.0914648368752,74,73,ok
185,20260917,True,,71,0.0917555671857,0.143771738166,71,70,ok
186,20260917,True,,53,0.0938427169503,0.02942142166,53,52,ok
187,20260917,True,,62,0.0833019329751,0.0406713714987,62,61,ok
188,20260917,True,,61,0.0777709217254,0.0357329846068,61,60,ok
189,20260917,True,,68,0.0890881070594,0.0424679791403,68,67,ok
190,20260917,True,,74,0.083490213739,0.00675797149688,74,73,ok
191,20260917,True,,71,0.0524780007973,0.0335186079186,71,70,ok
192,20260917,True,,78,0.056955776273,0.0530045280535,78,77,ok
193,20260917,True,,71,0.0844811191316,0.0157473466438,71,70,ok
194,20260917,True,,68,0.053801090931,0.0264321821496,68,67,ok
195,20260917,True,,65,0.0880562674583,0.0102285921985,65,64,ok
196,20260917,True,,62,0.0878667661931,0.0327131659138,62,61,ok
197,20260917,True,,64,0.0475859447293,0.114621795909,64,63,ok
198,20260917,True,,66,0.109961747346,0.0707482171339,66,65,ok
199,20260917,True,,71,0.0704006275835,0.0282266715889,71,70,ok
200,20260917,True,,67,0.0540597043108,0.0229465465563,67,66,ok
201,20260917,True,,77,0.0475227664316,0.0126026657029,77,76,ok
202,20260917,True,,71,0.0562615895359,0.00215361812839,71,70,ok
203,20260917,True,,71,0.0633448466637,0.018201718908,71,70,ok
204,20260917,True,,66,0.106936003831,0.0489649354875,66,65,ok
205,20260917,True,,66,0.0792649021634,0.116005744335,66,65,ok
206,20260917,True,,60,0.0994612769285,0.23098406933,60,59,ok
207,20260917,True,,76,0.0791706438506,0.182460484943,76,75,ok
208,20260917,True,,72,0.0945704020743,0.0186950080216,72,71,ok
209,20260917,True,,73,0.0598606124816,0.107995646687,73,72,ok
210,20260917,True,,71,0.085208779972,0.0244877130208,71,70,ok
211,20260917,True,,62,0.0689510249098,0.0188566813266,62,61,ok
212,20260917,True,,69,0.0633842714972,0.0934713162503,69,68,ok
213,20260917,True,,68,0.0719769235422,0.19852839692,68,67,ok
214,20260917,True,,72,0.0615869604044,0.0702493901007,72,71,ok
215,20260917,True,,70,0.0843620824052,0.0470909089777,70,69,ok
216,20260917,True,,60,0.0915829423036,0.0304264449489,60,59,ok
217,20260917,True,,65,0.104917877415,0.0406603191331,65,64,ok
218,20260917,True,,67,0.0551679260521,0.0776740767206,67,66,ok
219,20260917,True,,56,0.0922826402782,0.12372242629,56,55,ok
220,20260917,True,,71,0.0748047846295,0.0453879625026,71,70,ok
221,20260917,True,,74,0.0623163468744,0.168012143498,74,73,ok
222,20260917,True,,72,0.105570753047,0.0312998978408,72,71,ok
223,20260917,True,,68,0.108896643024,0.00516042965576,68,67,ok
224,20260917,True,,70,0.0923253430347,0.100150847887,70,69,ok
