segment_id,event_index,event_coordinate,cumulative_intensity,rescaled_interval,uniform_residual,cumulative_residual
Barker2011,34,203.785221168,35.3180298696,0.953086717593,0.61445089636,-1.31802986962
Barker2011,35,206.484955785,35.6337772962,0.315747426604,0.270756385555,-0.633777296226
Barker2011,36,217.814263878,37.1853491387,1.55157184245,0.788085384486,-1.18534913867
Barker2011,37,218.505207467,37.2451528662,0.0598037274962,0.0580506057919,-0.245152866169
Barker2011,38,220.169444187,37.3799602819,0.134807415686,0.126115808129,0.620039718145
Barker2011,39,223.281714797,37.8017130101,0.421752728266,0.344103796065,1.19828698988
Barker2011,40,226.979997035,38.5125608425,0.710847832363,0.508772457749,1.48743915752
Barker2011,41,232.430740026,39.1480507665,0.63548992402,0.470324076218,1.8519492335
Barker2011,42,235.769906016,39.4684923311,0.320441564578,0.274171533838,2.53150766892
Barker2011,43,245.492455202,41.6610044563,2.19251212522,0.888364047425,1.3389955437
Barker2011,44,247.381031804,42.2495926424,0.588588186137,0.444889555613,1.75040735756
Barker2011,45,249.097919623,42.6432659254,0.393673282972,0.325425584811,2.35673407459
Barker2011,46,267.389737987,47.1387627316,4.4954968062,0.98884086469,-1.13876273162
Barker2011,47,271.136355671,47.8798508374,0.741088105815,0.523404952562,-0.87985083743
Barker2011,48,286.686648458,50.0531055343,2.17325469683,0.886193392528,-2.05310553426
Barker2011,49,293.109415926,51.752550065,1.69944453073,0.817214972675,-2.75255006499
Barker2011,50,305.798123334,53.4536001482,1.70105008318,0.817508208159,-3.45360014818
Barker2011,51,312.881348925,54.5902161972,1.13661604906,0.679096893095,-3.59021619724
Barker2011,52,320.648734388,56.2369087878,1.64669259056,0.807313852127,-4.2369087878
Barker2011,53,324.849253951,56.743197193,0.506288405196,0.397271483601,-3.743197193
Barker2011,54,331.809913917,57.5576044758,0.814407282792,0.557098234924,-3.55760447579
Barker2011,55,337.162702137,59.279289186,1.72168471024,0.821235272687,-4.27928918603
Barker2011,56,338.805256029,59.7877715996,0.508482413541,0.398592425388,-3.78777159957
Barker2011,57,342.596860374,60.6142260877,0.826454488137,0.562401951806,-3.61422608771
Barker2011,58,348.871669666,61.5013231658,0.887097078058,0.588150413688,-3.50132316577
Barker2011,59,352.770578946,61.8315226048,0.330199439065,0.281219633749,-2.83152260483
Barker2011,60,354.764263878,61.9688371037,0.137314498898,0.128303964424,-1.96883710373
Barker2011,61,357.898159007,62.3114180471,0.342580943378,0.29006434753,-1.31141804711
Barker2011,62,359.004978491,62.4238010018,0.112382954714,0.106298055413,-0.423801001822
Barker2011,63,361.065840243,62.6577421477,0.233941145868,0.208591607821,0.342257852311
Barker2011,64,362.57157157,62.8662132428,0.208471095109,0.188175499938,1.1337867572
Barker2011,65,363.544540818,62.9796548573,0.113441614533,0.107243681116,2.02034514267
Barker2011,66,366.633111379,63.5056601793,0.526005321921,0.409039040374,2.49433982075
Barker2011,67,368.48487287,63.8297002641,0.324040084864,0.276778748427,3.17029973588
Barker2011,68,381.891358484,66.8508687778,3.02116851366,0.951255773224,1.14913122223
Barker2011,69,385.061856265,67.6212981939,0.77042941609,0.537185714267,1.37870180614
