composite_event_id,composite_event_number,composite_event_label,source_record,source_event_label,algorithm_config_id,smoothing_sigma_yr,search_half_width_yr,definition_pick_age_ka_bp,chronology_input_lower_approx95_ka_bp,chronology_input_upper_approx95_ka_bp,chronology_sampling_lower_approx95_ka_bp,chronology_sampling_upper_approx95_ka_bp,chronology_half_width_approx95_ka,chronology_sigma_ka,chronology_support_id,source_bound_repair_applied
MIS6_DO_21,21,MIS 6.21,Huagapo,6.13,s125_w300,125.000000,300.000000,194.654951,193.955288,195.354614,193.955288,195.354614,0.699663,0.349832,HUA_P10H2_D902--HUA_P10H2_D1005,False
MIS6_DO_17,17,MIS 6.17,Huagapo,6.9,s125_w400,125.000000,400.000000,177.715951,177.122966,178.308936,177.122966,178.308936,0.592985,0.296493,HUA_P10H2_D135--HUA_P10H2_D180,False
MIS6_DO_20,20,MIS 6.20,Huagapo,6.12,s125_w400,125.000000,400.000000,190.728951,190.095756,191.362146,190.095756,191.362146,0.633195,0.316597,HUA_P10H2_D503--HUA_P10H2_D595,False
MIS6_DO_21,21,MIS 6.21,Huagapo,6.13,s125_w400,125.000000,400.000000,194.654951,193.955288,195.354614,193.955288,195.354614,0.699663,0.349832,HUA_P10H2_D902--HUA_P10H2_D1005,False
MIS6_DO_17,17,MIS 6.17,Huagapo,6.9,s125_w500,125.000000,500.000000,177.715951,177.122966,178.308936,177.122966,178.308936,0.592985,0.296493,HUA_P10H2_D135--HUA_P10H2_D180,False
MIS6_DO_20,20,MIS 6.20,Huagapo,6.12,s125_w500,125.000000,500.000000,190.728951,190.095756,191.362146,190.095756,191.362146,0.633195,0.316597,HUA_P10H2_D503--HUA_P10H2_D595,False
MIS6_DO_21,21,MIS 6.21,Huagapo,6.13,s125_w500,125.000000,500.000000,194.654951,193.955288,195.354614,193.955288,195.354614,0.699663,0.349832,HUA_P10H2_D902--HUA_P10H2_D1005,False
MIS6_DO_01,1,MIS 6.1,MF,6.1,s035_w300,35.000000,300.000000,134.970000,133.964889,135.950000,133.964889,135.975111,1.005111,0.512821,MF_segment_0,False
MIS6_DO_02,2,MIS 6.2,MF,6.2,s035_w300,35.000000,300.000000,138.401000,137.796765,138.911176,137.796765,139.005235,0.604235,0.308289,MF_segment_0,False
MIS6_DO_03,3,MIS 6.3,MF,6.3,s035_w300,35.000000,300.000000,146.237000,145.699460,146.765556,145.699460,146.774540,0.537540,0.274260,MF_segment_0,False
MIS6_DO_04,4,MIS 6.4,MF,6.4,s035_w300,35.000000,300.000000,146.836000,146.223311,147.451481,146.220519,147.451481,0.615481,0.314027,MF_segment_0,False
MIS6_DO_05,5,MIS 6.5,MF,6.5,s035_w300,35.000000,300.000000,148.435000,147.791032,149.207698,147.662302,149.207698,0.772698,0.394241,MF_segment_0,False
MIS6_DO_06,6,MIS 6.6,MF,6.6,s035_w300,35.000000,300.000000,149.471000,148.615035,150.413597,148.528403,150.413597,0.942597,0.480926,MF_segment_0,False
MIS6_DO_07,7,MIS 6.7,MF,6.7,s035_w300,35.000000,300.000000,150.455000,149.795671,151.173071,149.736929,151.173071,0.718071,0.366369,MF_segment_0,False
