realization_id,MIS6_DO_01_age_ka_bp,MIS6_DO_02_age_ka_bp,MIS6_DO_03_age_ka_bp,MIS6_DO_04_age_ka_bp,MIS6_DO_05_age_ka_bp,MIS6_DO_06_age_ka_bp,MIS6_DO_07_age_ka_bp,MIS6_DO_08_age_ka_bp,MIS6_DO_09_age_ka_bp,MIS6_DO_10_age_ka_bp,MIS6_DO_11_age_ka_bp,MIS6_DO_12_age_ka_bp,MIS6_DO_13_age_ka_bp,MIS6_DO_14_age_ka_bp,MIS6_DO_15_age_ka_bp,MIS6_DO_16_age_ka_bp,MIS6_DO_17_age_ka_bp,MIS6_DO_18_age_ka_bp,MIS6_DO_19_age_ka_bp,MIS6_DO_20_age_ka_bp,MIS6_DO_21_age_ka_bp
2409,133.522985,137.523352,145.490307,145.961195,147.319015,148.063277,149.405477,150.201305,158.286315,159.856427,164.131966,164.703879,166.815545,169.430737,170.787524,171.554163,177.531858,179.576693,180.032693,190.532375,194.437740
2410,134.980004,138.407014,146.242350,146.842126,148.442691,149.480382,150.462147,151.117343,159.535382,160.888796,164.984652,168.574716,169.699644,171.155302,172.369853,174.775021,177.468563,179.988484,180.444484,190.462460,194.391679
2411,134.789948,138.278010,146.168640,146.736816,148.295248,149.262301,150.309284,151.001128,159.352536,160.565896,164.891298,168.058799,169.296039,171.215977,172.157285,174.328296,177.550175,179.978525,180.499525,190.545694,194.468970
2412,134.880232,138.331787,146.216978,146.792087,148.364814,149.347743,150.373689,151.058124,159.428515,160.616453,164.945408,168.297871,169.472799,171.343193,172.254894,174.525981,177.553315,179.792783,180.270783,190.549038,194.472679
2413,135.298470,138.598464,146.412668,147.037139,148.687517,149.779040,150.689665,151.319257,159.802219,161.009634,165.196411,169.329716,170.325013,171.610604,172.715341,175.476050,177.774063,179.994982,180.515982,190.791004,194.723517
2414,135.894954,138.936199,146.760261,147.413288,149.146688,150.308051,151.097556,151.698709,160.282461,161.184672,165.553563,170.984854,171.459447,172.773006,173.351947,176.747807,177.776416,180.006625,180.462625,190.790407,194.756587
2415,134.755618,138.257561,146.150259,146.715799,148.268795,149.229811,150.284794,150.979456,159.323645,160.546672,164.870723,167.967892,169.228825,171.167603,172.120169,174.253126,177.599902,179.896798,180.417798,190.598662,194.527729
2416,135.428716,138.676763,146.482324,147.116895,148.787647,149.901186,150.782716,151.401837,159.911350,161.059055,165.283016,169.638496,170.580777,171.796813,172.856638,175.762757,176.966223,179.768472,180.224472,189.927334,193.796241
2417,134.709365,138.244316,146.097611,146.676400,148.234632,149.226575,150.268797,150.945751,159.308618,160.786105,164.804695,167.933102,169.168193,170.768377,172.076250,174.179272,177.530923,179.941472,180.419472,190.525187,194.446220
2418,135.227491,138.543165,146.385412,147.001036,148.632578,149.694971,150.640812,151.274056,159.732884,160.973559,165.157211,169.218292,170.168453,171.858780,172.636475,175.304225,177.102383,180.219916,180.740916,190.068708,193.939833
2419,134.439319,138.072548,145.964166,146.518288,148.025905,148.952305,150.080416,150.775576,159.071975,160.677212,164.683317,167.174013,168.621975,170.753170,171.782540,173.573556,177.378232,179.846683,180.324683,190.368332,194.256476
2420,135.359141,138.634937,146.445115,147.074291,148.734160,149.835938,150.733010,151.357724,159.853055,161.032656,165.236753,169.473552,170.444153,171.697344,172.781160,175.609604,177.502255,179.486058,179.964058,190.498352,194.431616
