algorithm_config_id,component,mapping_lag_ka,composite_event_id,projected_depth_mm,chronology_sigma_before_conditioning_ka
s050_w500,So-4,0.0,MIS6_DO_21,1128.4467680618463,0.4028067479253853
s050_w500,So-4,0.5,MIS6_DO_17,980.3368794335224,0.2659357980038893
s050_w500,So-4,0.5,MIS6_DO_18,1025.5783132557403,0.2539269431528252
s050_w500,So-4,0.5,MIS6_DO_19,1043.9046454779077,0.3564531237277971
s050_w500,So-4,0.5,MIS6_DO_20,1111.4500609022157,0.3302809934400365
s050_w500,So-4,0.5,MIS6_DO_21,1131.561952441548,0.384922946758894
s050_w500,So-4,1.0,MIS6_DO_17,986.4430379756454,0.2464321972508371
s050_w500,So-4,1.0,MIS6_DO_18,1044.1802030468343,0.3642769960562149
s050_w500,So-4,1.0,MIS6_DO_19,1049.5361881790884,0.3626532862589368
s050_w500,So-4,1.0,MIS6_DO_20,1114.4692118235453,0.352526245243234
s050_w500,So-4,1.0,MIS6_DO_21,1134.7490820083192,0.3679910068191185
s050_w500,So-57,-1.0,MIS6_DO_17,322.42666667004454,0.2485302276350812
s050_w500,So-57,-1.0,MIS6_DO_18,437.74817518578755,0.2279272295127194
s050_w500,So-57,-1.0,MIS6_DO_19,454.73741007528207,0.2374243835271974
s050_w500,So-57,-1.0,MIS6_DO_20,788.2491228095398,0.3624241797467156
s050_w500,So-57,-0.5,MIS6_DO_17,342.96484375296865,0.2654706535475667
s050_w500,So-57,-0.5,MIS6_DO_18,455.5326086989336,0.2384136785857465
s050_w500,So-57,-0.5,MIS6_DO_19,473.1798561184479,0.269958410364442
s050_w500,So-57,-0.5,MIS6_DO_20,798.1154734444285,0.4001157208430582
s050_w500,So-57,0.0,MIS6_DO_17,362.322222225037,0.3055402240587399
s050_w500,So-57,0.0,MIS6_DO_18,473.97122302484104,0.2718141988385435
s050_w500,So-57,0.0,MIS6_DO_19,491.2382671513664,0.2849361424260941
s050_w500,So-57,0.0,MIS6_DO_20,809.6980198055389,0.4419602933501514
s050_w500,So-57,0.5,MIS6_DO_17,381.1660516633212,0.3378905989593781
s050_w500,So-57,0.5,MIS6_DO_18,492.03358209293214,0.2830533759498141
s050_w500,So-57,0.5,MIS6_DO_19,509.4635036530237,0.2491102828212361
s050_w500,So-57,0.5,MIS6_DO_20,822.1622340463766,0.4868883019361372
s050_w500,So-57,1.0,MIS6_DO_17,399.7619047646882,0.2852046630679669
s050_w500,So-57,1.0,MIS6_DO_18,510.2683823562709,0.2479165098791853
s050_w500,So-57,1.0,MIS6_DO_19,527.7942238300672,0.231824677126773
s050_w500,So-57,1.0,MIS6_DO_20,835.2538860140872,0.5341222173417519
s075_w300,So-4,-1.0,MIS6_DO_17,962.0062656651128,0.2939082250809485
s075_w300,So-4,-1.0,MIS6_DO_18,998.7476415105008,0.2594811622805441
s075_w300,So-4,-1.0,MIS6_DO_19,1005.0024390255236,0.2908903071202106
s075_w300,So-4,-1.0,MIS6_DO_20,1101.9719029383375,0.3014026749137309
s075_w300,So-4,-1.0,MIS6_DO_21,1122.192592593576,0.4271929693203511
s075_w300,So-4,-0.5,MIS6_DO_17,968.2748184028568,0.3415727542830342
s075_w300,So-4,-0.5,MIS6_DO_18,1004.7475728166318,0.2893770687543183
s075_w300,So-4,-0.5,MIS6_DO_19,1012.9901477855408,0.3316956824346322
s075_w300,So-4,-0.5,MIS6_DO_20,1105.0892169457231,0.303638360720814
s075_w300,So-4,-0.5,MIS6_DO_21,1125.2592821792036,0.4219032873842434
s075_w300,So-4,0.0,MIS6_DO_17,974.3119047628094,0.298988966205147
s075_w300,So-4,0.0,MIS6_DO_18,1012.4727722794668,0.3298201487234715
s075_w300,So-4,0.0,MIS6_DO_19,1025.5180722919563,0.2538854206686208
s075_w300,So-4,0.0,MIS6_DO_20,1108.2229140731238,0.3132051019003381
s075_w300,So-4,0.0,MIS6_DO_21,1128.3833967056992,0.4031732743303636
s075_w300,So-4,0.5,MIS6_DO_17,980.3250591025532,0.2659896343790467
s075_w300,So-4,0.5,MIS6_DO_18,1024.927027029472,0.2536878744014037
s075_w300,So-4,0.5,MIS6_DO_19,1044.154822336205,0.3635588963024344
s075_w300,So-4,0.5,MIS6_DO_20,1111.3221680885729,0.3294648960218465
s075_w300,So-4,0.5,MIS6_DO_21,1131.499384237434,0.3852717245708211
s075_w300,So-4,1.0,MIS6_DO_17,986.4303797477974,0.2464552647490563
s075_w300,So-4,1.0,MIS6_DO_18,1043.892420539003,0.3561015077888053
s075_w300,So-4,1.0,MIS6_DO_19,1049.65681544085,0.3615024839858629
s075_w300,So-4,1.0,MIS6_DO_20,1114.3399014787171,0.3514901131811223
s075_w300,So-4,1.0,MIS6_DO_21,1134.6878824979149,0.3683194561303478
s075_w300,So-57,-1.0,MIS6_DO_17,322.3822222255999,0.248523762189779
