age_kyr_bp,segment_id,intercept,lr04,lr04_scaled,co2,co2_scaled,precession_index,ecc,ecc_scaled,obl,obl_scaled,insol65n,insol65n_scaled,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,pre_phase_extrapolated,same_type_exponential_history,time_since_last_event_kyr,log_time_since_last_event,rectangular_history_count,mis6_segment,event_id,B,BP,B_ecc,BP_ecc,B_obl,BP_obl,B_insol65n,BP_insol65n
40.11,NGRIP,1.0,4.545599999999999,0.11471681279129617,193.06661858207804,-0.20671701320663075,0.0001293999999999813,0.013914600000000001,-0.4657228523487901,23.631208812246502,0.16494196913870576,498.39026733398435,0.06623722876362549,32.94250785497564,1.5265813190777067,87.4666666666667,0.9990226757815578,0.04420060264585201,False,0.5543392217058223,1.2999999999999972,0.8329091229351028,1.0,0.0,NGRIP:GI-9,0.37654963510488226,0.1986852735476124,0.4305852181167146,0.2302304739705097,0.382969646659889,0.22191309584220323,0.41706657615880244,0.21041792646987875
41.41,NGRIP,1.0,4.5059,0.08534421734885766,204.6445040188507,-0.08613317611320652,0.004317599999999982,0.013775,-0.47014341085912514,23.841598914618544,0.2592554226754617,497.8222314453125,0.06049819216840477,33.24503159198798,1.8291050560900501,104.7999999999995,0.9668233886044616,-0.25544575793578234,False,0.31875511985970806,1.8800000000000026,1.0577902941478554,0.0,0.0,NGRIP:GI-10,0.3906375028646748,0.19694782032139663,0.5517784336799508,0.2584843318484105,0.4003544072612234,0.22819760730369876,0.45673652380037505,0.23976124590483078
43.29,NGRIP,1.0,4.4658,0.055675676360399655,202.17273565373722,-0.11187667785186316,0.009418999999999997,0.0137094,-0.4722206933682798,24.10356667770826,0.3766900556440748,497.21543212890623,0.054367517060968804,33.68252745782123,2.266600921923299,129.86666666666656,0.7675382022339918,-0.6410032044470698,False,0.11627942450477187,3.520000000000003,1.5085119938441405,0.0,0.0,NGRIP:GI-11,0.40914097860273774,0.1775956284288715,0.5932475317114729,0.24256979623665414,0.4232272238283902,0.21961744367099723,0.48120171278250523,0.25425411228560807
46.81,NGRIP,1.0,4.3762,-0.010616125947975603,212.68013693646625,-0.00244194804121683,0.0139608,0.0139618,-0.4642282222507398,24.40061091701588,0.5098487344338198,497.79400146484375,0.06021297622655379,34.5016686534239,3.0857421175259674,176.7999999999995,0.05582150499317232,-0.9984407641819805,False,0.2151985926098447,2.4199999999999946,1.2296405510745123,0.0,0.0,NGRIP:GI-12,0.363845976064873,0.15850097511395514,0.6107714467673828,0.24155774508377417,0.38033557016843533,0.21005552781934353,0.404037723867766,0.27266388226962507
49.23,NGRIP,1.0,4.4324,0.030964223267769094,200.4579442184167,-0.1297362543881055,0.012206000000000007,0.014436399999999999,-0.4491995899512768,24.43051931392171,0.5232560391032616,500.11528076171874,0.083665555716985,35.08031857764236,3.664392041744428,209.9541984732823,-0.49930755048498776,-0.8664248207598172,False,0.08019258285777021,4.940000000000005,1.7817091333745543,0.0,0.0,NGRIP:GI-13,0.40542495792111344,0.27625735273703367,0.5637296690742378,0.3679283328469884,0.4244594675254378,0.39542046281356896,0.5052481274303964,0.5005043216690027
54.17,NGRIP,1.0,4.3681,-0.016609023254870972,220.23386414685683,0.07623022541913861,-0.002712199999999989,0.0160424,-0.3983441675472783,24.071561255272247,0.3623426985782696,508.9459002685547,0.17288394758074338,36.26501076914874,4.849084233250807,277.83206106870193,-0.9906717428368002,0.1362699451261972,False,1.1597858686046916,0.7800000000000011,0.5766133643039945,1.0,0.0,NGRIP:GI-14,0.2554990410106587,0.29246437292571703,0.35913746624300197,0.37759030459513854,0.26391957618314454,0.38384498191417477,0.292736279889596,0.3912741139103288
54.95,NGRIP,1.0,4.3134999999999994,-0.05700559028653767,216.25896389482315,0.034831584270773035,-0.005809,0.01633,-0.3892370570345821,23.974101134320495,0.3186533781899208,510.39752197265625,0.18755011612466188,36.452067430965535,5.036140895067604,288.54961832061053,-0.9480485128328882,0.31812578851037693,False,0.9507918987231325,0.7999999999999972,0.5877866649021174,1.0,0.0,NGRIP:GI-15.1,0.2659880661357369,0.3642029402622423,0.37193965448679556,0.4633280265326673,0.27342570449027154,0.4703837127301159,0.31968531147229756,0.4540274556560949
55.75,NGRIP,1.0,4.34,-0.03739919786274332,212.28998583540505,-0.0065053771595221035,-0.008886,0.016656,-0.37891397627262474,23.866270477276878,0.27031516480316525,511.58319091796875,0.19952928434742256,36.6439204174443,5.227993881546368,299.54198473282395,-0.8699946281914813,0.4930611999721396,False,0.6207244964729067,2.240000000000002,1.1755733298042386,0.0,0.0,NGRIP:GI-15.2,0.3068796095083842,0.5688063003723215,0.41654592261886464,0.68761593859766,0.3141648553866795,0.7348934073006735,0.424786511766933,0.6926422126057965
57.99,NGRIP,1.0,4.489400000000001,0.07313646357555278,223.9671627829333,0.11511258239288598,-0.0159162,0.017623399999999997,-0.3482803924409759,23.53514670831487,0.12187935034793208,512.9268310546875,0.2131044827974117,37.18110877958485,5.765182243686915,330.32061068702296,-0.4951461684759616,0.8688096867804679,False,1.7634099129789267,0.23999999999999488,0.21511137961694138,3.0,0.0,NGRIP:GI-16.1,0.2241092939856895,0.29064917859868705,0.25605208965687615,0.31803207715335013,0.22729589117927643,0.3309119648332332,0.2653162319633497,0.30261386486780373
58.23,NGRIP,1.0,4.4762,0.06337026055690798,224.2810553763338,0.11838177809827986,-0.01644959999999999,0.017731999999999998,-0.344841476579784,23.498190930528935,0.10531285319891244,512.7298828125,0.21111465576038962,37.238664675528476,5.822738139630545,333.6183206106866,-0.44434874816563036,0.89585388875845,False,1.0693807028954854,0.8000000000000043,0.5877866649021214,2.0,0.0,NGRIP:GI-16.2,0.2839357855456947,0.554024913377979,0.36417614318075,0.6217030742319901,0.2873598181236616,0.6417017259317856,0.40755606124967597,0.5938747089061055
