knot_spacing_ka,event_subset,younger_event,older_event,nominal_gap_ka,unconditioned_gap_sigma_ka
5,34_warming_events,GI-12,GI-13,2.42,0.239984336581
5,34_warming_events,GI-13,GI-14,4.94,0.473980953529
5,34_warming_events,GI-14,GI-15.1,0.78,0.0866081386707
5,34_warming_events,GI-15.1,GI-15.2,0.8,0.0876558947898
5,34_warming_events,GI-15.2,GI-16.1,2.24,0.245436505411
5,34_warming_events,GI-16.1,GI-16.2,0.24,0.0262967684369
5,34_warming_events,GI-16.2,GI-17.1,0.8,0.0876558947898
5,34_warming_events,GI-17.1,GI-17.2,0.36,0.0394451526554
5,34_warming_events,GI-17.2,GI-18,4.66,0.542036738128
5,34_warming_events,GI-18,GI-19.1,5.52,0.554113769618
5,34_warming_events,GI-19.1,GI-19.2,2.72,0.286988536356
5,34_warming_events,GI-19.2,GI-20,4.1,0.369352423168
5,34_warming_events,GI-20,GI-21.1,8.32,0.75988146444
5,34_warming_events,GI-21.1,GI-21.2,0.3,0.0320322883978
5,34_warming_events,GI-21.2,GI-22,4.98,0.657595055866
5,34_warming_events,GI-22,GI-23.1,14,1.13718410119
5,34_warming_events,GI-23.1,GI-23.2,0.48,0.0691537417643
5,34_warming_events,GI-23.2,GI-24.1,2.23,0.267299526515
5,34_warming_events,GI-24.1,GI-24.2,1.53,0.225739821199
5,34_warming_events,GI-24.2,GI-25,7.09,0.798241369747
10,all_69_boundaries,GS-1,GI-1,1.796,0.0391683471426
10,all_69_boundaries,GI-1,GS-2.1,8.208,0.170525382285
10,all_69_boundaries,GS-2.1,GI-2.1,0.12,0.00518125274427
10,all_69_boundaries,GI-2.1,GS-2.2,0.2,0.00863542124045
10,all_69_boundaries,GS-2.2,GI-2.2,0.12,0.00518125274427
10,all_69_boundaries,GI-2.2,GS-3,4.2,0.181343846049
10,all_69_boundaries,GS-3,GI-3,0.24,0.0103625054885
10,all_69_boundaries,GI-3,GS-4,0.82,0.0354052270858
10,all_69_boundaries,GS-4,GI-4,0.3,0.0129531318607
10,all_69_boundaries,GI-4,GS-5.1,1.7,0.0603069575174
10,all_69_boundaries,GS-5.1,GI-5.1,0.24,0.0148656463028
10,all_69_boundaries,GI-5.1,GS-5.2,1.2,0.074328231514
10,all_69_boundaries,GS-5.2,GI-5.2,0.46,0.028492488747
10,all_69_boundaries,GI-5.2,GS-6,0.86,0.0532685659184
10,all_69_boundaries,GS-6,GI-6,0.38,0.0235372733128
10,all_69_boundaries,GI-6,GS-7,1,0.0619401929283
10,all_69_boundaries,GS-7,GI-7,0.74,0.045835742767
10,all_69_boundaries,GI-7,GS-8,1.1,0.0681342122212
10,all_69_boundaries,GS-8,GI-8,1.64,0.101581916402
10,all_69_boundaries,GI-8,GS-9,1.68,0.10405952412
10,all_69_boundaries,GS-9,GI-9,0.26,0.0124113259163
10,all_69_boundaries,GI-9,GS-10,0.64,0.0430209504312
10,all_69_boundaries,GS-10,GI-10,0.66,0.0443653551321
10,all_69_boundaries,GI-10,GS-11,0.78,0.052431783338
10,all_69_boundaries,GS-11,GI-11,1.1,0.0739422585535
10,all_69_boundaries,GI-11,GS-12,0.94,0.0631870209458
10,all_69_boundaries,GS-12,GI-12,2.58,0.173428206426
10,all_69_boundaries,GI-12,GS-13,1.48,0.099485947872
10,all_69_boundaries,GS-13,GI-13,0.94,0.0631870209458
10,all_69_boundaries,GI-13,GS-14,0.32,0.0215104752156
10,all_69_boundaries,GS-14,GI-14,4.62,0.330224679478
10,all_69_boundaries,GI-14,GS-15.1,0.68,0.0530348751687
10,all_69_boundaries,GS-15.1,GI-15.1,0.1,0.00779924634833
10,all_69_boundaries,GI-15.1,GS-15.2,0.4,0.0311969853933
10,all_69_boundaries,GS-15.2,GI-15.2,0.4,0.0311969853933
10,all_69_boundaries,GI-15.2,GS-16.1,0.7,0.0545947244383
10,all_69_boundaries,GS-16.1,GI-16.1,1.54,0.120108393764
10,all_69_boundaries,GI-16.1,GS-16.2,0.12,0.009359095618
10,all_69_boundaries,GS-16.2,GI-16.2,0.12,0.009359095618
10,all_69_boundaries,GI-16.2,GS-17.1,0.28,0.0218378897753
10,all_69_boundaries,GS-17.1,GI-17.1,0.52,0.0405560810113
10,all_69_boundaries,GI-17.1,GS-17.2,0.22,0.0171583419663
10,all_69_boundaries,GS-17.2,GI-17.2,0.14,0.0109189448877
10,all_69_boundaries,GI-17.2,GS-18,4.4,0.332498070979
10,all_69_boundaries,GS-18,GI-18,0.26,0.0233802546688
10,all_69_boundaries,GI-18,GS-19.1,5.3,0.476597499018
10,all_69_boundaries,GS-19.1,GI-19.1,0.22,0.0197832924121
10,all_69_boundaries,GI-19.1,GS-19.2,0.76,0.0475836569344
10,all_69_boundaries,GS-19.2,GI-19.2,1.96,0.170798565568
10,all_69_boundaries,GI-19.2,GS-20,1.76,0.15337014051
10,all_69_boundaries,GS-20,GI-20,2.34,0.203912573178
10,all_69_boundaries,GI-20,GS-21.1,1.32,0.115027605382
10,all_69_boundaries,GS-21.1,GI-21.1,7,0.482803655744
10,all_69_boundaries,GI-21.1,GS-21.2,0.2,0.0185539753153
10,all_69_boundaries,GS-21.2,GI-21.2,0.1,0.00927698765764
10,all_69_boundaries,GI-21.2,GS-22,2.54,0.235635486504
10,all_69_boundaries,GS-22,GI-22,2.44,0.222682262428
10,all_69_boundaries,GI-22,GS-23.1,0.1,0.00980752262297
10,all_69_boundaries,GS-23.1,GI-23.1,13.9,1.05292451653
10,all_69_boundaries,GI-23.1,GS-23.2,0.34,0.0350567040664
10,all_69_boundaries,GS-23.2,GI-23.2,0.14,0.0144351134391
10,all_69_boundaries,GI-23.2,GS-24.1,0.92,0.0948593168856
10,all_69_boundaries,GS-24.1,GI-24.1,1.31,0.135071418609
10,all_69_boundaries,GI-24.1,GS-24.2,0.15,0.0154661929705
10,all_69_boundaries,GS-24.2,GI-24.2,1.38,0.142288975328
