event_label,event_type,age_ka_b2k,knot_spacing_ka,nominal_target_sigma_ka,unconditioned_basis_sigma_ka,basis_sigma_to_nominal_ratio
GS-6,cooling,33.36,10,0.5955,0.528227023391,0.88703110561
GI-6,warming,33.74,10,0.606,0.537935778058,0.887682802076
GS-7,cooling,34.74,10,0.643,0.567370393407,0.882380083059
GI-7,warming,35.48,10,0.6605,0.59238881426,0.896879355427
GS-8,cooling,36.58,10,0.6985,0.633893269435,0.9075064702
GI-8,warming,38.22,10,0.7245,0.703521377667,0.971043999541
GS-9,cooling,39.9,10,0.7845,0.782134381596,0.996984552704
GI-9,warming,40.16,10,0.79,0.787073487761,0.996295554128
GS-10,cooling,40.8,10,0.8075,0.788835140191,0.976885622527
GI-10,warming,41.46,10,0.8165,0.793095683065,0.971335802896
GS-11,cooling,42.24,10,0.841,0.801274813442,0.952764344164
GI-11,warming,43.34,10,0.868,0.818398587447,0.942855515492
GS-12,cooling,44.28,10,0.89,0.837939012998,0.941504508986
GI-12,warming,46.86,10,0.956,0.912146164919,0.954127787572
GS-13,cooling,48.34,10,0.994,0.966260912971,0.972093473814
GI-13,warming,49.28,10,1.0155,1.00424108535,0.988912934859
GS-14,cooling,49.6,10,1.0255,1.01774234932,0.992435250434
GI-14,warming,54.22,10,1.1505,1.08607107011,0.943999191754
GS-15.1,cooling,54.9,10,1.169,1.10330123397,0.94379917363
GI-15.1,warming,55,10,1.1745,1.10602694768,0.941700253457
GS-15.2,cooling,55.4,10,1.184,1.11740778516,0.943756575307
GI-15.2,warming,55.8,10,1.196,1.12953583895,0.94442795899
GS-16.1,cooling,56.5,10,1.215,1.15248615142,0.948548272775
GI-16.1,warming,58.04,10,1.2485,1.21013573584,0.969271714731
GS-16.2,cooling,58.16,10,1.2525,1.21501173234,0.970069247375
GI-16.2,warming,58.28,10,1.2555,1.21994004181,0.971676656162
GS-17.1,cooling,58.56,10,1.264,1.23163932993,0.974398204061
GI-17.1,warming,59.08,10,1.2785,1.25408610962,0.980904270329
GS-17.2,cooling,59.3,10,1.2845,1.26385461146,0.983927295805
GI-17.2,warming,59.44,10,1.2865,1.27015250144,0.987293044257
GS-18,cooling,63.84,10,1.4364,1.3458652465,0.936971071081
GI-18,warming,64.1,10,1.44225,1.35173862299,0.937242934992
GS-19.1,cooling,69.4,10,1.5615,1.54546438901,0.989730636571
GI-19.1,warming,69.62,10,1.56645,1.55614200129,0.99341951629
GS-19.2,cooling,70.38,10,1.58355,1.57534806868,0.99482054162
GI-19.2,warming,72.34,10,1.62765,1.58814525076,0.975728965537
GS-20,cooling,74.1,10,1.66725,1.61501577005,0.968670427379
GI-20,warming,76.44,10,1.7199,1.67199436303,0.972146266079
GS-21.1,cooling,77.76,10,1.7496,1.71403103823,0.979670232182
GI-21.1,warming,84.76,10,1.9071,1.85337448186,0.971828683266
GS-21.2,cooling,84.96,10,1.9116,1.85788253665,0.971899213566
GI-21.2,warming,85.06,10,1.91385,1.86020186606,0.971968475096
GS-22,cooling,87.6,10,1.971,1.9331572621,0.980800234448
GI-22,warming,90.04,10,2.0259,2.0250038,0.999557628706
GS-23.1,cooling,90.14,10,2.02815,2.02504654946,0.998469812127
GI-23.1,warming,104.04,10,2.3409,2.28823491145,0.977502204902
GS-23.2,cooling,104.38,10,2.34855,2.29487562898,0.977145740556
GI-23.2,warming,104.52,10,2.3517,2.29775992871,0.977063370631
GS-24.1,cooling,105.44,10,2.3724,2.31886113426,0.977432614342
GI-24.1,warming,106.75,10,2.401875,2.35518286511,0.980560131195
GS-24.2,cooling,106.9,10,2.40525,2.35979952803,0.981103639136
GI-24.2,warming,108.28,10,2.4363,2.40652477444,0.987778506112
GS-25,cooling,110.64,10,2.4894,2.47596330344,0.994602435705
GI-25,warming,115.37,10,2.595825,2.54192735033,0.979236793826
GS-26,cooling,119.14,10,2.68065,2.66427086039,0.993889862677
